# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
180	5.0000000000000000e-01	0	0	180	180	-3	1.5265566588595902e-16	1.5265566588595902e-16	-4.0666666666666664e+00	-3.1286031344937782e-83	-3.4373039470277225e-81
180	5.0000000000000000e-01	0	0	180	180	-2	1.5265566588595902e-16	1.5265566588595902e-16	-4.0444444444444443e+00	-2.6864431119849203e-84	-2.9706262679408411e-82
180	5.0000000000000000e-01	0	0	180	180	-1	1.5265566588595902e-16	1.5265566588595902e-16	-4.0222222222222221e+00	-2.2706917116845526e-85	-2.5270426382121505e-83
180	5.0000000000000000e-01	0	0	180	180	0	1.5265566588595902e-16	1.5265566588595902e-16	-4.0000000000000000e+00	-1.8894489281943344e-86	-2.1161983155323054e-84
180	5.0000000000000000e-01	0	0	180	180	1	1.5265566588595902e-16	1.5265566588595902e-16	-3.9777777777777779e+00	-2.2706925829059241e-85	-2.5270439716506681e-83
180	5.0000000000000000e-01	0	0	180	180	2	1.5265566588595902e-16	1.5265566588595902e-16	-3.9555555555555557e+00	-2.6864435919561792e-84	-2.9706264291885830e-82
180	5.0000000000000000e-01	0	0	180	180	3	1.5265566588595902e-16	1.5265566588595902e-16	-3.9333333333333331e+00	-3.1286027274954772e-83	-3.4373031367889810e-81
180	5.0000000000000000e-01	0	0	180	180	4	1.5265566588595902e-16	1.5265566588595902e-16	-3.9111111111111110e+00	-3.5866206867777365e-82	-3.9149972684630215e-80
180	5.0000000000000000e-01	0	0	180	180	5	1.5265566588595902e-16	1.5265566588595902e-16	-3.8888888888888888e+00	-4.0474972422960165e-81	-4.3892762948032056e-79
180	5.0000000000000000e-01	0	0	180	180	6	1.5265566588595902e-16	1.5265566588595902e-16	-3.8666666666666667e+00	-4.4962657773379578e-80	-4.8439596887213367e-78
180	5.0000000000000000e-01	0	0	180	180	7	1.5265566588595902e-16	1.5265566588595902e-16	-3.8444444444444446e+00	-4.9167266921460695e-79	-5.2619716571519006e-77
180	5.0000000000000000e-01	0	0	180	180	8	1.5265566588595902e-16	1.5265566588595902e-16	-3.8222222222222224e+00	-5.2923894478126739e-78	-5.6263851337537460e-76
180	5.0000000000000000e-01	0	0	180	180	9	1.5265566588595902e-16	1.5265566588595902e-16	-3.7999999999999998e+00	-5.6075485767179519e-77	-5.9215684628139841e-75
180	5.0000000000000000e-01	0	0	180	180	10	1.5265566588595902e-16	1.5265566588595902e-16	-3.7777777777777777e+00	-5.8483900655706031e-76	-6.1343191422706170e-74
180	5.0000000000000000e-01	0	0	180	180	11	1.5265566588595902e-16	1.5265566588595902e-16	-3.7555555555555555e+00	-6.0040112469513399e-75	-6.2548606897414610e-73
180	5.0000000000000000e-01	0	0	180	180	12	1.5265566588595902e-16	1.5265566588595902e-16	-3.7333333333333334e+00	-6.0672435015427892e-74	-6.2775917276318540e-72
180	5.0000000000000000e-01	0	0	180	180	13	1.5265566588595902e-16	1.5265566588595902e-16	-3.7111111111111112e+00	-6.0351906292857190e-73	-6.2015070769430569e-71
180	5.0000000000000000e-01	0	0	180	180	14	1.5265566588595902e-16	1.5265566588595902e-16	-3.6888888888888887e+00	-5.9094308003724185e-72	-6.0302517168467890e-70
180	5.0000000000000000e-01	0	0	180	180	15	1.5265566588595902e-16	1.5265566588595902e-16	-3.6666666666666665e+00	-5.6958693538283355e-71	-5.7718116569054436e-69
180	5.0000000000000000e-01	0	0	180	180	16	1.5265566588595902e-16	1.5265566588595902e-16	-3.6444444444444444e+00	-5.4042669692450979e-70	-5.4378841926117799e-68
180	5.0000000000000000e-01	0	0	180	180	17	1.5265566588595902e-16	1.5265566588595902e-16	-3.6222222222222222e+00	-5.0474985309333037e-69	-5.0429994204640692e-67
180	5.0000000000000000e-01	0	0	180	180	18	1.5265566588595902e-16	1.5265566588595902e-16	-3.6000000000000001e+00	-4.6406201098594205e-68	-4.6034835337626503e-66
180	5.0000000000000000e-01	0	0	180	180	19	1.5265566588595902e-16	1.5265566588595902e-16	-3.5777777777777779e+00	-4.1998341820467513e-67	-4.1363622688339665e-65
180	5.0000000000000000e-01	0	0	180	180	20	1.5265566588595902e-16	1.5265566588595902e-16	-3.5555555555555554e+00	-3.7414465559775309e-66	-3.6583007933406228e-64
180	5.0000000000000000e-01	0	0	180	180	21	1.5265566588595902e-16	1.5265566588595902e-16	-3.5333333333333332e+00	-3.2809029501680373e-65	-3.1846655344548677e-63
180	5.0000000000000000e-01	0	0	180	180	22	1.5265566588595902e-16	1.5265566588595902e-16	-3.5111111111111111e+00	-2.8319795232655538e-64	-2.7287753266206396e-62
180	5.0000000000000000e-01	0	0	180	180	23	1.5265566588595902e-16	1.5265566588595902e-16	-3.4888888888888889e+00	-2.4061812655979014e-63	-2.3013856330420196e-61
180	5.0000000000000000e-01	0	0	180	180	24	1.5265566588595902e-16	1.5265566588595902e-16	-3.4666666666666668e+00	-2.0123772311706942e-62	-1.9104229874490559e-60
180	5.0000000000000000e-01	0	0	180	180	25	1.5265566588595902e-16	1.5265566588595902e-16	-3.4444444444444446e+00	-1.6566751894602560e-61	-1.5609603792825221e-59
180	5.0000000000000000e-01	0	0	180	180	26	1.5265566588595902e-16	1.5265566588595902e-16	-3.4222222222222221e+00	-1.3425138789289751e-60	-1.2554013900735098e-58
180	5.0000000000000000e-01	0	0	180	180	27	1.5265566588595902e-16	1.5265566588595902e-16	-3.3999999999999999e+00	-1.0709318209730635e-59	-9.9382428032908526e-58
180	5.0000000000000000e-01	0	0	180	180	28	1.5265566588595902e-16	1.5265566588595902e-16	-3.3777777777777778e+00	-8.4095979113989780e-59	-7.7442859072345546e-57
180	5.0000000000000000e-01	0	0	180	180	29	1.5265566588595902e-16	1.5265566588595902e-16	-3.3555555555555556e+00	-6.5008031986588352e-58	-5.9402637203004847e-56
180	5.0000000000000000e-01	0	0	180	180	30	1.5265566588595902e-16	1.5265566588595902e-16	-3.3333333333333335e+00	-4.9470132665727810e-57	-4.4852672041426412e-55
180	5.0000000000000000e-01	0	0	180	180	31	1.5265566588595902e-16	1.5265566588595902e-16	-3.3111111111111109e+00	-3.7060035775524844e-56	-3.3337370919403262e-54
180	5.0000000000000000e-01	0	0	180	180	32	1.5265566588595902e-16	1.5265566588595902e-16	-3.2888888888888888e+00	-2.7330847611955112e-55	-2.4391151192966382e-53
180	5.0000000000000000e-01	0	0	180	180	33	1.5265566588595902e-16	1.5265566588595902e-16	-3.2666666666666666e+00	-1.9841620198019960e-54	-1.7566410634412758e-52
180	5.0000000000000000e-01	0	0	180	180	34	1.5265566588595902e-16	1.5265566588595902e-16	-3.2444444444444445e+00	-1.4179602058856608e-53	-1.2452861172900582e-51
180	5.0000000000000000e-01	0	0	180	180	35	1.5265566588595902e-16	1.5265566588595902e-16	-3.2222222222222223e+00	-9.9745556151823687e-53	-8.6889987455047205e-51
180	5.0000000000000000e-01	0	0	180	180	36	1.5265566588595902e-16	1.5265566588595902e-16	-3.2000000000000002e+00	-6.9061993521049146e-52	-5.9670196723007385e-50
180	5.0000000000000000e-01	0	0	180	180	37	1.5265566588595902e-16	1.5265566588595902e-16	-3.1777777777777776e+00	-4.7061773006145886e-51	-4.0327290468969850e-49
180	5.0000000000000000e-01	0	0	180	180	38	1.5265566588595902e-16	1.5265566588595902e-16	-3.1555555555555554e+00	-3.1560472608856964e-50	-2.6819820849264446e-48
180	5.0000000000000000e-01	0	0	180	180	39	1.5265566588595902e-16	1.5265566588595902e-16	-3.1333333333333333e+00	-2.0826817582144141e-49	-1.7550319206796433e-47
180	5.0000000000000000e-01	0	0	180	180	40	1.5265566588595902e-16	1.5265566588595902e-16	-3.1111111111111112e+00	-1.3522639695578913e-48	-1.1299006353649093e-46
180	5.0000000000000000e-01	0	0	180	180	41	1.5265566588595902e-16	1.5265566588595902e-16	-3.0888888888888890e+00	-8.6379765438847738e-48	-7.1560467146876330e-46
180	5.0000000000000000e-01	0	0	180	180	42	1.5265566588595902e-16	1.5265566588595902e-16	-3.0666666666666664e+00	-5.4278315574454469e-47	-4.4579408989180093e-45
180	5.0000000000000000e-01	0	0	180	180	43	1.5265566588595902e-16	1.5265566588595902e-16	-3.0444444444444443e+00	-3.3547205202317437e-46	-2.7313303259688267e-44
180	5.0000000000000000e-01	0	0	180	180	44	1.5265566588595902e-16	1.5265566588595902e-16	-3.0222222222222221e+00	-2.0391763529339067e-45	-1.6456764480374916e-43
180	5.0000000000000000e-01	0	0	180	180	45	1.5265566588595902e-16	1.5265566588595902e-16	-3.0000000000000000e+00	-1.2189230384810485e-44	-9.7498585280287858e-43
180	5.0000000000000000e-01	0	0	180	180	46	1.5265566588595902e-16	1.5265566588595902e-16	-2.9777777777777779e+00	-7.1643682433268089e-44	-5.6792582142167310e-42
180	5.0000000000000000e-01	0	0	180	180	47	1.5265566588595902e-16	1.5265566588595902e-16	-2.9555555555555557e+00	-4.1401842102796276e-43	-3.2522443904329537e-41
180	5.0000000000000000e-01	0	0	180	180	48	1.5265566588595902e-16	1.5265566588595902e-16	-2.9333333333333331e+00	-2.3521497518114479e-42	-1.8307759396720573e-40
180	5.0000000000000000e-01	0	0	180	180	49	1.5265566588595902e-16	1.5265566588595902e-16	-2.9111111111111110e+00	-1.3136534006934223e-41	-1.0130095103629387e-39
180	5.0000000000000000e-01	0	0	180	180	50	1.5265566588595902e-16	1.5265566588595902e-16	-2.8888888888888888e+00	-7.2117032014177811e-41	-5.5091899079290011e-39
180	5.0000000000000000e-01	0	0	180	180	51	1.5265566588595902e-16	1.5265566588595902e-16	-2.8666666666666667e+00	-3.8914419461416793e-40	-2.9446332757528665e-38
180	5.0000000000000000e-01	0	0	180	180	52	1.5265566588595902e-16	1.5265566588595902e-16	-2.8444444444444446e+00	-2.0638447819620107e-39	-1.5467530885294615e-37
180	5.0000000000000000e-01	0	0	180	180	53	1.5265566588595902e-16	1.5265566588595902e-16	-2.8222222222222220e+00	-1.0757687166522738e-38	-7.9843153125597122e-37
180	5.0000000000000000e-01	0	0	180	180	54	1.5265566588595902e-16	1.5265566588595902e-16	-2.7999999999999998e+00	-5.5108828655114097e-38	-4.0500953542451001e-36
180	5.0000000000000000e-01	0	0	180	180	55	1.5265566588595902e-16	1.5265566588595902e-16	-2.7777777777777777e+00	-2.7744183751703211e-37	-2.0187884009469981e-35
180	5.0000000000000000e-01	0	0	180	180	56	1.5265566588595902e-16	1.5265566588595902e-16	-2.7555555555555555e+00	-1.3726575993902551e-36	-9.8879057853896330e-35
180	5.0000000000000000e-01	0	0	180	180	57	1.5265566588595902e-16	1.5265566588595902e-16	-2.7333333333333334e+00	-6.6739906019668271e-36	-4.7588103727977022e-34
180	5.0000000000000000e-01	0	0	180	180	58	1.5265566588595902e-16	1.5265566588595902e-16	-2.7111111111111112e+00	-3.1888789403085500e-35	-2.2504427800997037e-33
180	5.0000000000000000e-01	0	0	180	180	59	1.5265566588595902e-16	1.5265566588595902e-16	-2.6888888888888887e+00	-1.4973302465583047e-34	-1.0457070843293894e-32
180	5.0000000000000000e-01	0	0	180	180	60	1.5265566588595902e-16	1.5265566588595902e-16	-2.6666666666666665e+00	-6.9091428583537430e-34	-4.7744509425234924e-32
180	5.0000000000000000e-01	0	0	180	180	61	1.5265566588595902e-16	1.5265566588595902e-16	-2.6444444444444444e+00	-3.1329915912533329e-33	-2.1419458805658343e-31
180	5.0000000000000000e-01	0	0	180	180	62	1.5265566588595902e-16	1.5265566588595902e-16	-2.6222222222222222e+00	-1.3961291385095679e-32	-9.4420631699482210e-31
180	5.0000000000000000e-01	0	0	180	180	63	1.5265566588595902e-16	1.5265566588595902e-16	-2.6000000000000001e+00	-6.1140250648630164e-32	-4.0897939215494192e-30
180	5.0000000000000000e-01	0	0	180	180	64	1.5265566588595902e-16	1.5265566588595902e-16	-2.5777777777777775e+00	-2.6312916313606552e-31	-1.7406670521657855e-29
180	5.0000000000000000e-01	0	0	180	180	65	1.5265566588595902e-16	1.5265566588595902e-16	-2.5555555555555554e+00	-1.1129009818081831e-30	-7.2797100926882373e-29
180	5.0000000000000000e-01	0	0	180	180	66	1.5265566588595902e-16	1.5265566588595902e-16	-2.5333333333333332e+00	-4.6258977724520670e-30	-2.9915853023315448e-28
180	5.0000000000000000e-01	0	0	180	180	67	1.5265566588595902e-16	1.5265566588595902e-16	-2.5111111111111111e+00	-1.8897054013969891e-29	-1.2080441710068031e-27
180	5.0000000000000000e-01	0	0	180	180	68	1.5265566588595902e-16	1.5265566588595902e-16	-2.4888888888888889e+00	-7.5867821872132413e-29	-4.7936214733058863e-27
180	5.0000000000000000e-01	0	0	180	180	69	1.5265566588595902e-16	1.5265566588595902e-16	-2.4666666666666668e+00	-2.9935986385995426e-28	-1.8691734568983345e-26
