# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
720	2.0000000000000000e+00	0	0	-3	180	180	-4.0666666666666664e+00	1.5265566588595902e-16	1.5265566588595902e-16	-2.7004676087015039e-27	-1.6659198027566775e-25
720	2.0000000000000000e+00	0	0	-2	180	180	-4.0444444444444443e+00	1.5265566588595902e-16	1.5265566588595902e-16	-6.7651385276894477e-28	-4.2259514693931587e-26
720	2.0000000000000000e+00	0	0	-1	180	180	-4.0222222222222221e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.6659475231106970e-28	-1.0534402205669700e-26
720	2.0000000000000000e+00	0	0	0	180	180	-4.0000000000000000e+00	1.5265566588595902e-16	1.5265566588595902e-16	-4.0512658265201761e-29	-2.5917405504857341e-27
720	2.0000000000000000e+00	0	0	1	180	180	-3.9777777777777779e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.6659475231103869e-28	-1.0534402205664085e-26
720	2.0000000000000000e+00	0	0	2	180	180	-3.9555555555555557e+00	1.5265566588595902e-16	1.5265566588595902e-16	-6.7651385276872558e-28	-4.2259514693919407e-26
720	2.0000000000000000e+00	0	0	3	180	180	-3.9333333333333331e+00	1.5265566588595902e-16	1.5265566588595902e-16	-2.7004676087012032e-27	-1.6659198027568632e-25
720	2.0000000000000000e+00	0	0	4	180	180	-3.9111111111111110e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.0590629868663072e-26	-6.4501047289507443e-25
720	2.0000000000000000e+00	0	0	5	180	180	-3.8888888888888888e+00	1.5265566588595902e-16	1.5265566588595902e-16	-4.0795911461641374e-26	-2.4521997158607955e-24
720	2.0000000000000000e+00	0	0	6	180	180	-3.8666666666666667e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.5432411277969477e-25	-9.1524011218003485e-24
720	2.0000000000000000e+00	0	0	7	180	180	-3.8444444444444446e+00	1.5265566588595902e-16	1.5265566588595902e-16	-5.7318855680732389e-25	-3.3529924083516738e-23
720	2.0000000000000000e+00	0	0	8	180	180	-3.8222222222222224e+00	1.5265566588595902e-16	1.5265566588595902e-16	-2.0899967290880160e-24	-1.2055636618164339e-22
720	2.0000000000000000e+00	0	0	9	180	180	-3.7999999999999998e+00	1.5265566588595902e-16	1.5265566588595902e-16	-7.4804659021713227e-24	-4.2536530158486836e-22
720	2.0000000000000000e+00	0	0	10	180	180	-3.7777777777777777e+00	1.5265566588595902e-16	1.5265566588595902e-16	-2.6279004793532832e-23	-1.4726984757563928e-21
720	2.0000000000000000e+00	0	0	11	180	180	-3.7555555555555555e+00	1.5265566588595902e-16	1.5265566588595902e-16	-9.0606450790904053e-23	-5.0028889233805146e-21
720	2.0000000000000000e+00	0	0	12	180	180	-3.7333333333333334e+00	1.5265566588595902e-16	1.5265566588595902e-16	-3.0659218292040105e-22	-1.6675043669127108e-20
720	2.0000000000000000e+00	0	0	13	180	180	-3.7111111111111112e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.0181328061809023e-21	-5.4530972799271455e-20
