# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
360	1.0000000000000000e+00	0	0	180	180	-3	1.5265566588595902e-16	1.5265566588595902e-16	-4.0666666666666664e+00	-5.5130604076901399e-65	-6.2042058722821640e-63
360	1.0000000000000000e+00	0	0	180	180	-2	1.5265566588595902e-16	1.5265566588595902e-16	-4.0444444444444443e+00	-3.5278051087973423e-67	-1.9472336256648729e-64
360	1.0000000000000000e+00	0	0	180	180	-1	1.5265566588595902e-16	1.5265566588595902e-16	-4.0222222222222221e+00	8.8392257640641620e-67	6.7960852054716126e-65
360	1.0000000000000000e+00	0	0	180	180	0	1.5265566588595902e-16	1.5265566588595902e-16	-4.0000000000000000e+00	3.6633811794132063e-67	3.3789296265982818e-65
360	1.0000000000000000e+00	0	0	180	180	1	1.5265566588595902e-16	1.5265566588595902e-16	-3.9777777777777779e+00	8.8439923297547093e-67	6.7988366196633634e-65
360	1.0000000000000000e+00	0	0	180	180	2	1.5265566588595902e-16	1.5265566588595902e-16	-3.9555555555555557e+00	-3.5306914944135503e-67	-1.9491818809543825e-64
360	1.0000000000000000e+00	0	0	180	180	3	1.5265566588595902e-16	1.5265566588595902e-16	-3.9333333333333331e+00	-5.5146374813208614e-65	-6.2058183326215840e-63
360	1.0000000000000000e+00	0	0	180	180	4	1.5265566588595902e-16	1.5265566588595902e-16	-3.9111111111111110e+00	-6.5544596985937895e-64	-6.4429650715096335e-62
360	1.0000000000000000e+00	0	0	180	180	5	1.5265566588595902e-16	1.5265566588595902e-16	-3.8888888888888888e+00	-4.8508115587507838e-63	-4.3140404606415039e-61
360	1.0000000000000000e+00	0	0	180	180	6	1.5265566588595902e-16	1.5265566588595902e-16	-3.8666666666666667e+00	-2.2001434653906596e-62	-1.6199592484185110e-60
360	1.0000000000000000e+00	0	0	180	180	7	1.5265566588595902e-16	1.5265566588595902e-16	-3.8444444444444446e+00	4.7230136609137720e-63	4.3729404643529550e-60
360	1.0000000000000000e+00	0	0	180	180	8	1.5265566588595902e-16	1.5265566588595902e-16	-3.8222222222222224e+00	1.2898686846373211e-60	1.4298658506862484e-58
360	1.0000000000000000e+00	0	0	180	180	9	1.5265566588595902e-16	1.5265566588595902e-16	-3.7999999999999998e+00	1.5550757939991653e-59	1.5040555237367776e-57
360	1.0000000000000000e+00	0	0	180	180	10	1.5265566588595902e-16	1.5265566588595902e-16	-3.7777777777777777e+00	1.1989902384213546e-58	1.0590407515052167e-56
360	1.0000000000000000e+00	0	0	180	180	11	1.5265566588595902e-16	1.5265566588595902e-16	-3.7555555555555555e+00	6.2592998288960236e-58	4.8474697822341716e-56
360	1.0000000000000000e+00	0	0	180	180	12	1.5265566588595902e-16	1.5265566588595902e-16	-3.7333333333333334e+00	1.2349208169095360e-57	2.9129170166171158e-56
360	1.0000000000000000e+00	0	0	180	180	13	1.5265566588595902e-16	1.5265566588595902e-16	-3.7111111111111112e+00	-1.8115762377356888e-56	-2.1894845318532242e-54
360	1.0000000000000000e+00	0	0	180	180	14	1.5265566588595902e-16	1.5265566588595902e-16	-3.6888888888888887e+00	-2.8694495364553567e-55	-2.8204950180876459e-53
360	1.0000000000000000e+00	0	0	180	180	15	1.5265566588595902e-16	1.5265566588595902e-16	-3.6666666666666665e+00	-2.5746084357300873e-54	-2.3132835558167878e-52
360	1.0000000000000000e+00	0	0	180	180	16	1.5265566588595902e-16	1.5265566588595902e-16	-3.6444444444444444e+00	-1.6787833067843338e-53	-1.3860638265586440e-51
360	1.0000000000000000e+00	0	0	180	180	17	1.5265566588595902e-16	1.5265566588595902e-16	-3.6222222222222222e+00	-7.4662487452785337e-53	-5.2612647830518798e-51
360	1.0000000000000000e+00	0	0	180	180	18	1.5265566588595902e-16	1.5265566588595902e-16	-3.6000000000000001e+00	-6.9389456765218744e-53	4.8334947015252457e-51
360	1.0000000000000000e+00	0	0	180	180	19	1.5265566588595902e-16	1.5265566588595902e-16	-3.5777777777777779e+00	2.8702762248357098e-51	3.1789138595884324e-49
360	1.0000000000000000e+00	0	0	180	180	20	1.5265566588595902e-16	1.5265566588595902e-16	-3.5555555555555554e+00	3.8594941077689472e-50	3.6394403748402593e-48
360	1.0000000000000000e+00	0	0	180	180	21	1.5265566588595902e-16	1.5265566588595902e-16	-3.5333333333333332e+00	3.3297105724655580e-49	2.9048398500215109e-47
360	1.0000000000000000e+00	0	0	180	180	22	1.5265566588595902e-16	1.5265566588595902e-16	-3.5111111111111111e+00	2.2182141603559711e-48	1.8065229627659917e-46
360	1.0000000000000000e+00	0	0	180	180	23	1.5265566588595902e-16	1.5265566588595902e-16	-3.4888888888888889e+00	1.1290409030611673e-47	8.3281363409969331e-46
360	1.0000000000000000e+00	0	0	180	180	24	1.5265566588595902e-16	1.5265566588595902e-16	-3.4666666666666668e+00	3.3626296188943242e-47	1.7289259255889187e-45
360	1.0000000000000000e+00	0	0	180	180	25	1.5265566588595902e-16	1.5265566588595902e-16	-3.4444444444444446e+00	-1.1522218519340254e-46	-1.7328960750678285e-44
360	1.0000000000000000e+00	0	0	180	180	26	1.5265566588595902e-16	1.5265566588595902e-16	-3.4222222222222221e+00	-2.9653177436355820e-45	-2.9006286677202991e-43
360	1.0000000000000000e+00	0	0	180	180	27	1.5265566588595902e-16	1.5265566588595902e-16	-3.3999999999999999e+00	-3.1072594785408334e-44	-2.7537095654901039e-42
360	1.0000000000000000e+00	0	0	180	180	28	1.5265566588595902e-16	1.5265566588595902e-16	-3.3777777777777778e+00	-2.4675321859845299e-43	-2.0622690530967499e-41
360	1.0000000000000000e+00	0	0	180	180	29	1.5265566588595902e-16	1.5265566588595902e-16	-3.3555555555555556e+00	-1.6348160679760982e-42	-1.2985922993432851e-40
360	1.0000000000000000e+00	0	0	180	180	30	1.5265566588595902e-16	1.5265566588595902e-16	-3.3333333333333335e+00	-9.1244703975315536e-42	-6.8291753697729909e-40
360	1.0000000000000000e+00	0	0	180	180	31	1.5265566588595902e-16	1.5265566588595902e-16	-3.3111111111111109e+00	-4.0332940775741007e-41	-2.7200811671525628e-39
360	1.0000000000000000e+00	0	0	180	180	32	1.5265566588595902e-16	1.5265566588595902e-16	-3.2888888888888888e+00	-9.9686822292685378e-41	-4.0116180628522942e-39
360	1.0000000000000000e+00	0	0	180	180	33	1.5265566588595902e-16	1.5265566588595902e-16	-3.2666666666666666e+00	5.0328889801803094e-40	6.5889712321773528e-38
360	1.0000000000000000e+00	0	0	180	180	34	1.5265566588595902e-16	1.5265566588595902e-16	-3.2444444444444445e+00	1.0384323547380797e-38	9.7055490250702792e-37
360	1.0000000000000000e+00	0	0	180	180	35	1.5265566588595902e-16	1.5265566588595902e-16	-3.2222222222222223e+00	1.0621724247770302e-37	9.1118216574647048e-36
360	1.0000000000000000e+00	0	0	180	180	36	1.5265566588595902e-16	1.5265566588595902e-16	-3.2000000000000002e+00	8.7229998748328364e-37	7.1472153776612172e-35
360	1.0000000000000000e+00	0	0	180	180	37	1.5265566588595902e-16	1.5265566588595902e-16	-3.1777777777777776e+00	6.3469773938580743e-36	5.0366197130051173e-34
360	1.0000000000000000e+00	0	0	180	180	38	1.5265566588595902e-16	1.5265566588595902e-16	-3.1555555555555554e+00	4.2514999165969731e-35	3.2889889948797751e-33
360	1.0000000000000000e+00	0	0	180	180	39	1.5265566588595902e-16	1.5265566588595902e-16	-3.1333333333333333e+00	2.6729746135971467e-34	2.0232271869534541e-32
360	1.0000000000000000e+00	0	0	180	180	40	1.5265566588595902e-16	1.5265566588595902e-16	-3.1111111111111112e+00	1.5953350022244782e-33	1.1841475335535165e-31
360	1.0000000000000000e+00	0	0	180	180	41	1.5265566588595902e-16	1.5265566588595902e-16	-3.0888888888888890e+00	9.1054229833461343e-33	6.6374638812925353e-31
360	1.0000000000000000e+00	0	0	180	180	42	1.5265566588595902e-16	1.5265566588595902e-16	-3.0666666666666664e+00	4.9951564075228066e-32	3.5796965232852125e-30
360	1.0000000000000000e+00	0	0	180	180	43	1.5265566588595902e-16	1.5265566588595902e-16	-3.0444444444444443e+00	2.6436990746192573e-31	1.8639114788439674e-29
360	1.0000000000000000e+00	0	0	180	180	44	1.5265566588595902e-16	1.5265566588595902e-16	-3.0222222222222221e+00	1.3536752994405410e-30	9.3946393457759369e-29
360	1.0000000000000000e+00	0	0	180	180	45	1.5265566588595902e-16	1.5265566588595902e-16	-3.0000000000000000e+00	6.7207440651905082e-30	4.5931614472819350e-28
360	1.0000000000000000e+00	0	0	180	180	46	1.5265566588595902e-16	1.5265566588595902e-16	-2.9777777777777779e+00	3.2411052360548317e-29	2.1819707973734676e-27
360	1.0000000000000000e+00	0	0	180	180	47	1.5265566588595902e-16	1.5265566588595902e-16	-2.9555555555555557e+00	1.5204637286927342e-28	1.0085398691855693e-26
360	1.0000000000000000e+00	0	0	180	180	48	1.5265566588595902e-16	1.5265566588595902e-16	-2.9333333333333331e+00	6.9469779487320006e-28	4.5409673081237604e-26
