# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
125	5.0000000000000000e-01	0	0	125	125	-3	8.3266726846886741e-17	8.3266726846886741e-17	-4.0960000000000001e+00	-2.7597119638775048e-76	-3.0945201631329954e-74
125	5.0000000000000000e-01	0	0	125	125	-2	8.3266726846886741e-17	8.3266726846886741e-17	-4.0640000000000001e+00	-3.7779132410756558e-77	-4.3413160480294184e-75
125	5.0000000000000000e-01	0	0	125	125	-1	8.3266726846886741e-17	8.3266726846886741e-17	-4.0320000000000000e+00	-1.6309705349787650e-78	-1.9085705208833194e-76
125	5.0000000000000000e-01	0	0	125	125	0	8.3266726846886741e-17	8.3266726846886741e-17	-4.0000000000000000e+00	1.2181081641776193e-79	1.4166203553118283e-77
125	5.0000000000000000e-01	0	0	125	125	1	8.3266726846886741e-17	8.3266726846886741e-17	-3.9680000000000000e+00	-1.6309026259572437e-78	-1.9084910897356803e-76
125	5.0000000000000000e-01	0	0	125	125	2	8.3266726846886741e-17	8.3266726846886741e-17	-3.9359999999999999e+00	-3.7779174379600203e-77	-4.3413766169605548e-75
125	5.0000000000000000e-01	0	0	125	125	3	8.3266726846886741e-17	8.3266726846886741e-17	-3.9039999999999999e+00	-2.7598138525530075e-76	-3.0946350783749875e-74
125	5.0000000000000000e-01	0	0	125	125	4	8.3266726846886741e-17	8.3266726846886741e-17	-3.8719999999999999e+00	2.7964721928362059e-75	3.2173443346394102e-73
125	5.0000000000000000e-01	0	0	125	125	5	8.3266726846886741e-17	8.3266726846886741e-17	-3.8399999999999999e+00	9.4375933147486092e-74	1.0515004916423108e-71
125	5.0000000000000000e-01	0	0	125	125	6	8.3266726846886741e-17	8.3266726846886741e-17	-3.8079999999999998e+00	9.6121183035081342e-73	1.0435319626000710e-70
125	5.0000000000000000e-01	0	0	125	125	7	8.3266726846886741e-17	8.3266726846886741e-17	-3.7759999999999998e+00	-1.7752054817898799e-72	-2.2044379744827023e-70
