# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
450	1.5000000000000000e+00	0	0	-3	150	150	-4.0800000000000001e+00	2.5673907444456745e-16	2.5673907444456745e-16	-5.2284394660916088e-42	-4.0798323630390940e-40
450	1.5000000000000000e+00	0	0	-2	150	150	-4.0533333333333337e+00	2.5673907444456745e-16	2.5673907444456745e-16	-6.3308335058184928e-43	-5.0169625297678625e-41
450	1.5000000000000000e+00	0	0	-1	150	150	-4.0266666666666664e+00	2.5673907444456745e-16	2.5673907444456745e-16	-7.4179057886978832e-44	-5.9367519226712263e-42
450	1.5000000000000000e+00	0	0	0	150	150	-4.0000000000000000e+00	2.5673907444456745e-16	2.5673907444456745e-16	-7.9202419919214000e-45	-6.3532388721929811e-43
450	1.5000000000000000e+00	0	0	1	150	150	-3.9733333333333332e+00	2.5673907444456745e-16	2.5673907444456745e-16	-7.4180007199706726e-44	-5.9368260866824469e-42
450	1.5000000000000000e+00	0	0	2	150	150	-3.9466666666666668e+00	2.5673907444456745e-16	2.5673907444456745e-16	-6.3308343938211379e-43	-5.0169237947672796e-41
450	1.5000000000000000e+00	0	0	3	150	150	-3.9199999999999999e+00	2.5673907444456745e-16	2.5673907444456745e-16	-5.2283931124946964e-42	-4.0797856678047675e-40
450	1.5000000000000000e+00	0	0	4	150	150	-3.8933333333333335e+00	2.5673907444456745e-16	2.5673907444456745e-16	-4.1519448080130383e-41	-3.1859167088453610e-39
450	1.5000000000000000e+00	0	0	5	150	150	-3.8666666666666667e+00	2.5673907444456745e-16	2.5673907444456745e-16	-3.1767812880118426e-40	-2.3998812447781542e-38
450	1.5000000000000000e+00	0	0	6	150	150	-3.8399999999999999e+00	2.5673907444456745e-16	2.5673907444456745e-16	-2.3567271242653742e-39	-1.7567200199689430e-37
450	1.5000000000000000e+00	0	0	7	150	150	-3.8133333333333335e+00	2.5673907444456745e-16	2.5673907444456745e-16	-1.7068698078663906e-38	-1.2581564790512913e-36
450	1.5000000000000000e+00	0	0	8	150	150	-3.7866666666666666e+00	2.5673907444456745e-16	2.5673907444456745e-16	-1.2129691085388257e-37	-8.8537545595551967e-36
450	1.5000000000000000e+00	0	0	9	150	150	-3.7599999999999998e+00	2.5673907444456745e-16	2.5673907444456745e-16	-8.4758929429224978e-37	-6.1282953010621372e-35
450	1.5000000000000000e+00	0	0	10	150	150	-3.7333333333333334e+00	2.5673907444456745e-16	2.5673907444456745e-16	-5.8205506119602471e-36	-4.1661534683051172e-34
450	1.5000000000000000e+00	0	0	11	150	150	-3.7066666666666666e+00	2.5673907444456745e-16	2.5673907444456745e-16	-3.9195034012002834e-35	-2.7743109435246619e-33
450	1.5000000000000000e+00	0	0	12	150	150	-3.6800000000000002e+00	2.5673907444456745e-16	2.5673907444456745e-16	-2.5814278143960175e-34	-1.8049141680451733e-32
450	1.5000000000000000e+00	0	0	13	150	150	-3.6533333333333333e+00	2.5673907444456745e-16	2.5673907444456745e-16	-1.6593873386205580e-33	-1.1451002542411023e-31
450	1.5000000000000000e+00	0	0	14	150	150	-3.6266666666666665e+00	2.5673907444456745e-16	2.5673907444456745e-16	-1.0399198320402379e-32	-7.0791330118735208e-31
450	1.5000000000000000e+00	0	0	15	150	150	-3.6000000000000001e+00	2.5673907444456745e-16	2.5673907444456745e-16	-6.3525536698619396e-32	-4.2653744894577939e-30
450	1.5000000000000000e+00	0	0	16	150	150	-3.5733333333333333e+00	2.5673907444456745e-16	2.5673907444456745e-16	-3.7850393366186336e-31	-2.5071453377175737e-29
450	1.5000000000000000e+00	0	0	17	150	150	-3.5466666666666669e+00	2.5673907444456745e-16	2.5673907444456745e-16	-2.2022015291589090e-30	-1.4395091617828471e-28
450	1.5000000000000000e+00	0	0	18	150	150	-3.5200000000000000e+00	2.5673907444456745e-16	2.5673907444456745e-16	-1.2527536976289933e-29	-8.0841600321532196e-28
450	1.5000000000000000e+00	0	0	19	150	150	-3.4933333333333332e+00	2.5673907444456745e-16	2.5673907444456745e-16	-6.9756644862163857e-29	-4.4451874349109916e-27
