# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
300	1.0000000000000000e+00	0	0	150	-3	150	2.5673907444456745e-16	-4.0800000000000001e+00	2.5673907444456745e-16	-6.8505484298803454e-62	2.5101420266919104e-60
300	1.0000000000000000e+00	0	0	150	-2	150	2.5673907444456745e-16	-4.0533333333333337e+00	2.5673907444456745e-16	-4.8838254047983497e-62	-3.7722738468722410e-60
300	1.0000000000000000e+00	0	0	150	-1	150	2.5673907444456745e-16	-4.0266666666666664e+00	2.5673907444456745e-16	-6.9706603247440627e-63	-6.5775224422846507e-61
300	1.0000000000000000e+00	0	0	150	0	150	2.5673907444456745e-16	-4.0000000000000000e+00	2.5673907444456745e-16	-8.6172126018668033e-64	-1.0464827062797462e-61
300	1.0000000000000000e+00	0	0	150	1	150	2.5673907444456745e-16	-3.9733333333333332e+00	2.5673907444456745e-16	-6.9712289683179260e-63	-6.5782988193855678e-61
300	1.0000000000000000e+00	0	0	150	2	150	2.5673907444456745e-16	-3.9466666666666668e+00	2.5673907444456745e-16	-4.8842106367465735e-62	-3.7724127187416069e-60
300	1.0000000000000000e+00	0	0	150	3	150	2.5673907444456745e-16	-3.9199999999999999e+00	2.5673907444456745e-16	-6.8493199711062985e-62	2.5126523782708132e-60
300	1.0000000000000000e+00	0	0	150	4	150	2.5673907444456745e-16	-3.8933333333333335e+00	2.5673907444456745e-16	2.5484245206830376e-60	2.8109797113259515e-58
300	1.0000000000000000e+00	0	0	150	5	150	2.5673907444456745e-16	-3.8666666666666667e+00	2.5673907444456745e-16	3.3348774565341705e-59	2.9837426776557852e-57
300	1.0000000000000000e+00	0	0	150	6	150	2.5673907444456745e-16	-3.8399999999999999e+00	2.5673907444456745e-16	2.0778845665479003e-58	1.5107183801609277e-56
300	1.0000000000000000e+00	0	0	150	7	150	2.5673907444456745e-16	-3.8133333333333335e+00	2.5673907444456745e-16	1.6941931693110393e-58	-2.2603829781137502e-56
300	1.0000000000000000e+00	0	0	150	8	150	2.5673907444456745e-16	-3.7866666666666666e+00	2.5673907444456745e-16	-1.1462468514688822e-56	-1.2121481604534480e-54
300	1.0000000000000000e+00	0	0	150	9	150	2.5673907444456745e-16	-3.7599999999999998e+00	2.5673907444456745e-16	-1.4022114912077153e-55	-1.2181381042228542e-53
300	1.0000000000000000e+00	0	0	150	10	150	2.5673907444456745e-16	-3.7333333333333334e+00	2.5673907444456745e-16	-8.6635840631532729e-55	-6.1849605802144334e-53
300	1.0000000000000000e+00	0	0	150	11	150	2.5673907444456745e-16	-3.7066666666666666e+00	2.5673907444456745e-16	-1.1302527287747018e-54	4.7372868242173617e-53
300	1.0000000000000000e+00	0	0	150	12	150	2.5673907444456745e-16	-3.6800000000000002e+00	2.5673907444456745e-16	3.9991216434228545e-53	4.2441507623886810e-51
300	1.0000000000000000e+00	0	0	150	13	150	2.5673907444456745e-16	-3.6533333333333333e+00	2.5673907444456745e-16	5.2004082219245857e-52	4.4849628623581985e-50
300	1.0000000000000000e+00	0	0	150	14	150	2.5673907444456745e-16	-3.6266666666666665e+00	2.5673907444456745e-16	3.5127296068312310e-51	2.5602301853318560e-49
300	1.0000000000000000e+00	0	0	150	15	150	2.5673907444456745e-16	-3.6000000000000001e+00	2.5673907444456745e-16	9.3657181660170339e-51	2.9549857097522418e-49
300	1.0000000000000000e+00	0	0	150	16	150	2.5673907444456745e-16	-3.5733333333333333e+00	2.5673907444456745e-16	-9.6309013417080471e-50	-1.1204143975950208e-47
300	1.0000000000000000e+00	0	0	150	17	150	2.5673907444456745e-16	-3.5466666666666669e+00	2.5673907444456745e-16	-1.6219209856427843e-48	-1.4246949474147607e-46
300	1.0000000000000000e+00	0	0	150	18	150	2.5673907444456745e-16	-3.5200000000000000e+00	2.5673907444456745e-16	-1.2972597052375922e-47	-9.8412307937063048e-46
300	1.0000000000000000e+00	0	0	150	19	150	2.5673907444456745e-16	-3.4933333333333332e+00	2.5673907444456745e-16	-5.7409234282122452e-47	-3.3245700171839430e-45
