# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
500	2.0000000000000000e+00	0	0	125	125	-3	8.3266726846886741e-17	8.3266726846886741e-17	-4.0960000000000001e+00	1.3429378609006202e-26	5.2441222802619563e-25
500	2.0000000000000000e+00	0	0	125	125	-2	8.3266726846886741e-17	8.3266726846886741e-17	-4.0640000000000001e+00	2.4044356024573219e-27	1.8711448780673498e-25
500	2.0000000000000000e+00	0	0	125	125	-1	8.3266726846886741e-17	8.3266726846886741e-17	-4.0320000000000000e+00	-2.5842104457267931e-29	1.4677409791516716e-26
500	2.0000000000000000e+00	0	0	125	125	0	8.3266726846886741e-17	8.3266726846886741e-17	-4.0000000000000000e+00	-1.4774983875952467e-28	-7.0690605604096843e-27
500	2.0000000000000000e+00	0	0	125	125	1	8.3266726846886741e-17	8.3266726846886741e-17	-3.9680000000000000e+00	-2.5842104477277929e-29	1.4677409790261962e-26
500	2.0000000000000000e+00	0	0	125	125	2	8.3266726846886741e-17	8.3266726846886741e-17	-3.9359999999999999e+00	2.4044356023848024e-27	1.8711448780502285e-25
500	2.0000000000000000e+00	0	0	125	125	3	8.3266726846886741e-17	8.3266726846886741e-17	-3.9039999999999999e+00	1.3429378609000644e-26	5.2441222803587739e-25
500	2.0000000000000000e+00	0	0	125	125	4	8.3266726846886741e-17	8.3266726846886741e-17	-3.8719999999999999e+00	9.6761690982183603e-27	-1.7426831625486646e-24
500	2.0000000000000000e+00	0	0	125	125	5	8.3266726846886741e-17	8.3266726846886741e-17	-3.8399999999999999e+00	-2.3998756686807127e-25	-1.7999160441685329e-23
500	2.0000000000000000e+00	0	0	125	125	6	8.3266726846886741e-17	8.3266726846886741e-17	-3.8079999999999998e+00	-1.2924352326267545e-24	-4.6816581598907636e-23
500	2.0000000000000000e+00	0	0	125	125	7	8.3266726846886741e-17	8.3266726846886741e-17	-3.7759999999999998e+00	-2.2147319563638600e-24	3.5924769744969752e-23
500	2.0000000000000000e+00	0	0	125	125	8	8.3266726846886741e-17	8.3266726846886741e-17	-3.7439999999999998e+00	2.1880959110827512e-24	2.0907843864113610e-22
500	2.0000000000000000e+00	0	0	125	125	9	8.3266726846886741e-17	8.3266726846886741e-17	-3.7120000000000002e+00	-8.8088486926964691e-24	-2.0975800651344325e-21
500	2.0000000000000000e+00	0	0	125	125	10	8.3266726846886741e-17	8.3266726846886741e-17	-3.6800000000000002e+00	-1.1487354286008530e-22	-5.3124703094646255e-21
500	2.0000000000000000e+00	0	0	125	125	11	8.3266726846886741e-17	8.3266726846886741e-17	-3.6480000000000001e+00	1.0040314810972011e-21	1.1891434296691766e-19
500	2.0000000000000000e+00	0	0	125	125	12	8.3266726846886741e-17	8.3266726846886741e-17	-3.6160000000000001e+00	1.6369303749100146e-20	1.1245458164599991e-18
500	2.0000000000000000e+00	0	0	125	125	13	8.3266726846886741e-17	8.3266726846886741e-17	-3.5840000000000001e+00	9.4081123697143072e-20	4.3382197623304673e-18
500	2.0000000000000000e+00	0	0	125	125	14	8.3266726846886741e-17	8.3266726846886741e-17	-3.5520000000000000e+00	2.2717009043930283e-19	1.7751460255026225e-18
500	2.0000000000000000e+00	0	0	125	125	15	8.3266726846886741e-17	8.3266726846886741e-17	-3.5200000000000000e+00	-5.9808123530545673e-19	-7.5713351634750392e-17
500	2.0000000000000000e+00	0	0	125	125	16	8.3266726846886741e-17	8.3266726846886741e-17	-3.4880000000000000e+00	-8.4000250142018953e-18	-5.0388639291026264e-16
500	2.0000000000000000e+00	0	0	125	125	17	8.3266726846886741e-17	8.3266726846886741e-17	-3.4560000000000000e+00	-4.4965991547000844e-17	-2.0429158866448306e-15
