# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
180	4.9999999999999872e-01	0	0	-3	180	180	-4.0666666666666664e+00	1.5265566588595902e-16	1.5265566588595902e-16	1.4247588409238698e-87	1.4439557399757662e-85
180	4.9999999999999872e-01	0	0	-2	180	180	-4.0444444444444443e+00	1.5265566588595902e-16	1.5265566588595902e-16	-5.3715510557521094e-89	-7.6773697736474335e-87
180	4.9999999999999872e-01	0	0	-1	180	180	-4.0222222222222221e+00	1.5265566588595902e-16	1.5265566588595902e-16	-2.0780746859936527e-89	-2.4667435820586485e-87
180	4.9999999999999872e-01	0	0	0	180	180	-4.0000000000000000e+00	1.5265566588595902e-16	1.5265566588595902e-16	-5.1530685722335802e-90	-5.9297825152844001e-88
180	4.9999999999999872e-01	0	0	1	180	180	-3.9777777777777779e+00	1.5265566588595902e-16	1.5265566588595902e-16	-2.0839253078202692e-89	-2.4751077515411787e-87
180	4.9999999999999872e-01	0	0	2	180	180	-3.9555555555555557e+00	1.5265566588595902e-16	1.5265566588595902e-16	-5.3967200485158476e-89	-7.6791840856290394e-87
180	4.9999999999999872e-01	0	0	3	180	180	-3.9333333333333331e+00	1.5265566588595902e-16	1.5265566588595902e-16	1.4280036860305782e-87	1.4498622196134575e-85
180	4.9999999999999872e-01	0	0	4	180	180	-3.9111111111111110e+00	1.5265566588595902e-16	1.5265566588595902e-16	3.0196832460225397e-86	3.2796520257833420e-84
180	4.9999999999999872e-01	0	0	5	180	180	-3.8888888888888888e+00	1.5265566588595902e-16	1.5265566588595902e-16	3.5194739741950200e-85	3.9137674946871306e-83
180	4.9999999999999872e-01	0	0	6	180	180	-3.8666666666666667e+00	1.5265566588595902e-16	1.5265566588595902e-16	2.6320014380897791e-84	3.0110042915378485e-82
180	4.9999999999999872e-01	0	0	7	180	180	-3.8444444444444446e+00	1.5265566588595902e-16	1.5265566588595902e-16	6.2640879874071814e-84	8.5784331156539953e-82
180	4.9999999999999872e-01	0	0	8	180	180	-3.8222222222222224e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.7583413587274130e-82	-1.7388024266977037e-80
180	4.9999999999999872e-01	0	0	9	180	180	-3.7999999999999998e+00	1.5265566588595902e-16	1.5265566588595902e-16	-3.6099464264030975e-81	-3.7830830632220390e-79
180	4.9999999999999872e-01	0	0	10	180	180	-3.7777777777777777e+00	1.5265566588595902e-16	1.5265566588595902e-16	-4.2119164412012599e-80	-4.4958982158823692e-78
180	4.9999999999999872e-01	0	0	11	180	180	-3.7555555555555555e+00	1.5265566588595902e-16	1.5265566588595902e-16	-3.3252181979516740e-79	-3.6170842591846047e-77
180	4.9999999999999872e-01	0	0	12	180	180	-3.7333333333333334e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.2686249024804745e-78	-1.4851173799854260e-76
180	4.9999999999999872e-01	0	0	13	180	180	-3.7111111111111112e+00	1.5265566588595902e-16	1.5265566588595902e-16	1.2226077560206618e-77	1.1210237083330023e-75
180	4.9999999999999872e-01	0	0	14	180	180	-3.6888888888888887e+00	1.5265566588595902e-16	1.5265566588595902e-16	3.2879914781559607e-76	3.2957826659051136e-74
180	4.9999999999999872e-01	0	0	15	180	180	-3.6666666666666665e+00	1.5265566588595902e-16	1.5265566588595902e-16	4.2583485738652819e-75	4.3412812611667000e-73
180	4.9999999999999872e-01	0	0	16	180	180	-3.6444444444444444e+00	1.5265566588595902e-16	1.5265566588595902e-16	3.8756830006185534e-74	3.9933003501357699e-72
180	4.9999999999999872e-01	0	0	17	180	180	-3.6222222222222222e+00	1.5265566588595902e-16	1.5265566588595902e-16	2.3451117632999418e-73	2.4678158889064958e-71
180	4.9999999999999872e-01	0	0	18	180	180	-3.6000000000000001e+00	1.5265566588595902e-16	1.5265566588595902e-16	2.1984718424011166e-73	3.3454203333345005e-71
180	4.9999999999999872e-01	0	0	19	180	180	-3.5777777777777779e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.8181095231954547e-71	-1.7129180645265535e-69
180	4.9999999999999872e-01	0	0	20	180	180	-3.5555555555555554e+00	1.5265566588595902e-16	1.5265566588595902e-16	-3.1905013758014327e-70	-3.0944454788589623e-68
180	4.9999999999999872e-01	0	0	21	180	180	-3.5333333333333332e+00	1.5265566588595902e-16	1.5265566588595902e-16	-3.5875366093445422e-69	-3.5062826614745695e-67
180	4.9999999999999872e-01	0	0	22	180	180	-3.5111111111111111e+00	1.5265566588595902e-16	1.5265566588595902e-16	-3.0213361126118374e-68	-2.9683754840045040e-66
180	4.9999999999999872e-01	0	0	23	180	180	-3.4888888888888889e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.7705506356202667e-67	-1.7625872635923981e-65
180	4.9999999999999872e-01	0	0	24	180	180	-3.4666666666666668e+00	1.5265566588595902e-16	1.5265566588595902e-16	-2.5443447417238213e-67	-3.0339829627247514e-65
180	4.9999999999999872e-01	0	0	25	180	180	-3.4444444444444446e+00	1.5265566588595902e-16	1.5265566588595902e-16	1.1102145327852838e-65	1.0042212068648841e-63
180	4.9999999999999872e-01	0	0	26	180	180	-3.4222222222222221e+00	1.5265566588595902e-16	1.5265566588595902e-16	2.0220425283236953e-64	1.8734849537614658e-62
180	4.9999999999999872e-01	0	0	27	180	180	-3.3999999999999999e+00	1.5265566588595902e-16	1.5265566588595902e-16	2.3511415144759353e-63	2.1863654297160069e-61
180	4.9999999999999872e-01	0	0	28	180	180	-3.3777777777777778e+00	1.5265566588595902e-16	1.5265566588595902e-16	2.1351475109779742e-62	1.9855181704161944e-60
180	4.9999999999999872e-01	0	0	29	180	180	-3.3555555555555556e+00	1.5265566588595902e-16	1.5265566588595902e-16	1.5312846255241858e-61	1.4248740157745322e-59
180	4.9999999999999872e-01	0	0	30	180	180	-3.3333333333333335e+00	1.5265566588595902e-16	1.5265566588595902e-16	7.4904000139960446e-61	7.0375471752150363e-59
180	4.9999999999999872e-01	0	0	31	180	180	-3.3111111111111109e+00	1.5265566588595902e-16	1.5265566588595902e-16	-1.2986153418964871e-61	7.1355024265122174e-60
