# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
720	1.9999999999999936e+00	0	0	180	180	-3	1.5265566588595902e-16	1.5265566588595902e-16	-4.0666666666666664e+00	7.1823181203386409e-30	9.3061255797874022e-28
720	1.9999999999999936e+00	0	0	180	180	-2	1.5265566588595902e-16	1.5265566588595902e-16	-4.0444444444444443e+00	-1.0521473376687861e-30	1.1363672761742377e-29
720	1.9999999999999936e+00	0	0	180	180	-1	1.5265566588595902e-16	1.5265566588595902e-16	-4.0222222222222221e+00	-7.2573576408064865e-31	-3.6333538280198476e-29
720	1.9999999999999936e+00	0	0	180	180	0	1.5265566588595902e-16	1.5265566588595902e-16	-4.0000000000000000e+00	-4.1798212522730516e-31	-2.5540468358345658e-29
720	1.9999999999999936e+00	0	0	180	180	1	1.5265566588595902e-16	1.5265566588595902e-16	-3.9777777777777779e+00	-7.2573576409080132e-31	-3.6333538280565846e-29
720	1.9999999999999936e+00	0	0	180	180	2	1.5265566588595902e-16	1.5265566588595902e-16	-3.9555555555555557e+00	-1.0521473376868766e-30	1.1363672761614063e-29
720	1.9999999999999936e+00	0	0	180	180	3	1.5265566588595902e-16	1.5265566588595902e-16	-3.9333333333333331e+00	7.1823181203325383e-30	9.3061255798008636e-28
720	1.9999999999999936e+00	0	0	180	180	4	1.5265566588595902e-16	1.5265566588595902e-16	-3.9111111111111110e+00	9.3539134695773518e-29	8.4269735254173128e-27
720	1.9999999999999936e+00	0	0	180	180	5	1.5265566588595902e-16	1.5265566588595902e-16	-3.8888888888888888e+00	7.0374722725443372e-28	5.6396544464088949e-26
720	1.9999999999999936e+00	0	0	180	180	6	1.5265566588595902e-16	1.5265566588595902e-16	-3.8666666666666667e+00	4.3487678999278031e-27	3.2634788857071885e-25
720	1.9999999999999936e+00	0	0	180	180	7	1.5265566588595902e-16	1.5265566588595902e-16	-3.8444444444444446e+00	2.4003589069310812e-26	1.7203161238388546e-24
720	1.9999999999999936e+00	0	0	180	180	8	1.5265566588595902e-16	1.5265566588595902e-16	-3.8222222222222224e+00	1.2247364436890497e-25	8.4648804361010468e-24
720	1.9999999999999936e+00	0	0	180	180	9	1.5265566588595902e-16	1.5265566588595902e-16	-3.7999999999999998e+00	5.8801348490053400e-25	3.9412970411066378e-23
720	1.9999999999999936e+00	0	0	180	180	10	1.5265566588595902e-16	1.5265566588595902e-16	-3.7777777777777777e+00	2.6848088360885740e-24	1.7513471085849040e-22
720	1.9999999999999936e+00	0	0	180	180	11	1.5265566588595902e-16	1.5265566588595902e-16	-3.7555555555555555e+00	1.1739043093523068e-23	7.4702095663288601e-22
720	1.9999999999999936e+00	0	0	180	180	12	1.5265566588595902e-16	1.5265566588595902e-16	-3.7333333333333334e+00	4.9391355825492376e-23	3.0713064656775603e-21
720	1.9999999999999936e+00	0	0	180	180	13	1.5265566588595902e-16	1.5265566588595902e-16	-3.7111111111111112e+00	2.0068494303640272e-22	1.2209364077233167e-20
720	1.9999999999999936e+00	0	0	180	180	14	1.5265566588595902e-16	1.5265566588595902e-16	-3.6888888888888887e+00	7.8959494053996134e-22	4.7042245485763007e-20
720	1.9999999999999936e+00	0	0	180	180	15	1.5265566588595902e-16	1.5265566588595902e-16	-3.6666666666666665e+00	3.0147265772177859e-21	1.7601143472547450e-19
720	1.9999999999999936e+00	0	0	180	180	16	1.5265566588595902e-16	1.5265566588595902e-16	-3.6444444444444444e+00	1.1189074917237633e-20	6.4051622106690018e-19
720	1.9999999999999936e+00	0	0	180	180	17	1.5265566588595902e-16	1.5265566588595902e-16	-3.6222222222222222e+00	4.0425876898970121e-20	2.2699635369997785e-18
720	1.9999999999999936e+00	0	0	180	180	18	1.5265566588595902e-16	1.5265566588595902e-16	-3.6000000000000001e+00	1.4235063683532563e-19	7.8429742756534651e-18
720	1.9999999999999936e+00	0	0	180	180	19	1.5265566588595902e-16	1.5265566588595902e-16	-3.5777777777777779e+00	4.8902499365284960e-19	2.6443487464722158e-17
720	1.9999999999999936e+00	0	0	180	180	20	1.5265566588595902e-16	1.5265566588595902e-16	-3.5555555555555554e+00	1.6403966494534977e-18	8.7072189006352631e-17
720	1.9999999999999936e+00	0	0	180	180	21	1.5265566588595902e-16	1.5265566588595902e-16	-3.5333333333333332e+00	5.3769715839551882e-18	2.8019841874277032e-16
720	1.9999999999999936e+00	0	0	180	180	22	1.5265566588595902e-16	1.5265566588595902e-16	-3.5111111111111111e+00	1.7233879038749579e-17	8.8174872839670885e-16
720	1.9999999999999936e+00	0	0	180	180	23	1.5265566588595902e-16	1.5265566588595902e-16	-3.4888888888888889e+00	5.4042782340199994e-17	2.7149015405555594e-15
720	1.9999999999999936e+00	0	0	180	180	24	1.5265566588595902e-16	1.5265566588595902e-16	-3.4666666666666668e+00	1.6589230356613915e-16	8.1828084611312317e-15
