# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
864	2.0000000000000200e+00	0	0	216	-3	216	-2.2204460492503131e-16	-4.0555555555555554e+00	-2.2204460492503131e-16	2.9795375670996897e-28	1.9704337102550243e-26
864	2.0000000000000200e+00	0	0	216	-2	216	-2.2204460492503131e-16	-4.0370370370370372e+00	-2.2204460492503131e-16	8.5433381595656480e-29	5.7207097885810750e-27
864	2.0000000000000200e+00	0	0	216	-1	216	-2.2204460492503131e-16	-4.0185185185185182e+00	-2.2204460492503131e-16	2.5624616049926415e-29	1.7395905492889356e-27
864	2.0000000000000200e+00	0	0	216	0	216	-2.2204460492503131e-16	-4.0000000000000000e+00	-2.2204460492503131e-16	1.3156950935235270e-29	9.0272270985931662e-28
864	2.0000000000000200e+00	0	0	216	1	216	-2.2204460492503131e-16	-3.9814814814814814e+00	-2.2204460492503131e-16	2.5624616049929347e-29	1.7395905492886081e-27
864	2.0000000000000200e+00	0	0	216	2	216	-2.2204460492503131e-16	-3.9629629629629628e+00	-2.2204460492503131e-16	8.5433381595640864e-29	5.7207097885787590e-27
864	2.0000000000000200e+00	0	0	216	3	216	-2.2204460492503131e-16	-3.9444444444444446e+00	-2.2204460492503131e-16	2.9795375670986768e-28	1.9704337102542606e-26
864	2.0000000000000200e+00	0	0	216	4	216	-2.2204460492503131e-16	-3.9259259259259260e+00	-2.2204460492503131e-16	1.0274738887096714e-27	6.7126570173411023e-26
864	2.0000000000000200e+00	0	0	216	5	216	-2.2204460492503131e-16	-3.9074074074074074e+00	-2.2204460492503131e-16	3.4891062263523949e-27	2.2520465542800227e-25
864	2.0000000000000200e+00	0	0	216	6	216	-2.2204460492503131e-16	-3.8888888888888888e+00	-2.2204460492503131e-16	1.1667102123438062e-26	7.4401006572387972e-25
864	2.0000000000000200e+00	0	0	216	7	216	-2.2204460492503131e-16	-3.8703703703703702e+00	-2.2204460492503131e-16	3.8425861947962631e-26	2.4210246816653783e-24
864	2.0000000000000200e+00	0	0	216	8	216	-2.2204460492503131e-16	-3.8518518518518521e+00	-2.2204460492503131e-16	1.2468178636647717e-25	7.7614162130130401e-24
864	2.0000000000000200e+00	0	0	216	9	216	-2.2204460492503131e-16	-3.8333333333333335e+00	-2.2204460492503131e-16	3.9865811102696999e-25	2.4518810197250367e-23
864	2.0000000000000200e+00	0	0	216	10	216	-2.2204460492503131e-16	-3.8148148148148149e+00	-2.2204460492503131e-16	1.2563436837340067e-24	7.6341867396876740e-23
864	2.0000000000000200e+00	0	0	216	11	216	-2.2204460492503131e-16	-3.7962962962962963e+00	-2.2204460492503131e-16	3.9031213088348228e-24	2.3432202134552685e-22
864	2.0000000000000200e+00	0	0	216	12	216	-2.2204460492503131e-16	-3.7777777777777777e+00	-2.2204460492503131e-16	1.1956137148491526e-23	7.0913124884745365e-22
864	2.0000000000000200e+00	0	0	216	13	216	-2.2204460492503131e-16	-3.7592592592592591e+00	-2.2204460492503131e-16	3.6117620139800187e-23	2.1162862769697070e-21
864	2.0000000000000200e+00	0	0	216	14	216	-2.2204460492503131e-16	-3.7407407407407409e+00	-2.2204460492503131e-16	1.0761332444074930e-22	6.2290650372371904e-21
