# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
96	1.0000000000000000e+00	0	0	48	-3	48	-2.2204460492503131e-16	-4.2500000000000000e+00	-2.2204460492503131e-16	-1.5135212379489345e-25	-7.9487919058825481e-24
96	1.0000000000000000e+00	0	0	48	-2	48	-2.2204460492503131e-16	-4.1666666666666670e+00	-2.2204460492503131e-16	6.7981023263587148e-27	-2.6871789740825965e-26
96	1.0000000000000000e+00	0	0	48	-1	48	-2.2204460492503131e-16	-4.0833333333333330e+00	-2.2204460492503131e-16	1.3941536267340308e-27	6.7237733917680675e-26
96	1.0000000000000000e+00	0	0	48	0	48	-2.2204460492503131e-16	-4.0000000000000000e+00	-2.2204460492503131e-16	-4.3831114872696661e-29	3.3478355454665291e-27
96	1.0000000000000000e+00	0	0	48	1	48	-2.2204460492503131e-16	-3.9166666666666665e+00	-2.2204460492503131e-16	1.3941536267340963e-27	6.7237733917683728e-26
96	1.0000000000000000e+00	0	0	48	2	48	-2.2204460492503131e-16	-3.8333333333333335e+00	-2.2204460492503131e-16	6.7981023263590003e-27	-2.6871789740828576e-26
96	1.0000000000000000e+00	0	0	48	3	48	-2.2204460492503131e-16	-3.7500000000000000e+00	-2.2204460492503131e-16	-1.5135212379489999e-25	-7.9487919058828787e-24
96	1.0000000000000000e+00	0	0	48	4	48	-2.2204460492503131e-16	-3.6666666666666665e+00	-2.2204460492503131e-16	-1.2403541387012438e-24	-1.9740327505251392e-23
96	1.0000000000000000e+00	0	0	48	5	48	-2.2204460492503131e-16	-3.5833333333333335e+00	-2.2204460492503131e-16	1.2477652194318107e-23	7.5952975166616773e-22
96	1.0000000000000000e+00	0	0	48	6	48	-2.2204460492503131e-16	-3.5000000000000000e+00	-2.2204460492503131e-16	1.6657648492115091e-22	4.2337447031658685e-21
96	1.0000000000000000e+00	0	0	48	7	48	-2.2204460492503131e-16	-3.4166666666666665e+00	-2.2204460492503131e-16	-6.2828497857987384e-22	-5.5130051226173421e-20
96	1.0000000000000000e+00	0	0	48	8	48	-2.2204460492503131e-16	-3.3333333333333335e+00	-2.2204460492503131e-16	-1.7026934955279235e-20	-5.3851261857424535e-19
96	1.0000000000000000e+00	0	0	48	9	48	-2.2204460492503131e-16	-3.2500000000000000e+00	-2.2204460492503131e-16	-9.1762666978607268e-21	2.4845462736338512e-18
96	1.0000000000000000e+00	0	0	48	10	48	-2.2204460492503131e-16	-3.1666666666666665e+00	-2.2204460492503131e-16	1.2827688442258718e-18	4.8040944719567470e-17
96	1.0000000000000000e+00	0	0	48	11	48	-2.2204460492503131e-16	-3.0833333333333335e+00	-2.2204460492503131e-16	5.6357756484216773e-18	9.9839580891096977e-18
96	1.0000000000000000e+00	0	0	48	12	48	-2.2204460492503131e-16	-3.0000000000000000e+00	-2.2204460492503131e-16	-6.2474346162482293e-17	-2.9470287965808665e-15
96	1.0000000000000000e+00	0	0	48	13	48	-2.2204460492503131e-16	-2.9166666666666665e+00	-2.2204460492503131e-16	-6.0797955138816470e-16	-1.2422102122890231e-14
96	1.0000000000000000e+00	0	0	48	14	48	-2.2204460492503131e-16	-2.8333333333333335e+00	-2.2204460492503131e-16	8.5123963964070824e-16	1.0175971055083428e-13
96	1.0000000000000000e+00	0	0	48	15	48	-2.2204460492503131e-16	-2.7500000000000000e+00	-2.2204460492503131e-16	3.5381337298865977e-14	1.0458928430509073e-12
96	1.0000000000000000e+00	0	0	48	16	48	-2.2204460492503131e-16	-2.6666666666666670e+00	-2.2204460492503131e-16	1.3161948878583924e-13	4.9860093984843377e-13
96	1.0000000000000000e+00	0	0	48	17	48	-2.2204460492503131e-16	-2.5833333333333335e+00	-2.2204460492503131e-16	-8.6073183767809905e-13	-3.9142086525917384e-11
96	1.0000000000000000e+00	0	0	48	18	48	-2.2204460492503131e-16	-2.5000000000000000e+00	-2.2204460492503131e-16	-1.0035214929783844e-11	-2.3181131679770706e-10
96	1.0000000000000000e+00	0	0	48	19	48	-2.2204460492503131e-16	-2.4166666666666670e+00	-2.2204460492503131e-16	-2.7384777361282424e-11	-2.8933388451455935e-11
96	1.0000000000000000e+00	0	0	48	20	48	-2.2204460492503131e-16	-2.3333333333333335e+00	-2.2204460492503131e-16	1.8368221407471370e-10	7.6034049900582407e-09
96	1.0000000000000000e+00	0	0	48	21	48	-2.2204460492503131e-16	-2.2500000000000000e+00	-2.2204460492503131e-16	2.2537184506088685e-09	5.5357316430467053e-08
96	1.0000000000000000e+00	0	0	48	22	48	-2.2204460492503131e-16	-2.1666666666666670e+00	-2.2204460492503131e-16	1.0299611511502993e-08	1.5497842337167549e-07
96	1.0000000000000000e+00	0	0	48	23	48	-2.2204460492503131e-16	-2.0833333333333335e+00	-2.2204460492503131e-16	-1.0355943696842083e-09	-7.5825050365891130e-07
96	1.0000000000000000e+00	0	0	48	24	48	-2.2204460492503131e-16	-2.0000000000000000e+00	-2.2204460492503131e-16	-3.7775586663054303e-07	-1.1346648855804053e-05
96	1.0000000000000000e+00	0	0	48	25	48	-2.2204460492503131e-16	-1.9166666666666667e+00	-2.2204460492503131e-16	-2.9700682759064866e-06	-6.2886851559324419e-05
96	1.0000000000000000e+00	0	0	48	26	48	-2.2204460492503131e-16	-1.8333333333333335e+00	-2.2204460492503131e-16	-1.1207415132188468e-05	-1.3506517200230646e-04
96	1.0000000000000000e+00	0	0	48	27	48	-2.2204460492503131e-16	-1.7500000000000002e+00	-2.2204460492503131e-16	1.3807431503308676e-06	7.2993422913215380e-04
96	1.0000000000000000e+00	0	0	48	28	48	-2.2204460492503131e-16	-1.6666666666666667e+00	-2.2204460492503131e-16	3.2122215304701443e-04	8.9386738052307773e-03
96	1.0000000000000000e+00	0	0	48	29	48	-2.2204460492503131e-16	-1.5833333333333335e+00	-2.2204460492503131e-16	2.4834303558583983e-03	5.0735520335195135e-02
96	1.0000000000000000e+00	0	0	48	30	48	-2.2204460492503131e-16	-1.5000000000000002e+00	-2.2204460492503131e-16	1.2137998882424186e-02	1.9999538680924250e-01
96	1.0000000000000000e+00	0	0	48	31	48	-2.2204460492503131e-16	-1.4166666666666667e+00	-2.2204460492503131e-16	4.4377139988492249e-02	5.9416441759404492e-01
96	1.0000000000000000e+00	0	0	48	32	48	-2.2204460492503131e-16	-1.3333333333333335e+00	-2.2204460492503131e-16	1.2770774355634529e-01	1.3555466729709291e+00
