# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
144	4.9999999999999872e-01	0	0	-3	72	72	-4.1666666666666670e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.0288620980373620e-37	-5.5505390842059337e-37
144	4.9999999999999872e-01	0	0	-2	72	72	-4.1111111111111107e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.8978764942892033e-38	2.3588150485003222e-36
144	4.9999999999999872e-01	0	0	-1	72	72	-4.0555555555555554e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-6.8196184647627179e-39	-1.7609236629264147e-37
144	4.9999999999999872e-01	0	0	0	72	72	-4.0000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.8225522098538453e-40	-9.3371614730534620e-38
144	4.9999999999999872e-01	0	0	1	72	72	-3.9444444444444446e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-6.8196184647589371e-39	-1.7609236629248758e-37
144	4.9999999999999872e-01	0	0	2	72	72	-3.8888888888888888e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.8978764942889068e-38	2.3588150484992495e-36
144	4.9999999999999872e-01	0	0	3	72	72	-3.8333333333333335e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.0288620980361142e-37	-5.5505390842250106e-37
144	4.9999999999999872e-01	0	0	4	72	72	-3.7777777777777777e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.3308794914661901e-36	-8.4564123689152555e-35
144	4.9999999999999872e-01	0	0	5	72	72	-3.7222222222222223e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.3363985343216403e-36	2.7635192649435989e-34
144	4.9999999999999872e-01	0	0	6	72	72	-3.6666666666666665e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	5.7507205232513138e-35	2.1681899039746383e-33
144	4.9999999999999872e-01	0	0	7	72	72	-3.6111111111111112e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-5.0342891901937641e-35	-1.5901766936334352e-32
