# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
288	9.9999999999999700e-01	0	0	72	-3	72	-2.2204460492503131e-16	-4.1666666666666670e+00	-2.2204460492503131e-16	-1.5761534236403456e-27	-9.8952502357287414e-26
288	9.9999999999999700e-01	0	0	72	-2	72	-2.2204460492503131e-16	-4.1111111111111107e+00	-2.2204460492503131e-16	4.1411925611602447e-28	-2.9867875966611993e-28
288	9.9999999999999700e-01	0	0	72	-1	72	-2.2204460492503131e-16	-4.0555555555555554e+00	-2.2204460492503131e-16	5.6484512940653191e-29	4.9727778642995003e-27
288	9.9999999999999700e-01	0	0	72	0	72	-2.2204460492503131e-16	-4.0000000000000000e+00	-2.2204460492503131e-16	-4.8875528390498766e-29	-5.9511975059535379e-28
288	9.9999999999999700e-01	0	0	72	1	72	-2.2204460492503131e-16	-3.9444444444444446e+00	-2.2204460492503131e-16	5.6484512940630434e-29	4.9727778642972310e-27
288	9.9999999999999700e-01	0	0	72	2	72	-2.2204460492503131e-16	-3.8888888888888888e+00	-2.2204460492503131e-16	4.1411925611584851e-28	-2.9867875966624993e-28
288	9.9999999999999700e-01	0	0	72	3	72	-2.2204460492503131e-16	-3.8333333333333335e+00	-2.2204460492503131e-16	-1.5761534236396936e-27	-9.8952502357245031e-26
288	9.9999999999999700e-01	0	0	72	4	72	-2.2204460492503131e-16	-3.7777777777777777e+00	-2.2204460492503131e-16	-6.1441329344579290e-27	1.1062074464275028e-25
288	9.9999999999999700e-01	0	0	72	5	72	-2.2204460492503131e-16	-3.7222222222222223e+00	-2.2204460492503131e-16	3.5333353189043292e-26	1.6982204248404511e-24
288	9.9999999999999700e-01	0	0	72	6	72	-2.2204460492503131e-16	-3.6666666666666665e+00	-2.2204460492503131e-16	7.8480630281631799e-26	-3.5681012813399646e-24
288	9.9999999999999700e-01	0	0	72	7	72	-2.2204460492503131e-16	-3.6111111111111112e+00	-2.2204460492503131e-16	-6.9631187624659794e-25	-2.6605812019130549e-23
288	9.9999999999999700e-01	0	0	72	8	72	-2.2204460492503131e-16	-3.5555555555555554e+00	-2.2204460492503131e-16	-8.0085110760153380e-25	8.2597499884190324e-23
288	9.9999999999999700e-01	0	0	72	9	72	-2.2204460492503131e-16	-3.5000000000000000e+00	-2.2204460492503131e-16	1.2428623817541228e-23	3.8348113242646910e-22
288	9.9999999999999700e-01	0	0	72	10	72	-2.2204460492503131e-16	-3.4444444444444446e+00	-2.2204460492503131e-16	4.9165855717461061e-24	-1.6072089764225782e-21
288	9.9999999999999700e-01	0	0	72	11	72	-2.2204460492503131e-16	-3.3888888888888888e+00	-2.2204460492503131e-16	-2.0438353339637663e-22	-5.1337571586246433e-21
288	9.9999999999999700e-01	0	0	72	12	72	-2.2204460492503131e-16	-3.3333333333333335e+00	-2.2204460492503131e-16	3.1199098520101762e-23	2.7694224372923770e-20
288	9.9999999999999700e-01	0	0	72	13	72	-2.2204460492503131e-16	-3.2777777777777777e+00	-2.2204460492503131e-16	3.1375395861031221e-21	6.5009705875736547e-20
288	9.9999999999999700e-01	0	0	72	14	72	-2.2204460492503131e-16	-3.2222222222222223e+00	-2.2204460492503131e-16	-1.6459197995209664e-21	-4.3185094411114594e-19
288	9.9999999999999700e-01	0	0	72	15	72	-2.2204460492503131e-16	-3.1666666666666665e+00	-2.2204460492503131e-16	-4.5282004058878050e-20	-7.9946948699158364e-19
288	9.9999999999999700e-01	0	0	72	16	72	-2.2204460492503131e-16	-3.1111111111111112e+00	-2.2204460492503131e-16	3.3357090209080120e-20	6.1793766233174487e-18
288	9.9999999999999700e-01	0	0	72	17	72	-2.2204460492503131e-16	-3.0555555555555558e+00	-2.2204460492503131e-16	6.2266159387512727e-19	1.0073041346590652e-17
288	9.9999999999999700e-01	0	0	72	18	72	-2.2204460492503131e-16	-3.0000000000000000e+00	-2.2204460492503131e-16	-4.5159722878291483e-19	-8.0570572962080061e-17
288	9.9999999999999700e-01	0	0	72	19	72	-2.2204460492503131e-16	-2.9444444444444446e+00	-2.2204460492503131e-16	-8.0260859835597134e-18	-1.3048432880403311e-16
288	9.9999999999999700e-01	0	0	72	20	72	-2.2204460492503131e-16	-2.8888888888888888e+00	-2.2204460492503131e-16	4.7492154185381556e-18	9.7429893611452169e-16
288	9.9999999999999700e-01	0	0	72	21	72	-2.2204460492503131e-16	-2.8333333333333335e+00	-2.2204460492503131e-16	1.0149943849658923e-16	1.8947874085462854e-15
288	9.9999999999999700e-01	0	0	72	22	72	-2.2204460492503131e-16	-2.7777777777777777e+00	-2.2204460492503131e-16	6.3499971837212848e-19	-9.8501709521057769e-15
288	9.9999999999999700e-01	0	0	72	23	72	-2.2204460492503131e-16	-2.7222222222222223e+00	-2.2204460492503131e-16	-1.0628032549075264e-15	-2.3580957560671624e-14
288	9.9999999999999700e-01	0	0	72	24	72	-2.2204460492503131e-16	-2.6666666666666670e+00	-2.2204460492503131e-16	-2.4654780727762941e-16	1.0096955030970919e-13
288	9.9999999999999700e-01	0	0	72	25	72	-2.2204460492503131e-16	-2.6111111111111112e+00	-2.2204460492503131e-16	1.3592831775385326e-14	3.9694111253247296e-13
288	9.9999999999999700e-01	0	0	72	26	72	-2.2204460492503131e-16	-2.5555555555555558e+00	-2.2204460492503131e-16	2.9976124416395438e-14	-1.8987893623503421e-13
288	9.9999999999999700e-01	0	0	72	27	72	-2.2204460492503131e-16	-2.5000000000000000e+00	-2.2204460492503131e-16	-2.5756926528434526e-14	-1.9692712693622949e-12
288	9.9999999999999700e-01	0	0	72	28	72	-2.2204460492503131e-16	-2.4444444444444446e+00	-2.2204460492503131e-16	4.7048234457943589e-14	8.9609658396967263e-12
288	9.9999999999999700e-01	0	0	72	29	72	-2.2204460492503131e-16	-2.3888888888888888e+00	-2.2204460492503131e-16	2.1818021537158701e-12	8.3210719253111733e-11
288	9.9999999999999700e-01	0	0	72	30	72	-2.2204460492503131e-16	-2.3333333333333335e+00	-2.2204460492503131e-16	1.2848815933543076e-11	3.2733487421533476e-10
288	9.9999999999999700e-01	0	0	72	31	72	-2.2204460492503131e-16	-2.2777777777777777e+00	-2.2204460492503131e-16	5.0597518368145301e-11	1.0978502375390936e-09
288	9.9999999999999700e-01	0	0	72	32	72	-2.2204460492503131e-16	-2.2222222222222223e+00	-2.2204460492503131e-16	1.9606272159460232e-10	4.6135006297737752e-09
288	9.9999999999999700e-01	0	0	72	33	72	-2.2204460492503131e-16	-2.1666666666666670e+00	-2.2204460492503131e-16	8.8671579966428143e-10	2.3129033569313994e-08
288	9.9999999999999700e-01	0	0	72	34	72	-2.2204460492503131e-16	-2.1111111111111112e+00	-2.2204460492503131e-16	4.2052375296893219e-09	1.0783012196811530e-07
288	9.9999999999999700e-01	0	0	72	35	72	-2.2204460492503131e-16	-2.0555555555555558e+00	-2.2204460492503131e-16	1.7990542554442500e-08	4.1361952276476559e-07
288	9.9999999999999700e-01	0	0	72	36	72	-2.2204460492503131e-16	-2.0000000000000000e+00	-2.2204460492503131e-16	6.4366216163171552e-08	1.2323517384045060e-06
288	9.9999999999999700e-01	0	0	72	37	72	-2.2204460492503131e-16	-1.9444444444444446e+00	-2.2204460492503131e-16	1.8417408220393512e-07	2.5861600988056713e-06
288	9.9999999999999700e-01	0	0	72	38	72	-2.2204460492503131e-16	-1.8888888888888891e+00	-2.2204460492503131e-16	3.9104418228084512e-07	2.2859667232478760e-06
288	9.9999999999999700e-01	0	0	72	39	72	-2.2204460492503131e-16	-1.8333333333333335e+00	-2.2204460492503131e-16	4.5733979834153088e-07	-8.9064750145007011e-06
288	9.9999999999999700e-01	0	0	72	40	72	-2.2204460492503131e-16	-1.7777777777777779e+00	-2.2204460492503131e-16	-6.1083770608216423e-07	-5.3533860008089513e-05
288	9.9999999999999700e-01	0	0	72	41	72	-2.2204460492503131e-16	-1.7222222222222223e+00	-2.2204460492503131e-16	-5.2766910014295733e-06	-1.6447515532027517e-04
288	9.9999999999999700e-01	0	0	72	42	72	-2.2204460492503131e-16	-1.6666666666666667e+00	-2.2204460492503131e-16	-1.7373078031835657e-05	-3.5150394078192586e-04
288	9.9999999999999700e-01	0	0	72	43	72	-2.2204460492503131e-16	-1.6111111111111112e+00	-2.2204460492503131e-16	-3.9264793625002313e-05	-5.2850292739580265e-04
288	9.9999999999999700e-01	0	0	72	44	72	-2.2204460492503131e-16	-1.5555555555555558e+00	-2.2204460492503131e-16	-6.5322822552835343e-05	-4.5690330013925529e-04
288	9.9999999999999700e-01	0	0	72	45	72	-2.2204460492503131e-16	-1.5000000000000002e+00	-2.2204460492503131e-16	-7.5922700087879130e-05	1.5794443912905964e-04
288	9.9999999999999700e-01	0	0	72	46	72	-2.2204460492503131e-16	-1.4444444444444446e+00	-2.2204460492503131e-16	-4.2706161376047935e-05	1.3338991000146350e-03
288	9.9999999999999700e-01	0	0	72	47	72	-2.2204460492503131e-16	-1.3888888888888891e+00	-2.2204460492503131e-16	4.7353043960612906e-05	2.4641930430044923e-03
288	9.9999999999999700e-01	0	0	72	48	72	-2.2204460492503131e-16	-1.3333333333333335e+00	-2.2204460492503131e-16	1.6291730052006570e-04	2.4883360458427539e-03
288	9.9999999999999700e-01	0	0	72	49	72	-2.2204460492503131e-16	-1.2777777777777779e+00	-2.2204460492503131e-16	2.3135163419174543e-04	8.3501269892805041e-04
288	9.9999999999999700e-01	0	0	72	50	72	-2.2204460492503131e-16	-1.2222222222222223e+00	-2.2204460492503131e-16	1.9576905360546570e-04	-1.6307121014373926e-03
288	9.9999999999999700e-01	0	0	72	51	72	-2.2204460492503131e-16	-1.1666666666666667e+00	-2.2204460492503131e-16	8.2737112110597977e-05	-3.0406482016536174e-03
288	9.9999999999999700e-01	0	0	72	52	72	-2.2204460492503131e-16	-1.1111111111111112e+00	-2.2204460492503131e-16	-7.5861096506812942e-06	-2.4384347562187436e-03
288	9.9999999999999700e-01	0	0	72	53	72	-2.2204460492503131e-16	-1.0555555555555558e+00	-2.2204460492503131e-16	-1.0927207381938864e-05	-1.0137804302949860e-03
288	9.9999999999999700e-01	0	0	72	54	72	-2.2204460492503131e-16	-1.0000000000000002e+00	-2.2204460492503131e-16	3.3199207261525032e-05	-1.6317658468828424e-03
288	9.9999999999999700e-01	0	0	72	55	72	-2.2204460492503131e-16	-9.4444444444444464e-01	-2.2204460492503131e-16	1.5121813140273055e-04	-5.4914170411368701e-05
288	9.9999999999999700e-01	0	0	72	56	72	-2.2204460492503131e-16	-8.8888888888888906e-01	-2.2204460492503131e-16	1.7256924081554548e-04	1.2672376499138771e-03
288	9.9999999999999700e-01	0	0	72	57	72	-2.2204460492503131e-16	-8.3333333333333348e-01	-2.2204460492503131e-16	1.0821661800675120e-04	1.5600947560185929e-03
288	9.9999999999999700e-01	0	0	72	58	72	-2.2204460492503131e-16	-7.7777777777777790e-01	-2.2204460492503131e-16	1.9211057960322186e-05	1.0082843340324388e-03
288	9.9999999999999700e-01	0	0	72	59	72	-2.2204460492503131e-16	-7.2222222222222243e-01	-2.2204460492503131e-16	-3.8397896732988990e-05	2.4545169839917946e-04
288	9.9999999999999700e-01	0	0	72	60	72	-2.2204460492503131e-16	-6.6666666666666685e-01	-2.2204460492503131e-16	-4.8139301267347001e-05	-2.4796525442472017e-04
288	9.9999999999999700e-01	0	0	72	61	72	-2.2204460492503131e-16	-6.1111111111111127e-01	-2.2204460492503131e-16	-2.7549363790985160e-05	-3.8153366973414649e-04
288	9.9999999999999700e-01	0	0	72	62	72	-2.2204460492503131e-16	-5.5555555555555580e-01	-2.2204460492503131e-16	-2.1233142590282306e-06	-3.0695501331257091e-04
288	9.9999999999999700e-01	0	0	72	63	72	-2.2204460492503131e-16	-5.0000000000000022e-01	-2.2204460492503131e-16	1.3644720907736441e-05	-2.0668999134931809e-04
288	9.9999999999999700e-01	0	0	72	64	72	-2.2204460492503131e-16	-4.4444444444444464e-01	-2.2204460492503131e-16	2.0073295764849036e-05	-1.7328034405467152e-04
288	9.9999999999999700e-01	0	0	72	65	72	-2.2204460492503131e-16	-3.8888888888888906e-01	-2.2204460492503131e-16	2.0135966476961947e-05	-1.7894313726832256e-04
288	9.9999999999999700e-01	0	0	72	66	72	-2.2204460492503131e-16	-3.3333333333333354e-01	-2.2204460492503131e-16	1.6785790058915923e-05	-1.9445112270331105e-04
288	9.9999999999999700e-01	0	0	72	67	72	-2.2204460492503131e-16	-2.7777777777777801e-01	-2.2204460492503131e-16	1.1591975182021212e-05	-1.9182344526299036e-04
288	9.9999999999999700e-01	0	0	72	68	72	-2.2204460492503131e-16	-2.2222222222222243e-01	-2.2204460492503131e-16	5.9264925063537443e-06	-1.9737817823092807e-04
288	9.9999999999999700e-01	0	0	72	69	72	-2.2204460492503131e-16	-1.6666666666666688e-01	-2.2204460492503131e-16	1.2999239184617996e-06	-2.5849045865908868e-04
288	9.9999999999999700e-01	0	0	72	70	72	-2.2204460492503131e-16	-1.1111111111111133e-01	-2.2204460492503131e-16	-1.3177669864302603e-06	-3.8447881161712220e-04
288	9.9999999999999700e-01	0	0	72	71	72	-2.2204460492503131e-16	-5.5555555555555775e-02	-2.2204460492503131e-16	-2.1648376622348641e-06	-5.1908229876463426e-04
288	9.9999999999999700e-01	0	0	72	72	72	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.2584223170851215e-06	-5.7762425968826037e-04
288	9.9999999999999700e-01	0	0	72	73	72	-2.2204460492503131e-16	5.5555555555555330e-02	-2.2204460492503131e-16	-2.1648376623080968e-06	-5.1908229877050999e-04
288	9.9999999999999700e-01	0	0	72	74	72	-2.2204460492503131e-16	1.1111111111111088e-01	-2.2204460492503131e-16	-1.3177669863447473e-06	-3.8447881161395036e-04
288	9.9999999999999700e-01	0	0	72	75	72	-2.2204460492503131e-16	1.6666666666666644e-01	-2.2204460492503131e-16	1.2999239185062790e-06	-2.5849045864446193e-04
288	9.9999999999999700e-01	0	0	72	76	72	-2.2204460492503131e-16	2.2222222222222199e-01	-2.2204460492503131e-16	5.9264925061534922e-06	-1.9737817827951594e-04
288	9.9999999999999700e-01	0	0	72	77	72	-2.2204460492503131e-16	2.7777777777777757e-01	-2.2204460492503131e-16	1.1591975182140041e-05	-1.9182344527398157e-04
288	9.9999999999999700e-01	0	0	72	78	72	-2.2204460492503131e-16	3.3333333333333309e-01	-2.2204460492503131e-16	1.6785790058713394e-05	-1.9445112268910714e-04
288	9.9999999999999700e-01	0	0	72	79	72	-2.2204460492503131e-16	3.8888888888888862e-01	-2.2204460492503131e-16	2.0135966476679187e-05	-1.7894313726288247e-04
288	9.9999999999999700e-01	0	0	72	80	72	-2.2204460492503131e-16	4.4444444444444420e-01	-2.2204460492503131e-16	2.0073295765147409e-05	-1.7328034407754211e-04
288	9.9999999999999700e-01	0	0	72	81	72	-2.2204460492503131e-16	4.9999999999999978e-01	-2.2204460492503131e-16	1.3644720908027874e-05	-2.0668999136563837e-04
288	9.9999999999999700e-01	0	0	72	82	72	-2.2204460492503131e-16	5.5555555555555536e-01	-2.2204460492503131e-16	-2.1233142590559861e-06	-3.0695501332744790e-04
288	9.9999999999999700e-01	0	0	72	83	72	-2.2204460492503131e-16	6.1111111111111083e-01	-2.2204460492503131e-16	-2.7549363790790871e-05	-3.8153366975168801e-04
288	9.9999999999999700e-01	0	0	72	84	72	-2.2204460492503131e-16	6.6666666666666641e-01	-2.2204460492503131e-16	-4.8139301267180468e-05	-2.4796525443848694e-04
288	9.9999999999999700e-01	0	0	72	85	72	-2.2204460492503131e-16	7.2222222222222199e-01	-2.2204460492503131e-16	-3.8397896732322856e-05	2.4545169840228809e-04
288	9.9999999999999700e-01	0	0	72	86	72	-2.2204460492503131e-16	7.7777777777777746e-01	-2.2204460492503131e-16	1.9211057960877298e-05	1.0082843340208925e-03
288	9.9999999999999700e-01	0	0	72	87	72	-2.2204460492503131e-16	8.3333333333333304e-01	-2.2204460492503131e-16	1.0821661800830551e-04	1.5600947560105993e-03
288	9.9999999999999700e-01	0	0	72	88	72	-2.2204460492503131e-16	8.8888888888888862e-01	-2.2204460492503131e-16	1.7256924081565650e-04	1.2672376499249793e-03
288	9.9999999999999700e-01	0	0	72	89	72	-2.2204460492503131e-16	9.4444444444444420e-01	-2.2204460492503131e-16	1.5121813140295259e-04	-5.4914170426689779e-05
288	9.9999999999999700e-01	0	0	72	90	72	-2.2204460492503131e-16	9.9999999999999978e-01	-2.2204460492503131e-16	3.3199207260636854e-05	-1.6317658468776889e-03
288	9.9999999999999700e-01	0	0	72	91	72	-2.2204460492503131e-16	1.0555555555555554e+00	-2.2204460492503131e-16	-1.0927207383049087e-05	-1.0137804302834397e-03
288	9.9999999999999700e-01	0	0	72	92	72	-2.2204460492503131e-16	1.1111111111111107e+00	-2.2204460492503131e-16	-7.5861096522356064e-06	-2.4384347562116382e-03
288	9.9999999999999700e-01	0	0	72	93	72	-2.2204460492503131e-16	1.1666666666666663e+00	-2.2204460492503131e-16	8.2737112109043665e-05	-3.0406482016531733e-03
288	9.9999999999999700e-01	0	0	72	94	72	-2.2204460492503131e-16	1.2222222222222219e+00	-2.2204460492503131e-16	1.9576905360341179e-04	-1.6307121014333958e-03
288	9.9999999999999700e-01	0	0	72	95	72	-2.2204460492503131e-16	1.2777777777777775e+00	-2.2204460492503131e-16	2.3135163419010785e-04	8.3501269891828045e-04
288	9.9999999999999700e-01	0	0	72	96	72	-2.2204460492503131e-16	1.3333333333333330e+00	-2.2204460492503131e-16	1.6291730051912201e-04	2.4883360458334280e-03
288	9.9999999999999700e-01	0	0	72	97	72	-2.2204460492503131e-16	1.3888888888888886e+00	-2.2204460492503131e-16	4.7353043960057795e-05	2.4641930429991632e-03
288	9.9999999999999700e-01	0	0	72	98	72	-2.2204460492503131e-16	1.4444444444444442e+00	-2.2204460492503131e-16	-4.2706161376349777e-05	1.3338991000108047e-03
288	9.9999999999999700e-01	0	0	72	99	72	-2.2204460492503131e-16	1.4999999999999998e+00	-2.2204460492503131e-16	-7.5922700087964132e-05	1.5794443912756084e-04
288	9.9999999999999700e-01	0	0	72	100	72	-2.2204460492503131e-16	1.5555555555555554e+00	-2.2204460492503131e-16	-6.5322822552863098e-05	-4.5690330014000469e-04
288	9.9999999999999700e-01	0	0	72	101	72	-2.2204460492503131e-16	1.6111111111111107e+00	-2.2204460492503131e-16	-3.9264793625008385e-05	-5.2850292739596225e-04
288	9.9999999999999700e-01	0	0	72	102	72	-2.2204460492503131e-16	1.6666666666666663e+00	-2.2204460492503131e-16	-1.7373078031840264e-05	-3.5150394078201086e-04
288	9.9999999999999700e-01	0	0	72	103	72	-2.2204460492503131e-16	1.7222222222222219e+00	-2.2204460492503131e-16	-5.2766910014312538e-06	-1.6447515532030162e-04
288	9.9999999999999700e-01	0	0	72	104	72	-2.2204460492503131e-16	1.7777777777777775e+00	-2.2204460492503131e-16	-6.1083770608276732e-07	-5.3533860008103716e-05
288	9.9999999999999700e-01	0	0	72	105	72	-2.2204460492503131e-16	1.8333333333333330e+00	-2.2204460492503131e-16	4.5733979834141060e-07	-8.9064750145050108e-06
288	9.9999999999999700e-01	0	0	72	106	72	-2.2204460492503131e-16	1.8888888888888886e+00	-2.2204460492503131e-16	3.9104418228083898e-07	2.2859667232472323e-06
288	9.9999999999999700e-01	0	0	72	107	72	-2.2204460492503131e-16	1.9444444444444442e+00	-2.2204460492503131e-16	1.8417408220394004e-07	2.5861600988057932e-06
288	9.9999999999999700e-01	0	0	72	108	72	-2.2204460492503131e-16	1.9999999999999996e+00	-2.2204460492503131e-16	6.4366216163171155e-08	1.2323517384045269e-06
288	9.9999999999999700e-01	0	0	72	109	72	-2.2204460492503131e-16	2.0555555555555554e+00	-2.2204460492503131e-16	1.7990542554442103e-08	4.1361952276475336e-07
288	9.9999999999999700e-01	0	0	72	110	72	-2.2204460492503131e-16	2.1111111111111107e+00	-2.2204460492503131e-16	4.2052375296894187e-09	1.0783012196811113e-07
288	9.9999999999999700e-01	0	0	72	111	72	-2.2204460492503131e-16	2.1666666666666665e+00	-2.2204460492503131e-16	8.8671579966438751e-10	2.3129033569315810e-08
288	9.9999999999999700e-01	0	0	72	112	72	-2.2204460492503131e-16	2.2222222222222219e+00	-2.2204460492503131e-16	1.9606272159461473e-10	4.6135006297748050e-09
288	9.9999999999999700e-01	0	0	72	113	72	-2.2204460492503131e-16	2.2777777777777772e+00	-2.2204460492503131e-16	5.0597518368137365e-11	1.0978502375390561e-09
288	9.9999999999999700e-01	0	0	72	114	72	-2.2204460492503131e-16	2.3333333333333330e+00	-2.2204460492503131e-16	1.2848815933541829e-11	3.2733487421522842e-10
288	9.9999999999999700e-01	0	0	72	115	72	-2.2204460492503131e-16	2.3888888888888884e+00	-2.2204460492503131e-16	2.1818021537168495e-12	8.3210719253114331e-11
288	9.9999999999999700e-01	0	0	72	116	72	-2.2204460492503131e-16	2.4444444444444442e+00	-2.2204460492503131e-16	4.7048234458155616e-14	8.9609658397094684e-12
288	9.9999999999999700e-01	0	0	72	117	72	-2.2204460492503131e-16	2.4999999999999996e+00	-2.2204460492503131e-16	-2.5756926528519657e-14	-1.9692712693619495e-12
288	9.9999999999999700e-01	0	0	72	118	72	-2.2204460492503131e-16	2.5555555555555554e+00	-2.2204460492503131e-16	2.9976124416374082e-14	-1.8987893623626380e-13
288	9.9999999999999700e-01	0	0	72	119	72	-2.2204460492503131e-16	2.6111111111111107e+00	-2.2204460492503131e-16	1.3592831775393139e-14	3.9694111253242908e-13
288	9.9999999999999700e-01	0	0	72	120	72	-2.2204460492503131e-16	2.6666666666666661e+00	-2.2204460492503131e-16	-2.4654780727561279e-16	1.0096955030982294e-13
288	9.9999999999999700e-01	0	0	72	121	72	-2.2204460492503131e-16	2.7222222222222219e+00	-2.2204460492503131e-16	-1.0628032549081855e-15	-2.3580957560667515e-14
288	9.9999999999999700e-01	0	0	72	122	72	-2.2204460492503131e-16	2.7777777777777772e+00	-2.2204460492503131e-16	6.3499971820908946e-19	-9.8501709521154089e-15
288	9.9999999999999700e-01	0	0	72	123	72	-2.2204460492503131e-16	2.8333333333333330e+00	-2.2204460492503131e-16	1.0149943849664377e-16	1.8947874085460594e-15
288	9.9999999999999700e-01	0	0	72	124	72	-2.2204460492503131e-16	2.8888888888888884e+00	-2.2204460492503131e-16	4.7492154185500810e-18	9.7429893611528905e-16
288	9.9999999999999700e-01	0	0	72	125	72	-2.2204460492503131e-16	2.9444444444444442e+00	-2.2204460492503131e-16	-8.0260859835640213e-18	-1.3048432880403057e-16
288	9.9999999999999700e-01	0	0	72	126	72	-2.2204460492503131e-16	2.9999999999999996e+00	-2.2204460492503131e-16	-4.5159722878368963e-19	-8.0570572962137155e-17
288	9.9999999999999700e-01	0	0	72	127	72	-2.2204460492503131e-16	3.0555555555555554e+00	-2.2204460492503131e-16	6.2266159387545266e-19	1.0073041346592003e-17
288	9.9999999999999700e-01	0	0	72	128	72	-2.2204460492503131e-16	3.1111111111111107e+00	-2.2204460492503131e-16	3.3357090209124296e-20	6.1793766233214200e-18
288	9.9999999999999700e-01	0	0	72	129	72	-2.2204460492503131e-16	3.1666666666666661e+00	-2.2204460492503131e-16	-4.5282004058901348e-20	-7.9946948699180667e-19
288	9.9999999999999700e-01	0	0	72	130	72	-2.2204460492503131e-16	3.2222222222222219e+00	-2.2204460492503131e-16	-1.6459197995230599e-21	-4.3185094411140296e-19
288	9.9999999999999700e-01	0	0	72	131	72	-2.2204460492503131e-16	3.2777777777777772e+00	-2.2204460492503131e-16	3.1375395861046952e-21	6.5009705875760983e-20
288	9.9999999999999700e-01	0	0	72	132	72	-2.2204460492503131e-16	3.3333333333333330e+00	-2.2204460492503131e-16	3.1199098520170176e-23	2.7694224372939136e-20
288	9.9999999999999700e-01	0	0	72	133	72	-2.2204460492503131e-16	3.3888888888888884e+00	-2.2204460492503131e-16	-2.0438353339647593e-22	-5.1337571586268257e-21
288	9.9999999999999700e-01	0	0	72	134	72	-2.2204460492503131e-16	3.4444444444444442e+00	-2.2204460492503131e-16	4.9165855717464367e-24	-1.6072089764234139e-21
288	9.9999999999999700e-01	0	0	72	135	72	-2.2204460492503131e-16	3.4999999999999996e+00	-2.2204460492503131e-16	1.2428623817547063e-23	3.8348113242663931e-22
288	9.9999999999999700e-01	0	0	72	136	72	-2.2204460492503131e-16	3.5555555555555554e+00	-2.2204460492503131e-16	-8.0085110760183814e-25	8.2597499884230737e-23
288	9.9999999999999700e-01	0	0	72	137	72	-2.2204460492503131e-16	3.6111111111111107e+00	-2.2204460492503131e-16	-6.9631187624691239e-25	-2.6605812019142392e-23
288	9.9999999999999700e-01	0	0	72	138	72	-2.2204460492503131e-16	3.6666666666666661e+00	-2.2204460492503131e-16	7.8480630281665308e-26	-3.5681012813416022e-24
288	9.9999999999999700e-01	0	0	72	139	72	-2.2204460492503131e-16	3.7222222222222219e+00	-2.2204460492503131e-16	3.5333353189058623e-26	1.6982204248411957e-24
288	9.9999999999999700e-01	0	0	72	140	72	-2.2204460492503131e-16	3.7777777777777772e+00	-2.2204460492503131e-16	-6.1441329344605886e-27	1.1062074464279659e-25
288	9.9999999999999700e-01	0	0	72	141	72	-2.2204460492503131e-16	3.8333333333333330e+00	-2.2204460492503131e-16	-1.5761534236403456e-27	-9.8952502357287414e-26
288	9.9999999999999700e-01	0	0	72	142	72	-2.2204460492503131e-16	3.8888888888888884e+00	-2.2204460492503131e-16	4.1411925611602447e-28	-2.9867875966611993e-28
288	9.9999999999999700e-01	0	0	72	143	72	-2.2204460492503131e-16	3.9444444444444442e+00	-2.2204460492503131e-16	5.6484512940653191e-29	4.9727778642995003e-27
288	9.9999999999999700e-01	0	0	72	144	72	-2.2204460492503131e-16	3.9999999999999996e+00	-2.2204460492503131e-16	-4.8875528390498766e-29	-5.9511975059535379e-28
288	9.9999999999999700e-01	0	0	72	145	72	-2.2204460492503131e-16	4.0555555555555554e+00	-2.2204460492503131e-16	5.6484512940630434e-29	4.9727778642972310e-27
288	9.9999999999999700e-01	0	0	72	146	72	-2.2204460492503131e-16	4.1111111111111107e+00	-2.2204460492503131e-16	4.1411925611584851e-28	-2.9867875966624993e-28
288	9.9999999999999700e-01	0	0	72	147	72	-2.2204460492503131e-16	4.1666666666666661e+00	-2.2204460492503131e-16	-1.5761534236396936e-27	-9.8952502357245031e-26
288	9.9999999999999700e-01	0	1	144	105	144	-2.2204460492503131e-16	-1.0833333333333335e+00	-2.2204460492503131e-16	-1.8103296813169962e-05	-1.5862453342937275e-03
288	9.9999999999999700e-01	0	1	144	106	144	-2.2204460492503131e-16	-1.0555555555555558e+00	-2.2204460492503131e-16	-1.0927207381938864e-05	-1.0137804302949860e-03
288	9.9999999999999700e-01	0	1	144	107	144	-2.2204460492503131e-16	-1.0277777777777779e+00	-2.2204460492503131e-16	2.0153066285747041e-06	-1.3274158205708619e-03
288	9.9999999999999700e-01	0	1	144	108	144	-2.2204460492503131e-16	-1.0000000000000002e+00	-2.2204460492503131e-16	3.3199207261525032e-05	-1.6317658468828424e-03
288	9.9999999999999700e-01	0	1	144	109	144	-2.2204460492503131e-16	-9.7222222222222243e-01	-2.2204460492503131e-16	1.0189235939606078e-04	-9.2418699498597601e-04
288	9.9999999999999700e-01	0	1	144	110	144	-2.2204460492503131e-16	-9.4444444444444464e-01	-2.2204460492503131e-16	1.5121813140273055e-04	-5.4914170411368701e-05
288	9.9999999999999700e-01	0	1	144	111	144	-2.2204460492503131e-16	-9.1666666666666685e-01	-2.2204460492503131e-16	1.7504236004173279e-04	7.1291575750542791e-04
