# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
216	7.5000000000000000e-01	0	0	-3	72	72	-4.1666666666666670e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.3001994514145128e-32	3.5934734830991633e-30
216	7.5000000000000000e-01	0	0	-2	72	72	-4.1111111111111107e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.5562711290765005e-32	-3.9611233008379518e-31
216	7.5000000000000000e-01	0	0	-1	72	72	-4.0555555555555554e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.3880548904824469e-34	-1.0912964092784821e-31
216	7.5000000000000000e-01	0	0	0	72	72	-4.0000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.1484753939215772e-33	4.8189290887013562e-32
216	7.5000000000000000e-01	0	0	1	72	72	-3.9444444444444446e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.3880548904815408e-34	-1.0912964092777090e-31
216	7.5000000000000000e-01	0	0	2	72	72	-3.8888888888888888e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.5562711290755253e-32	-3.9611233008357815e-31
216	7.5000000000000000e-01	0	0	3	72	72	-3.8333333333333335e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.3001994514126917e-32	3.5934734830968302e-30
216	7.5000000000000000e-01	0	0	4	72	72	-3.7777777777777777e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.4684278325028409e-31	2.9716419789651105e-30
216	7.5000000000000000e-01	0	0	5	72	72	-3.7222222222222223e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.2077159295732004e-30	-9.3056912635159258e-29
216	7.5000000000000000e-01	0	0	6	72	72	-3.6666666666666665e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-6.2444319710007417e-30	9.4705383650394232e-29
216	7.5000000000000000e-01	0	0	7	72	72	-3.6111111111111112e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.9445403884076799e-29	2.0193462569919328e-27
216	7.5000000000000000e-01	0	0	8	72	72	-3.5555555555555554e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	8.0062993920799784e-29	-5.5181610216078707e-27
216	7.5000000000000000e-01	0	0	9	72	72	-3.5000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.0279335261924947e-27	-3.6691422479430337e-26
216	7.5000000000000000e-01	0	0	10	72	72	-3.4444444444444446e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.2168775779928811e-28	1.7750077787148278e-25
