# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
360	1.2500000000000000e+00	0	0	72	-3	72	-2.2204460492503131e-16	-4.1666666666666670e+00	-2.2204460492503131e-16	-5.1290506952287850e-25	1.6320050092542906e-22
360	1.2500000000000000e+00	0	0	72	-2	72	-2.2204460492503131e-16	-4.1111111111111107e+00	-2.2204460492503131e-16	-1.3810860018567831e-24	-3.9643979121839110e-23
360	1.2500000000000000e+00	0	0	72	-1	72	-2.2204460492503131e-16	-4.0555555555555554e+00	-2.2204460492503131e-16	6.4480332125986201e-26	-9.4057005183626107e-24
360	1.2500000000000000e+00	0	0	72	0	72	-2.2204460492503131e-16	-4.0000000000000000e+00	-2.2204460492503131e-16	1.7517181586477865e-25	5.8548257059150909e-24
360	1.2500000000000000e+00	0	0	72	1	72	-2.2204460492503131e-16	-3.9444444444444446e+00	-2.2204460492503131e-16	6.4480332126054572e-26	-9.4057005183506662e-24
360	1.2500000000000000e+00	0	0	72	2	72	-2.2204460492503131e-16	-3.8888888888888888e+00	-2.2204460492503131e-16	-1.3810860018556909e-24	-3.9643979121825163e-23
360	1.2500000000000000e+00	0	0	72	3	72	-2.2204460492503131e-16	-3.8333333333333335e+00	-2.2204460492503131e-16	-5.1290506952466204e-25	1.6320050092524425e-22
360	1.2500000000000000e+00	0	0	72	4	72	-2.2204460492503131e-16	-3.7777777777777777e+00	-2.2204460492503131e-16	2.0390536960228430e-23	5.1326508514841257e-22
360	1.2500000000000000e+00	0	0	72	5	72	-2.2204460492503131e-16	-3.7222222222222223e+00	-2.2204460492503131e-16	1.6599638503724990e-24	-2.4502034465435212e-21
360	1.2500000000000000e+00	0	0	72	6	72	-2.2204460492503131e-16	-3.6666666666666665e+00	-2.2204460492503131e-16	-2.8692951939909307e-22	-6.5717498184029221e-21
360	1.2500000000000000e+00	0	0	72	7	72	-2.2204460492503131e-16	-3.6111111111111112e+00	-2.2204460492503131e-16	1.7383668556488258e-23	3.3962674770882789e-20
360	1.2500000000000000e+00	0	0	72	8	72	-2.2204460492503131e-16	-3.5555555555555554e+00	-2.2204460492503131e-16	3.8515854228071449e-21	8.4458921618023794e-20
360	1.2500000000000000e+00	0	0	72	9	72	-2.2204460492503131e-16	-3.5000000000000000e+00	-2.2204460492503131e-16	-1.6340323963850140e-22	-4.3452445864379049e-19
360	1.2500000000000000e+00	0	0	72	10	72	-2.2204460492503131e-16	-3.4444444444444446e+00	-2.2204460492503131e-16	-4.9220051984296716e-20	-1.0993596153568362e-18
360	1.2500000000000000e+00	0	0	72	11	72	-2.2204460492503131e-16	-3.3888888888888888e+00	-2.2204460492503131e-16	-6.6392529886988740e-21	5.1054255878707876e-18
360	1.2500000000000000e+00	0	0	72	12	72	-2.2204460492503131e-16	-3.3333333333333335e+00	-2.2204460492503131e-16	5.9862790946112672e-19	1.4538259773354882e-17
360	1.2500000000000000e+00	0	0	72	13	72	-2.2204460492503131e-16	-3.2777777777777777e+00	-2.2204460492503131e-16	3.0997739892653366e-19	-5.3297875223104919e-17
360	1.2500000000000000e+00	0	0	72	14	72	-2.2204460492503131e-16	-3.2222222222222223e+00	-2.2204460492503131e-16	-6.7111173545724579e-18	-1.8754350141352623e-16
360	1.2500000000000000e+00	0	0	72	15	72	-2.2204460492503131e-16	-3.1666666666666665e+00	-2.2204460492503131e-16	-7.0395760490085462e-18	4.8299358516001938e-16
360	1.2500000000000000e+00	0	0	72	16	72	-2.2204460492503131e-16	-3.1111111111111112e+00	-2.2204460492503131e-16	7.0627715285829481e-17	2.3951196507642546e-15
360	1.2500000000000000e+00	0	0	72	17	72	-2.2204460492503131e-16	-3.0555555555555558e+00	-2.2204460492503131e-16	1.4312010926288679e-16	-2.7381711838036793e-15
360	1.2500000000000000e+00	0	0	72	18	72	-2.2204460492503131e-16	-3.0000000000000000e+00	-2.2204460492503131e-16	-5.4885765331961922e-16	-2.5430206984019119e-14
360	1.2500000000000000e+00	0	0	72	19	72	-2.2204460492503131e-16	-2.9444444444444446e+00	-2.2204460492503131e-16	-1.7733814851808515e-15	6.8353803499742005e-15
360	1.2500000000000000e+00	0	0	72	20	72	-2.2204460492503131e-16	-2.8888888888888888e+00	-2.2204460492503131e-16	4.8486152497824365e-15	2.9880093374466725e-13
360	1.2500000000000000e+00	0	0	72	21	72	-2.2204460492503131e-16	-2.8333333333333335e+00	-2.2204460492503131e-16	3.2306236341277913e-14	5.8473262468963135e-13
360	1.2500000000000000e+00	0	0	72	22	72	-2.2204460492503131e-16	-2.7777777777777777e+00	-2.2204460492503131e-16	4.3622480638154119e-14	-7.9415022020780923e-13
360	1.2500000000000000e+00	0	0	72	23	72	-2.2204460492503131e-16	-2.7222222222222223e+00	-2.2204460492503131e-16	-3.6956732713217237e-14	-1.5313831162054976e-12
360	1.2500000000000000e+00	0	0	72	24	72	-2.2204460492503131e-16	-2.6666666666666670e+00	-2.2204460492503131e-16	5.0425929304887568e-13	3.1438590891490038e-11
360	1.2500000000000000e+00	0	0	72	25	72	-2.2204460492503131e-16	-2.6111111111111112e+00	-2.2204460492503131e-16	6.3391182379281342e-12	2.1437207387811419e-10
360	1.2500000000000000e+00	0	0	72	26	72	-2.2204460492503131e-16	-2.5555555555555558e+00	-2.2204460492503131e-16	3.3076743277425984e-11	8.1988697427211272e-10
360	1.2500000000000000e+00	0	0	72	27	72	-2.2204460492503131e-16	-2.5000000000000000e+00	-2.2204460492503131e-16	1.2807042191158634e-10	2.8221325147489699e-09
360	1.2500000000000000e+00	0	0	72	28	72	-2.2204460492503131e-16	-2.4444444444444446e+00	-2.2204460492503131e-16	5.0780878949266688e-10	1.2498413184444751e-08
360	1.2500000000000000e+00	0	0	72	29	72	-2.2204460492503131e-16	-2.3888888888888888e+00	-2.2204460492503131e-16	2.4072728520401841e-09	6.6322132844765909e-08
360	1.2500000000000000e+00	0	0	72	30	72	-2.2204460492503131e-16	-2.3333333333333335e+00	-2.2204460492503131e-16	1.2110522114157992e-08	3.3208835271752543e-07
360	1.2500000000000000e+00	0	0	72	31	72	-2.2204460492503131e-16	-2.2777777777777777e+00	-2.2204460492503131e-16	5.6810137888759085e-08	1.4668536203828877e-06
360	1.2500000000000000e+00	0	0	72	32	72	-2.2204460492503131e-16	-2.2222222222222223e+00	-2.2204460492503131e-16	2.4266792485654373e-07	5.9110144172250761e-06
360	1.2500000000000000e+00	0	0	72	33	72	-2.2204460492503131e-16	-2.1666666666666670e+00	-2.2204460492503131e-16	9.7531582135754289e-07	2.3092693865120679e-05
360	1.2500000000000000e+00	0	0	72	34	72	-2.2204460492503131e-16	-2.1111111111111112e+00	-2.2204460492503131e-16	3.8478841193501284e-06	9.1088095310293640e-05
360	1.2500000000000000e+00	0	0	72	35	72	-2.2204460492503131e-16	-2.0555555555555558e+00	-2.2204460492503131e-16	1.5170460333039295e-05	3.5974228898303138e-04
360	1.2500000000000000e+00	0	0	72	36	72	-2.2204460492503131e-16	-2.0000000000000000e+00	-2.2204460492503131e-16	5.8770119280231262e-05	1.3660122606180853e-03
360	1.2500000000000000e+00	0	0	72	37	72	-2.2204460492503131e-16	-1.9444444444444446e+00	-2.2204460492503131e-16	2.1652467968240316e-04	4.7989452256465212e-03
360	1.2500000000000000e+00	0	0	72	38	72	-2.2204460492503131e-16	-1.8888888888888891e+00	-2.2204460492503131e-16	7.3812938077440844e-04	1.5246259423147699e-02
360	1.2500000000000000e+00	0	0	72	39	72	-2.2204460492503131e-16	-1.8333333333333335e+00	-2.2204460492503131e-16	2.2915768788498415e-03	4.3358433998356656e-02
360	1.2500000000000000e+00	0	0	72	40	72	-2.2204460492503131e-16	-1.7777777777777779e+00	-2.2204460492503131e-16	6.4342535127447286e-03	1.0998142730989208e-01
360	1.2500000000000000e+00	0	0	72	41	72	-2.2204460492503131e-16	-1.7222222222222223e+00	-2.2204460492503131e-16	1.6307482452773182e-02	2.4856378337127996e-01
360	1.2500000000000000e+00	0	0	72	42	72	-2.2204460492503131e-16	-1.6666666666666667e+00	-2.2204460492503131e-16	3.7322292123076674e-02	5.0010509412843451e-01
360	1.2500000000000000e+00	0	0	72	43	72	-2.2204460492503131e-16	-1.6111111111111112e+00	-2.2204460492503131e-16	7.7227303608939826e-02	8.9396240998350485e-01
360	1.2500000000000000e+00	0	0	72	44	72	-2.2204460492503131e-16	-1.5555555555555558e+00	-2.2204460492503131e-16	1.4466752825964138e-01	1.4135891826452323e+00
360	1.2500000000000000e+00	0	0	72	45	72	-2.2204460492503131e-16	-1.5000000000000002e+00	-2.2204460492503131e-16	2.4561683471754839e-01	1.9606890141209508e+00
360	1.2500000000000000e+00	0	0	72	46	72	-2.2204460492503131e-16	-1.4444444444444446e+00	-2.2204460492503131e-16	3.7825881104412806e-01	2.3470711894043599e+00
360	1.2500000000000000e+00	0	0	72	47	72	-2.2204460492503131e-16	-1.3888888888888891e+00	-2.2204460492503131e-16	5.2867388514534686e-01	2.3435770580491813e+00
360	1.2500000000000000e+00	0	0	72	48	72	-2.2204460492503131e-16	-1.3333333333333335e+00	-2.2204460492503131e-16	6.7075998176779794e-01	1.7858954298107810e+00
360	1.2500000000000000e+00	0	0	72	49	72	-2.2204460492503131e-16	-1.2777777777777779e+00	-2.2204460492503131e-16	7.7261144684733563e-01	6.8810367298670350e-01
360	1.2500000000000000e+00	0	0	72	50	72	-2.2204460492503131e-16	-1.2222222222222223e+00	-2.2204460492503131e-16	8.0791292341301668e-01	-7.1439030228910749e-01
360	1.2500000000000000e+00	0	0	72	51	72	-2.2204460492503131e-16	-1.1666666666666667e+00	-2.2204460492503131e-16	7.6696044142112008e-01	-2.0417688878038498e+00
360	1.2500000000000000e+00	0	0	72	52	72	-2.2204460492503131e-16	-1.1111111111111112e+00	-2.2204460492503131e-16	6.6102794994552794e-01	-2.9361997358346241e+00
360	1.2500000000000000e+00	0	0	72	53	72	-2.2204460492503131e-16	-1.0555555555555558e+00	-2.2204460492503131e-16	5.1737393034925072e-01	-3.2188022540737906e+00
360	1.2500000000000000e+00	0	0	72	54	72	-2.2204460492503131e-16	-1.0000000000000002e+00	-2.2204460492503131e-16	3.6786497734080537e-01	-2.9418150516914836e+00
360	1.2500000000000000e+00	0	0	72	55	72	-2.2204460492503131e-16	-9.4444444444444464e-01	-2.2204460492503131e-16	2.3759458739482048e-01	-2.3232761280765124e+00
360	1.2500000000000000e+00	0	0	72	56	72	-2.2204460492503131e-16	-8.8888888888888906e-01	-2.2204460492503131e-16	1.3947603873909242e-01	-1.6137714200113817e+00
360	1.2500000000000000e+00	0	0	72	57	72	-2.2204460492503131e-16	-8.3333333333333348e-01	-2.2204460492503131e-16	7.4487787310606735e-02	-9.9633251304418868e-01
360	1.2500000000000000e+00	0	0	72	58	72	-2.2204460492503131e-16	-7.7777777777777790e-01	-2.2204460492503131e-16	3.6263505960789921e-02	-5.5032742594455486e-01
360	1.2500000000000000e+00	0	0	72	59	72	-2.2204460492503131e-16	-7.2222222222222243e-01	-2.2204460492503131e-16	1.6151832548773171e-02	-2.7276750473042938e-01
360	1.2500000000000000e+00	0	0	72	60	72	-2.2204460492503131e-16	-6.6666666666666685e-01	-2.2204460492503131e-16	6.6087200495099693e-03	-1.2109253783567152e-01
360	1.2500000000000000e+00	0	0	72	61	72	-2.2204460492503131e-16	-6.1111111111111127e-01	-2.2204460492503131e-16	2.4779331876919977e-03	-4.7746354629897209e-02
360	1.2500000000000000e+00	0	0	72	62	72	-2.2204460492503131e-16	-5.5555555555555580e-01	-2.2204460492503131e-16	8.2470185556661143e-04	-1.6496480410256056e-02
360	1.2500000000000000e+00	0	0	72	63	72	-2.2204460492503131e-16	-5.0000000000000022e-01	-2.2204460492503131e-16	2.1323308790715452e-04	-4.9885951814720312e-03
360	1.2500000000000000e+00	0	0	72	64	72	-2.2204460492503131e-16	-4.4444444444444464e-01	-2.2204460492503131e-16	1.6573904882788019e-05	-1.4337783116769582e-03
360	1.2500000000000000e+00	0	0	72	65	72	-2.2204460492503131e-16	-3.8888888888888906e-01	-2.2204460492503131e-16	-2.4559992079373431e-05	-4.9765550448377816e-04
360	1.2500000000000000e+00	0	0	72	66	72	-2.2204460492503131e-16	-3.3333333333333354e-01	-2.2204460492503131e-16	-1.7931190223459131e-05	-2.0357890330971939e-04
