# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
648	1.0000000000000040e+00	0	0	-3	162	162	-4.0740740740740744e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.7167828626740066e-53	5.8864111968867052e-51
648	1.0000000000000040e+00	0	0	-2	162	162	-4.0493827160493829e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.3495588497027361e-53	-6.9149688521446781e-52
648	1.0000000000000040e+00	0	0	-1	162	162	-4.0246913580246915e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.4822356132291809e-55	-2.5148707146833178e-52
648	1.0000000000000040e+00	0	0	0	162	162	-4.0000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	6.3599066695696495e-55	7.2976634369442411e-53
648	1.0000000000000040e+00	0	0	1	162	162	-3.9753086419753085e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.3378700764693969e-54	1.1027272122045771e-52
648	1.0000000000000040e+00	0	0	2	162	162	-3.9506172839506171e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.1010098438678661e-55	-4.5841127581850565e-52
648	1.0000000000000040e+00	0	0	3	162	162	-3.9259259259259260e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.3655858334710026e-53	-1.1143650543047925e-51
648	1.0000000000000040e+00	0	0	4	162	162	-3.9012345679012346e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.4407915717998763e-53	1.1704854874668441e-50
648	1.0000000000000040e+00	0	0	5	162	162	-3.8765432098765431e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	5.2935633952579836e-52	1.5141279727104181e-50
648	1.0000000000000040e+00	0	0	6	162	162	-3.8518518518518521e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-7.8352008535556079e-52	-1.9509496434862677e-49
648	1.0000000000000040e+00	0	0	7	162	162	-3.8271604938271606e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-5.2002228898347914e-51	1.9831252830930511e-49
648	1.0000000000000040e+00	0	0	8	162	162	-3.8024691358024691e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.2066688817709391e-50	4.7779550024606854e-48
648	1.0000000000000040e+00	0	0	9	162	162	-3.7777777777777777e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.6425920842826308e-49	-1.7286997627369386e-48
648	1.0000000000000040e+00	0	0	10	162	162	-3.7530864197530862e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.3544605179801476e-49	-4.5739795386214689e-47
648	1.0000000000000040e+00	0	0	11	162	162	-3.7283950617283952e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	7.1827568090640679e-49	2.9545974250413500e-46
648	1.0000000000000040e+00	0	0	12	162	162	-3.7037037037037037e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.3208338668572901e-47	1.6460675090968977e-45
648	1.0000000000000040e+00	0	0	13	162	162	-3.6790123456790123e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	5.7852943917229816e-47	-9.6097487718515463e-46
648	1.0000000000000040e+00	0	0	14	162	162	-3.6543209876543212e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.9512805559804799e-47	3.6205397942279736e-45
648	1.0000000000000040e+00	0	0	15	162	162	-3.6296296296296298e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.5780180980084542e-45	1.7896115716975707e-43
648	1.0000000000000040e+00	0	0	16	162	162	-3.6049382716049383e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.1632426983101555e-44	6.2459117757649337e-43
648	1.0000000000000040e+00	0	0	17	162	162	-3.5802469135802468e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.2555266807438477e-44	7.8236694141941141e-43
648	1.0000000000000040e+00	0	0	18	162	162	-3.5555555555555554e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.3507486943267105e-43	1.1437041536082396e-41
648	1.0000000000000040e+00	0	0	19	162	162	-3.5308641975308643e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.1862024045330260e-42	9.2520397101420557e-41
648	1.0000000000000040e+00	0	0	20	162	162	-3.5061728395061729e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	6.1329675925708353e-42	3.1548529251425345e-40
648	1.0000000000000040e+00	0	0	21	162	162	-3.4814814814814814e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.2645089944233152e-41	1.1526638438590082e-39
648	1.0000000000000040e+00	0	0	22	162	162	-3.4567901234567904e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.1828343903822422e-40	8.5789258495612664e-39
648	1.0000000000000040e+00	0	0	23	162	162	-3.4320987654320989e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	7.1769517195762760e-40	4.7200311982351411e-38
648	1.0000000000000040e+00	0	0	24	162	162	-3.4074074074074074e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.3638684039756500e-39	1.8357901767504053e-37
648	1.0000000000000040e+00	0	0	25	162	162	-3.3827160493827160e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.4549546738158842e-38	8.5703311865761816e-37
648	1.0000000000000040e+00	0	0	26	162	162	-3.3580246913580245e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	7.4815639457252854e-38	4.9269304713719412e-36
648	1.0000000000000040e+00	0	0	27	162	162	-3.3333333333333335e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.8767783052244393e-37	2.3727776823612053e-35
648	1.0000000000000040e+00	0	0	28	162	162	-3.3086419753086420e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.7742986044441034e-36	1.0119254627991136e-34
648	1.0000000000000040e+00	0	0	29	162	162	-3.2839506172839505e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	8.0608722354028605e-36	4.8434753071344549e-34
648	1.0000000000000040e+00	0	0	30	162	162	-3.2592592592592595e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.9333573643359172e-35	2.4405084043704935e-33
648	1.0000000000000040e+00	0	0	31	162	162	-3.2345679012345681e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.8801523991434727e-34	1.1148240129528746e-32
648	1.0000000000000040e+00	0	0	32	162	162	-3.2098765432098766e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	8.4689656813402954e-34	4.8946068798622689e-32
648	1.0000000000000040e+00	0	0	33	162	162	-3.1851851851851851e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.8294099547374384e-33	2.2714577885879571e-31
648	1.0000000000000040e+00	0	0	34	162	162	-3.1604938271604937e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.7746989602063299e-32	1.0585388983696775e-30
648	1.0000000000000040e+00	0	0	35	162	162	-3.1358024691358026e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	8.0494068503911582e-32	4.6736930798917075e-30
648	1.0000000000000040e+00	0	0	36	162	162	-3.1111111111111112e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.5391761463078551e-31	2.0322136392322828e-29
648	1.0000000000000040e+00	0	0	37	162	162	-3.0864197530864197e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.5567735084400321e-30	9.0306358400903373e-29
648	1.0000000000000040e+00	0	0	38	162	162	-3.0617283950617287e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	6.8783096530040739e-30	3.9774280848356696e-28
648	1.0000000000000040e+00	0	0	39	162	162	-3.0370370370370372e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.9842995693212652e-29	1.6963308915404695e-27
648	1.0000000000000040e+00	0	0	40	162	162	-3.0123456790123457e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.2694232017571803e-28	7.1616052751756285e-27
648	1.0000000000000040e+00	0	0	41	162	162	-2.9876543209876543e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	5.3761478362345554e-28	3.0379475887860886e-26
648	1.0000000000000040e+00	0	0	42	162	162	-2.9629629629629628e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.2669662365105717e-27	1.2731251115565017e-25
648	1.0000000000000040e+00	0	0	43	162	162	-2.9382716049382718e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	9.4099270924542318e-27	5.2175542818970373e-25
648	1.0000000000000040e+00	0	0	44	162	162	-2.9135802469135803e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.8447694891221535e-26	2.1160165387636715e-24
648	1.0000000000000040e+00	0	0	45	162	162	-2.8888888888888888e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.5582696720459093e-25	8.5489658061456601e-24
648	1.0000000000000040e+00	0	0	46	162	162	-2.8641975308641978e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	6.2614819635091003e-25	3.4090700752054159e-23
648	1.0000000000000040e+00	0	0	47	162	162	-2.8395061728395063e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.4793351910900567e-24	1.3347925883596171e-22
648	1.0000000000000040e+00	0	0	48	162	162	-2.8148148148148149e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	9.6731783032567857e-24	5.1637477837664833e-22
648	1.0000000000000040e+00	0	0	49	162	162	-2.7901234567901234e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.7335116958199452e-23	1.9806431864698341e-21
648	1.0000000000000040e+00	0	0	50	162	162	-2.7654320987654319e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.4251099962476296e-22	7.4939528497139841e-21
648	1.0000000000000040e+00	0	0	51	162	162	-2.7407407407407409e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	5.3608952151240414e-22	2.7876711377901678e-20
648	1.0000000000000040e+00	0	0	52	162	162	-2.7160493827160495e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.9865437567937781e-21	1.0228096431574723e-19
648	1.0000000000000040e+00	0	0	53	162	162	-2.6913580246913580e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	7.2671824431729932e-21	3.7096580601874877e-19
648	1.0000000000000040e+00	0	0	54	162	162	-2.6666666666666670e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.6244290313993798e-20	1.3262220355596326e-18
648	1.0000000000000040e+00	0	0	55	162	162	-2.6419753086419755e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	9.3359952435786130e-20	4.6618926782815959e-18
648	1.0000000000000040e+00	0	0	56	162	162	-2.6172839506172840e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.2691959458148976e-19	1.6136863228675160e-17
648	1.0000000000000040e+00	0	0	57	162	162	-2.5925925925925926e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.1281673231658780e-18	5.5093108438969950e-17
648	1.0000000000000040e+00	0	0	58	162	162	-2.5679012345679011e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.8375359901122325e-18	1.8524535451001229e-16
648	1.0000000000000040e+00	0	0	59	162	162	-2.5432098765432101e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.2849421927921439e-17	6.1219101463883405e-16
648	1.0000000000000040e+00	0	0	60	162	162	-2.5185185185185186e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.2314950844019046e-17	1.9892773507383832e-15
648	1.0000000000000040e+00	0	0	61	162	162	-2.4938271604938271e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.3712176536784032e-16	6.3639664812220526e-15
648	1.0000000000000040e+00	0	0	62	162	162	-2.4691358024691361e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.3740366785178359e-16	2.0033008015025142e-14
648	1.0000000000000040e+00	0	0	63	162	162	-2.4444444444444446e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.3724197550464388e-15	6.1950290434328540e-14
648	1.0000000000000040e+00	0	0	64	162	162	-2.4197530864197532e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.2318578335238516e-15	1.8813672994198731e-13
648	1.0000000000000040e+00	0	0	65	162	162	-2.3950617283950617e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.2824239652850216e-14	5.6160236312261911e-13
648	1.0000000000000040e+00	0	0	66	162	162	-2.3703703703703702e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.8209100099890269e-14	1.6480880256848330e-12
648	1.0000000000000040e+00	0	0	67	162	162	-2.3456790123456792e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.1189927998393813e-13	4.7495961228183120e-12
648	1.0000000000000040e+00	0	0	68	162	162	-2.3209876543209877e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.2187340374593407e-13	1.3430699084844087e-11
648	1.0000000000000040e+00	0	0	69	162	162	-2.2962962962962963e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	9.0905699878843562e-13	3.7278386804880694e-11
648	1.0000000000000040e+00	0	0	70	162	162	-2.2716049382716053e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.5214834606906372e-12	1.0162054584590239e-10
648	1.0000000000000040e+00	0	0	71	162	162	-2.2469135802469138e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	6.8698583363682261e-12	2.7197460375794688e-10
648	1.0000000000000040e+00	0	0	72	162	162	-2.2222222222222223e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.8378102571090437e-11	7.1402236366117589e-10
648	1.0000000000000040e+00	0	0	73	162	162	-2.1975308641975309e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.8249071242287736e-11	1.8381521567804898e-09
648	1.0000000000000040e+00	0	0	74	162	162	-2.1728395061728394e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.2429792524451364e-10	4.6420996886892885e-09
648	1.0000000000000040e+00	0	0	75	162	162	-2.1481481481481484e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.1428714742242609e-10	1.1504409104584192e-08
648	1.0000000000000040e+00	0	0	76	162	162	-2.1234567901234569e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	7.8004303864319459e-10	2.7970589811490443e-08
648	1.0000000000000040e+00	0	0	77	162	162	-2.0987654320987654e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.8998816978165298e-09	6.6673894362045113e-08
648	1.0000000000000040e+00	0	0	78	162	162	-2.0740740740740744e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.5393606648567694e-09	1.5577666325098971e-07
648	1.0000000000000040e+00	0	0	79	162	162	-2.0493827160493829e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.0638189550466307e-08	3.5680430900404054e-07
648	1.0000000000000040e+00	0	0	80	162	162	-2.0246913580246915e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.4456877074050346e-08	8.0144106756850857e-07
648	1.0000000000000040e+00	0	0	81	162	162	-2.0000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	5.5164915253687480e-08	1.7653944437140210e-06
648	1.0000000000000040e+00	0	0	82	162	162	-1.9753086419753088e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.2208367222832662e-07	3.8127471519355030e-06
648	1.0000000000000040e+00	0	0	83	162	162	-1.9506172839506175e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	2.6505094465624824e-07	8.0712333437337358e-06
648	1.0000000000000040e+00	0	0	84	162	162	-1.9259259259259260e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	5.6443320540754134e-07	1.6744722287340978e-05
648	1.0000000000000040e+00	0	0	85	162	162	-1.9012345679012346e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.1788689311050326e-06	3.4043191003101714e-05
