# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
648	1.0000000000000040e+00	0	0	162	-3	162	-2.2204460492503131e-16	-4.0740740740740744e+00	-2.2204460492503131e-16	1.7167828638780223e-53	5.8864111977458428e-51
648	1.0000000000000040e+00	0	0	162	-2	162	-2.2204460492503131e-16	-4.0493827160493829e+00	-2.2204460492503131e-16	-1.3495588498124097e-53	-6.9149688503834476e-52
648	1.0000000000000040e+00	0	0	162	-1	162	-2.2204460492503131e-16	-4.0246913580246915e+00	-2.2204460492503131e-16	1.4822356061410082e-55	-2.5148707153392026e-52
648	1.0000000000000040e+00	0	0	162	0	162	-2.2204460492503131e-16	-4.0000000000000000e+00	-2.2204460492503131e-16	6.3599066711083623e-55	7.2976634361221354e-53
648	1.0000000000000040e+00	0	0	162	1	162	-2.2204460492503131e-16	-3.9753086419753085e+00	-2.2204460492503131e-16	1.3378700763333290e-54	1.1027272120585959e-52
648	1.0000000000000040e+00	0	0	162	2	162	-2.2204460492503131e-16	-3.9506172839506171e+00	-2.2204460492503131e-16	4.1010098404922298e-55	-4.5841127577519117e-52
648	1.0000000000000040e+00	0	0	162	3	162	-2.2204460492503131e-16	-3.9259259259259260e+00	-2.2204460492503131e-16	-2.3655858331762626e-53	-1.1143650541043738e-51
648	1.0000000000000040e+00	0	0	162	4	162	-2.2204460492503131e-16	-3.9012345679012346e+00	-2.2204460492503131e-16	4.4407915717745934e-53	1.1704854873739262e-50
648	1.0000000000000040e+00	0	0	162	5	162	-2.2204460492503131e-16	-3.8765432098765431e+00	-2.2204460492503131e-16	5.2935633948610043e-52	1.5141279726029494e-50
648	1.0000000000000040e+00	0	0	162	6	162	-2.2204460492503131e-16	-3.8518518518518521e+00	-2.2204460492503131e-16	-7.8352008527885100e-52	-1.9509496433394199e-49
648	1.0000000000000040e+00	0	0	162	7	162	-2.2204460492503131e-16	-3.8271604938271606e+00	-2.2204460492503131e-16	-5.2002228894486019e-51	1.9831252829363629e-49
648	1.0000000000000040e+00	0	0	162	8	162	-2.2204460492503131e-16	-3.8024691358024691e+00	-2.2204460492503131e-16	4.2066688815811204e-50	4.7779550022888432e-48
648	1.0000000000000040e+00	0	0	162	9	162	-2.2204460492503131e-16	-3.7777777777777777e+00	-2.2204460492503131e-16	1.6425920842715456e-49	-1.7286997620955863e-48
