# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
640	1.2500000000000000e+00	0	0	128	-3	128	0.0000000000000000e+00	-4.0937500000000000e+00	0.0000000000000000e+00	-4.2176970433628032e-48	-1.7500737553489541e-46
640	1.2500000000000000e+00	0	0	128	-2	128	0.0000000000000000e+00	-4.0625000000000000e+00	0.0000000000000000e+00	-1.0052602981216966e-48	-7.1886437466024088e-47
640	1.2500000000000000e+00	0	0	128	-1	128	0.0000000000000000e+00	-4.0312500000000000e+00	0.0000000000000000e+00	-9.0783473275397214e-50	-8.8067438766186028e-48
640	1.2500000000000000e+00	0	0	128	0	128	0.0000000000000000e+00	-4.0000000000000000e+00	0.0000000000000000e+00	4.7673502156926233e-51	-4.0078925209377683e-49
640	1.2500000000000000e+00	0	0	128	1	128	0.0000000000000000e+00	-3.9687500000000000e+00	0.0000000000000000e+00	-9.0783473275397214e-50	-8.8067438766186028e-48
640	1.2500000000000000e+00	0	0	128	2	128	0.0000000000000000e+00	-3.9375000000000000e+00	0.0000000000000000e+00	-1.0052602981216966e-48	-7.1886437466024088e-47
640	1.2500000000000000e+00	0	0	128	3	128	0.0000000000000000e+00	-3.9062500000000000e+00	0.0000000000000000e+00	-4.2176970433628032e-48	-1.7500737553489541e-46
640	1.2500000000000000e+00	0	0	128	4	128	0.0000000000000000e+00	-3.8750000000000000e+00	0.0000000000000000e+00	1.6246364973971495e-47	2.3127871006045627e-45
640	1.2500000000000000e+00	0	0	128	5	128	0.0000000000000000e+00	-3.8437500000000000e+00	0.0000000000000000e+00	3.8469126538446219e-46	3.1129304564586569e-44
640	1.2500000000000000e+00	0	0	128	6	128	0.0000000000000000e+00	-3.8125000000000000e+00	0.0000000000000000e+00	2.7451497898623097e-45	1.6746805960164655e-43
640	1.2500000000000000e+00	0	0	128	7	128	0.0000000000000000e+00	-3.7812500000000000e+00	0.0000000000000000e+00	5.3589299411606016e-45	-6.9329560114567224e-44
640	1.2500000000000000e+00	0	0	128	8	128	0.0000000000000000e+00	-3.7500000000000000e+00	0.0000000000000000e+00	-9.2904758558691819e-44	-9.2202330711013900e-42
640	1.2500000000000000e+00	0	0	128	9	128	0.0000000000000000e+00	-3.7187500000000000e+00	0.0000000000000000e+00	-1.1439954480925580e-42	-8.2000542763099923e-41
640	1.2500000000000000e+00	0	0	128	10	128	0.0000000000000000e+00	-3.6875000000000000e+00	0.0000000000000000e+00	-6.0732636472722916e-42	-3.0999474666234380e-40
640	1.2500000000000000e+00	0	0	128	11	128	0.0000000000000000e+00	-3.6562500000000000e+00	0.0000000000000000e+00	-9.9413248929605537e-43	1.0440426967265421e-39
640	1.2500000000000000e+00	0	0	128	12	128	0.0000000000000000e+00	-3.6250000000000000e+00	0.0000000000000000e+00	2.8341131169704313e-40	2.4503228157894828e-38
640	1.2500000000000000e+00	0	0	128	13	128	0.0000000000000000e+00	-3.5937500000000000e+00	0.0000000000000000e+00	2.7449691031887090e-39	1.8368885934860779e-37
640	1.2500000000000000e+00	0	0	128	14	128	0.0000000000000000e+00	-3.5625000000000000e+00	0.0000000000000000e+00	1.2905547521054367e-38	6.0948902692637634e-37
640	1.2500000000000000e+00	0	0	128	15	128	0.0000000000000000e+00	-3.5312500000000000e+00	0.0000000000000000e+00	-4.9224757549020685e-39	-2.7389377848942257e-36
640	1.2500000000000000e+00	0	0	128	16	128	0.0000000000000000e+00	-3.5000000000000000e+00	0.0000000000000000e+00	-6.5041272584089777e-37	-5.4459959646822499e-35
640	1.2500000000000000e+00	0	0	128	17	128	0.0000000000000000e+00	-3.4687500000000000e+00	0.0000000000000000e+00	-6.0118461188532394e-36	-3.9204845415910413e-34
640	1.2500000000000000e+00	0	0	128	18	128	0.0000000000000000e+00	-3.4375000000000000e+00	0.0000000000000000e+00	-2.7964472864128013e-35	-1.2782173448275673e-33
640	1.2500000000000000e+00	0	0	128	19	128	0.0000000000000000e+00	-3.4062500000000000e+00	0.0000000000000000e+00	-2.1338197262209574e-36	4.7108565554198259e-33
640	1.2500000000000000e+00	0	0	128	20	128	0.0000000000000000e+00	-3.3750000000000000e+00	0.0000000000000000e+00	1.1532504370009757e-33	9.5279879239599523e-32
640	1.2500000000000000e+00	0	0	128	21	128	0.0000000000000000e+00	-3.3437500000000000e+00	0.0000000000000000e+00	1.0896253461606533e-32	6.9878081418583827e-31
640	1.2500000000000000e+00	0	0	128	22	128	0.0000000000000000e+00	-3.3125000000000000e+00	0.0000000000000000e+00	5.7192407367229135e-32	2.8952684014967482e-30
640	1.2500000000000000e+00	0	0	128	23	128	0.0000000000000000e+00	-3.2812500000000000e+00	0.0000000000000000e+00	1.1849453738749976e-31	5.8951735823761663e-31
640	1.2500000000000000e+00	0	0	128	24	128	0.0000000000000000e+00	-3.2500000000000000e+00	0.0000000000000000e+00	-1.1256753869146760e-30	-1.1023271907807323e-28
