# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
144	1.1250000000000000e+00	0	0	32	-3	32	0.0000000000000000e+00	-4.3750000000000000e+00	0.0000000000000000e+00	7.2726991595831358e-17	2.6450972237539368e-16
144	1.1250000000000000e+00	0	0	32	-2	32	0.0000000000000000e+00	-4.2500000000000000e+00	0.0000000000000000e+00	1.3569980519067691e-17	3.8381345071128638e-16
144	1.1250000000000000e+00	0	0	32	-1	32	0.0000000000000000e+00	-4.1250000000000000e+00	0.0000000000000000e+00	-3.0947467336426393e-19	1.1553835714630407e-17
144	1.1250000000000000e+00	0	0	32	0	32	0.0000000000000000e+00	-4.0000000000000000e+00	0.0000000000000000e+00	-2.9291086662681555e-19	-7.7378962342060542e-18
144	1.1250000000000000e+00	0	0	32	1	32	0.0000000000000000e+00	-3.8750000000000000e+00	0.0000000000000000e+00	-3.0947467336426393e-19	1.1553835714630407e-17
144	1.1250000000000000e+00	0	0	32	2	32	0.0000000000000000e+00	-3.7500000000000000e+00	0.0000000000000000e+00	1.3569980519067691e-17	3.8381345071128638e-16
144	1.1250000000000000e+00	0	0	32	3	32	0.0000000000000000e+00	-3.6250000000000000e+00	0.0000000000000000e+00	7.2726991595831358e-17	2.6450972237539368e-16
144	1.1250000000000000e+00	0	0	32	4	32	0.0000000000000000e+00	-3.5000000000000000e+00	0.0000000000000000e+00	-8.2836616211183102e-16	-2.7199017575954277e-14
144	1.1250000000000000e+00	0	0	32	5	32	0.0000000000000000e+00	-3.3750000000000000e+00	0.0000000000000000e+00	-8.8917294432592308e-15	-1.3387980569818798e-13
144	1.1250000000000000e+00	0	0	32	6	32	0.0000000000000000e+00	-3.2500000000000000e+00	0.0000000000000000e+00	1.1172972558069434e-14	9.4192246095535784e-13
144	1.1250000000000000e+00	0	0	32	7	32	0.0000000000000000e+00	-3.1250000000000000e+00	0.0000000000000000e+00	6.1641888853453787e-13	1.3375596775847986e-11
144	1.1250000000000000e+00	0	0	32	8	32	0.0000000000000000e+00	-3.0000000000000000e+00	0.0000000000000000e+00	3.5814909783311416e-12	4.6688031955195824e-11
144	1.1250000000000000e+00	0	0	32	9	32	0.0000000000000000e+00	-2.8750000000000000e+00	0.0000000000000000e+00	-1.0419017075824321e-11	-4.7154902170844764e-10
144	1.1250000000000000e+00	0	0	32	10	32	0.0000000000000000e+00	-2.7500000000000000e+00	0.0000000000000000e+00	-3.4335635371282253e-10	-7.8243401414772582e-09
144	1.1250000000000000e+00	0	0	32	11	32	0.0000000000000000e+00	-2.6250000000000000e+00	0.0000000000000000e+00	-2.2718005750261328e-09	-3.1336287891072651e-08
144	1.1250000000000000e+00	0	0	32	12	32	0.0000000000000000e+00	-2.5000000000000000e+00	0.0000000000000000e+00	5.9405113633836729e-09	3.0877071897536044e-07
144	1.1250000000000000e+00	0	0	32	13	32	0.0000000000000000e+00	-2.3750000000000000e+00	0.0000000000000000e+00	1.9803348298607167e-07	4.1661646910778406e-06
144	1.1250000000000000e+00	0	0	32	14	32	0.0000000000000000e+00	-2.2500000000000000e+00	0.0000000000000000e+00	1.0915889542473639e-06	1.0947386192152188e-05
144	1.1250000000000000e+00	0	0	32	15	32	0.0000000000000000e+00	-2.1250000000000000e+00	0.0000000000000000e+00	-2.8785263991363522e-06	-1.3159703666450347e-04
144	1.1250000000000000e+00	0	0	32	16	32	0.0000000000000000e+00	-2.0000000000000000e+00	0.0000000000000000e+00	-7.2799098586184876e-05	-1.3581346132122520e-03
144	1.1250000000000000e+00	0	0	32	17	32	0.0000000000000000e+00	-1.8750000000000000e+00	0.0000000000000000e+00	-4.2902846079598592e-04	-5.0215441835785093e-03
144	1.1250000000000000e+00	0	0	32	18	32	0.0000000000000000e+00	-1.7500000000000000e+00	0.0000000000000000e+00	-1.0731561947303577e-03	-3.6731688122376531e-03
144	1.1250000000000000e+00	0	0	32	19	32	0.0000000000000000e+00	-1.6250000000000000e+00	0.0000000000000000e+00	-1.2693388767845946e-04	2.3752132403272619e-02
144	1.1250000000000000e+00	0	0	32	20	32	0.0000000000000000e+00	-1.5000000000000000e+00	0.0000000000000000e+00	4.0395921149756348e-03	3.7189673918516908e-02
144	1.1250000000000000e+00	0	0	32	21	32	0.0000000000000000e+00	-1.3750000000000000e+00	0.0000000000000000e+00	3.2170086555886601e-03	-4.8960811722845943e-02
144	1.1250000000000000e+00	0	0	32	22	32	0.0000000000000000e+00	-1.2500000000000000e+00	0.0000000000000000e+00	-4.2116374831755454e-03	-4.6579057103230515e-02
144	1.1250000000000000e+00	0	0	32	23	32	0.0000000000000000e+00	-1.1250000000000000e+00	0.0000000000000000e+00	-6.6218587437716359e-05	2.7646898818183194e-02
144	1.1250000000000000e+00	0	0	32	24	32	0.0000000000000000e+00	-1.0000000000000000e+00	0.0000000000000000e+00	-3.6009661183217245e-03	-5.7551288325039529e-02
144	1.1250000000000000e+00	0	0	32	25	32	0.0000000000000000e+00	-8.7500000000000000e-01	0.0000000000000000e+00	5.0033887148343004e-03	-4.9407465618091173e-02
144	1.1250000000000000e+00	0	0	32	26	32	0.0000000000000000e+00	-7.5000000000000000e-01	0.0000000000000000e+00	2.8039241922294400e-03	4.4715622693882739e-02
144	1.1250000000000000e+00	0	0	32	27	32	0.0000000000000000e+00	-6.2500000000000000e-01	0.0000000000000000e+00	-1.5487536543162643e-03	8.1027114833385205e-03
144	1.1250000000000000e+00	0	0	32	28	32	0.0000000000000000e+00	-5.0000000000000000e-01	0.0000000000000000e+00	-1.2308064557626729e-03	-2.0663940412024448e-02
144	1.1250000000000000e+00	0	0	32	29	32	0.0000000000000000e+00	-3.7500000000000000e-01	0.0000000000000000e+00	-4.7886362552668985e-04	-1.1405474927525619e-02
144	1.1250000000000000e+00	0	0	32	30	32	0.0000000000000000e+00	-2.5000000000000000e-01	0.0000000000000000e+00	-4.8315120459897309e-04	-3.7681935569866855e-03
144	1.1250000000000000e+00	0	0	32	31	32	0.0000000000000000e+00	-1.2500000000000000e-01	0.0000000000000000e+00	-1.0687380531016182e-03	-2.5345036705240174e-03
144	1.1250000000000000e+00	0	0	32	32	32	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.6400382952631732e-03	-2.2441258552406830e-03
144	1.1250000000000000e+00	0	0	32	33	32	0.0000000000000000e+00	1.2500000000000000e-01	0.0000000000000000e+00	-1.0687380531016182e-03	-2.5345036705240174e-03
144	1.1250000000000000e+00	0	0	32	34	32	0.0000000000000000e+00	2.5000000000000000e-01	0.0000000000000000e+00	-4.8315120459897309e-04	-3.7681935569866855e-03
144	1.1250000000000000e+00	0	0	32	35	32	0.0000000000000000e+00	3.7500000000000000e-01	0.0000000000000000e+00	-4.7886362552668985e-04	-1.1405474927525619e-02
144	1.1250000000000000e+00	0	0	32	36	32	0.0000000000000000e+00	5.0000000000000000e-01	0.0000000000000000e+00	-1.2308064557626729e-03	-2.0663940412024448e-02
144	1.1250000000000000e+00	0	0	32	37	32	0.0000000000000000e+00	6.2500000000000000e-01	0.0000000000000000e+00	-1.5487536543162643e-03	8.1027114833385205e-03
144	1.1250000000000000e+00	0	0	32	38	32	0.0000000000000000e+00	7.5000000000000000e-01	0.0000000000000000e+00	2.8039241922294400e-03	4.4715622693882739e-02
144	1.1250000000000000e+00	0	0	32	39	32	0.0000000000000000e+00	8.7500000000000000e-01	0.0000000000000000e+00	5.0033887148343004e-03	-4.9407465618091173e-02
144	1.1250000000000000e+00	0	0	32	40	32	0.0000000000000000e+00	1.0000000000000000e+00	0.0000000000000000e+00	-3.6009661183217245e-03	-5.7551288325039529e-02
144	1.1250000000000000e+00	0	0	32	41	32	0.0000000000000000e+00	1.1250000000000000e+00	0.0000000000000000e+00	-6.6218587437716359e-05	2.7646898818183194e-02
144	1.1250000000000000e+00	0	0	32	42	32	0.0000000000000000e+00	1.2500000000000000e+00	0.0000000000000000e+00	-4.2116374831755454e-03	-4.6579057103230515e-02
144	1.1250000000000000e+00	0	0	32	43	32	0.0000000000000000e+00	1.3750000000000000e+00	0.0000000000000000e+00	3.2170086555886601e-03	-4.8960811722845943e-02
144	1.1250000000000000e+00	0	0	32	44	32	0.0000000000000000e+00	1.5000000000000000e+00	0.0000000000000000e+00	4.0395921149756348e-03	3.7189673918516908e-02
144	1.1250000000000000e+00	0	0	32	45	32	0.0000000000000000e+00	1.6250000000000000e+00	0.0000000000000000e+00	-1.2693388767845946e-04	2.3752132403272619e-02
144	1.1250000000000000e+00	0	0	32	46	32	0.0000000000000000e+00	1.7500000000000000e+00	0.0000000000000000e+00	-1.0731561947303577e-03	-3.6731688122376531e-03
144	1.1250000000000000e+00	0	0	32	47	32	0.0000000000000000e+00	1.8750000000000000e+00	0.0000000000000000e+00	-4.2902846079598592e-04	-5.0215441835785093e-03
144	1.1250000000000000e+00	0	0	32	48	32	0.0000000000000000e+00	2.0000000000000000e+00	0.0000000000000000e+00	-7.2799098586184876e-05	-1.3581346132122520e-03
144	1.1250000000000000e+00	0	0	32	49	32	0.0000000000000000e+00	2.1250000000000000e+00	0.0000000000000000e+00	-2.8785263991363522e-06	-1.3159703666450347e-04
144	1.1250000000000000e+00	0	0	32	50	32	0.0000000000000000e+00	2.2500000000000000e+00	0.0000000000000000e+00	1.0915889542473639e-06	1.0947386192152188e-05
144	1.1250000000000000e+00	0	0	32	51	32	0.0000000000000000e+00	2.3750000000000000e+00	0.0000000000000000e+00	1.9803348298607167e-07	4.1661646910778406e-06
144	1.1250000000000000e+00	0	0	32	52	32	0.0000000000000000e+00	2.5000000000000000e+00	0.0000000000000000e+00	5.9405113633836729e-09	3.0877071897536044e-07
144	1.1250000000000000e+00	0	0	32	53	32	0.0000000000000000e+00	2.6250000000000000e+00	0.0000000000000000e+00	-2.2718005750261328e-09	-3.1336287891072651e-08
144	1.1250000000000000e+00	0	0	32	54	32	0.0000000000000000e+00	2.7500000000000000e+00	0.0000000000000000e+00	-3.4335635371282253e-10	-7.8243401414772582e-09
