# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
384	1.9999999999999885e+00	0	0	48	-3	48	-2.2204460492503131e-16	-4.2500000000000000e+00	-2.2204460492503131e-16	3.0814294318098685e-13	8.0718018003159513e-12
384	1.9999999999999885e+00	0	0	48	-2	48	-2.2204460492503131e-16	-4.1666666666666670e+00	-2.2204460492503131e-16	1.5430125240259516e-14	9.8457236347476840e-13
384	1.9999999999999885e+00	0	0	48	-1	48	-2.2204460492503131e-16	-4.0833333333333330e+00	-2.2204460492503131e-16	-7.2524346071771016e-15	-7.2872456138002805e-14
384	1.9999999999999885e+00	0	0	48	0	48	-2.2204460492503131e-16	-4.0000000000000000e+00	-2.2204460492503131e-16	-3.7554170536040652e-15	-9.4641261187238150e-14
384	1.9999999999999885e+00	0	0	48	1	48	-2.2204460492503131e-16	-3.9166666666666665e+00	-2.2204460492503131e-16	-7.2524346071771916e-15	-7.2872456138002010e-14
384	1.9999999999999885e+00	0	0	48	2	48	-2.2204460492503131e-16	-3.8333333333333335e+00	-2.2204460492503131e-16	1.5430125240260138e-14	9.8457236347479102e-13
384	1.9999999999999885e+00	0	0	48	3	48	-2.2204460492503131e-16	-3.7500000000000000e+00	-2.2204460492503131e-16	3.0814294318099361e-13	8.0718018003161258e-12
384	1.9999999999999885e+00	0	0	48	4	48	-2.2204460492503131e-16	-3.6666666666666665e+00	-2.2204460492503131e-16	1.4840490475310361e-12	2.2063354027698256e-11
384	1.9999999999999885e+00	0	0	48	5	48	-2.2204460492503131e-16	-3.5833333333333335e+00	-2.2204460492503131e-16	3.3828338638025527e-14	-1.0918528596471205e-10
384	1.9999999999999885e+00	0	0	48	6	48	-2.2204460492503131e-16	-3.5000000000000000e+00	-2.2204460492503131e-16	-4.6727283654831055e-11	-1.4121005956161439e-09
384	1.9999999999999885e+00	0	0	48	7	48	-2.2204460492503131e-16	-3.4166666666666665e+00	-2.2204460492503131e-16	-3.0688635095171760e-10	-5.7205859142429673e-09
384	1.9999999999999885e+00	0	0	48	8	48	-2.2204460492503131e-16	-3.3333333333333335e+00	-2.2204460492503131e-16	-5.6807792617726167e-10	5.4808355225755589e-09
384	1.9999999999999885e+00	0	0	48	9	48	-2.2204460492503131e-16	-3.2500000000000000e+00	-2.2204460492503131e-16	5.2134594523444542e-09	1.9165136119492106e-07
