# 1:iteration	2:time	3:admconstraints::hc.min	4:admconstraints::hc.max	5:admconstraints::hc.sum	6:admconstraints::hc.avg	7:admconstraints::hc.stddev	8:admconstraints::hc.volume	9:admconstraints::hc.L1norm	10:admconstraints::hc.L2norm	11:admconstraints::hc.maxabs	12:admconstraints::hc.sumloc[0]	13:admconstraints::hc.sumloc[1]	14:admconstraints::hc.sumloc[2]
0	0.0000000000000000e+00	-9.6611423926149086e-03	6.3062020826548980e-03	1.3750091020246606e-05	2.6855646523919127e-14	1.3038541339469260e-08	5.1200000000000048e+08	1.2017319463436057e-13	1.3038541339496918e-08	9.6611423926149086e-03	-2.8169351115602264e+00	2.6257008122379522e-05	5.8678812020762638e-05
4096	9.0909090909090917e+00	-7.9467194764731852e-06	8.2534997078165251e-06	1.2268252006791331e-04	2.3961429700764297e-13	2.0206875654646137e-10	5.1200000000000048e+08	3.1836747166346511e-13	2.0206889861441916e-10	8.2534997078165251e-06	5.9422932749502166e-03	-3.9029129013232744e-03	-1.5734692836999464e-06
8192	1.8181818181818183e+01	-8.0339431931461536e-06	8.8046350466448875e-06	1.3844040432717719e-04	2.7039141470151770e-13	2.2336385887313919e-10	5.1200000000000048e+08	1.2610639338091713e-12	2.2336402253321096e-10	8.8046350466448875e-06	5.8972812609129899e-02	4.3908361849590571e-02	-1.3992783809285703e-06
12288	2.7272727272727273e+01	-8.4061127158668869e-06	8.4455605597992534e-06	1.3010154716485147e-04	2.5410458430635024e-13	3.6668271976287569e-10	5.1200000000000054e+08	2.6040857581408862e-12	3.6668280780783740e-10	8.4455605597992534e-06	-5.0018504551567866e-02	-4.8989424311281476e-02	2.8459836789118675e-04
16384	3.6363636363636367e+01	-7.3278373590793255e-06	8.3599249265722819e-06	2.8406491361112902e-05	5.5481428439673572e-14	4.1028790755074916e-10	5.1200000000000060e+08	3.2313653203151030e-12	4.1028791130200388e-10	8.3599249265722819e-06	1.5591200991267429e-02	4.0913592894144701e-02	-8.9091852643417152e-05
20480	4.5454545454545460e+01	-5.2227061914829342e-06	7.6843304047703731e-06	-2.4856510176168986e-04	-4.8547871437830001e-13	3.5278843175514792e-10	5.1200000000000048e+08	2.8538775694696431e-12	3.5278876579312834e-10	7.6843304047703731e-06	-2.4715230529915949e-02	-8.4880474038330211e-03	3.3604675569705311e-04
24576	5.4545454545454547e+01	-6.3535351468094192e-06	7.8433996073337675e-06	5.5765075487806109e-05	1.0891616306212120e-13	2.7385487479866444e-10	5.1200000000000048e+08	2.0799521434758600e-12	2.7385489645745381e-10	7.8433996073337675e-06	8.7741255056324602e-03	5.1644353378521107e-02	-9.2154955465842403e-05
28672	6.3636363636363640e+01	-8.8259774805275748e-06	8.6730904082649163e-06	1.8011759918087990e-06	3.5179218590015567e-15	2.4258284691218258e-10	5.1200000000000054e+08	1.6039630618052080e-12	2.4258284693769091e-10	8.8259774805275748e-06	-4.1968593507686835e-02	7.6183817014615476e-02	1.0724918747141970e-04
32768	7.2727272727272734e+01	-9.2871801930342890e-06	8.5087188045444850e-06	2.7484806231879011e-05	5.3681262171638637e-14	3.7540843304253246e-10	5.1200000000000054e+08	2.0825299150690198e-12	3.7540843688058939e-10	9.2871801930342890e-06	-1.9280313928395659e-02	5.0179606768996105e-02	-5.9944498617610573e-03
36864	8.1818181818181827e+01	-7.9984401603963584e-06	8.1465495384291930e-06	2.2891471775159427e-05	4.4709905810858214e-14	2.4782095919924439e-09	5.1200000000000048e+08	1.4139897967977414e-11	2.4782095923957544e-09	8.1465495384291930e-06	-4.2844477557922978e-02	1.7404244615169623e-02	-7.4466770689042561e-04
