# 1:iteration	2:time	3:admconstraints::mcx.min	4:admconstraints::mcx.max	5:admconstraints::mcx.sum	6:admconstraints::mcx.avg	7:admconstraints::mcx.stddev	8:admconstraints::mcx.volume	9:admconstraints::mcx.L1norm	10:admconstraints::mcx.L2norm	11:admconstraints::mcx.maxabs	12:admconstraints::mcx.sumloc[0]	13:admconstraints::mcx.sumloc[1]	14:admconstraints::mcx.sumloc[2]	15:admconstraints::mcy.min	16:admconstraints::mcy.max	17:admconstraints::mcy.sum	18:admconstraints::mcy.avg	19:admconstraints::mcy.stddev	20:admconstraints::mcy.volume	21:admconstraints::mcy.L1norm	22:admconstraints::mcy.L2norm	23:admconstraints::mcy.maxabs	24:admconstraints::mcy.sumloc[0]	25:admconstraints::mcy.sumloc[1]	26:admconstraints::mcy.sumloc[2]	27:admconstraints::mcz.min	28:admconstraints::mcz.max	29:admconstraints::mcz.sum	30:admconstraints::mcz.avg	31:admconstraints::mcz.stddev	32:admconstraints::mcz.volume	33:admconstraints::mcz.L1norm	34:admconstraints::mcz.L2norm	35:admconstraints::mcz.maxabs	36:admconstraints::mcz.sumloc[0]	37:admconstraints::mcz.sumloc[1]	38:admconstraints::mcz.sumloc[2]
0	0.0000000000000000e+00	-6.5878211850638486e-07	6.5878211821803420e-07	-6.9724523876799817e-16	-1.3618071069687452e-24	3.4624833704934812e-12	5.1200000000000048e+08	6.8291313863332256e-16	3.4624833704934812e-12	6.5878211850638486e-07	-5.3392881912625589e-11	4.2492526873818756e-06	1.1700978673392232e-11	-3.6535274795234144e-06	3.6535274799581036e-06	-7.2864014210631770e-16	-1.4231252775514005e-24	9.2718153693911267e-12	5.1200000000000048e+08	1.0448894575348566e-15	9.2718153693911267e-12	3.6535274799581036e-06	6.8136728448884165e-01	-6.0322927208922295e-13	3.5510309970288034e-13	-6.5629822087883593e-07	6.5629822085755232e-07	-1.6805084042688566e-19	-3.2822429770876075e-28	3.4682040956714936e-12	5.1200000000000048e+08	6.6371466262318254e-16	3.4682040956714936e-12	6.5629822087883593e-07	4.4141478666714917e-12	3.5238131856907273e-13	4.6332837740081789e-14
4096	9.0909090909090917e+00	-3.9898520174265484e-06	3.9898508132669474e-06	-4.7618563958498963e-13	-9.3005007731443200e-22	6.3748093635371843e-11	5.1200000000000048e+08	8.6261388763457166e-14	6.3748093635371843e-11	3.9898520174265484e-06	5.2235842436187836e+00	-1.5985848140993270e-01	3.8249201722573289e-09	-4.3193557319596918e-06	4.3193558629467430e-06	-2.7329965869479214e-13	-5.3378839588826540e-22	6.8413291795945283e-11	5.1200000000000048e+08	9.7132286917842305e-14	6.8413291795945283e-11	4.3193558629467430e-06	1.7859653851353112e+00	6.0312976105175657e+00	2.8535241808347322e-09	-3.9938739199810318e-06	3.9938736551187445e-06	-3.5993321656965500e-13	-7.0299456361260679e-22	6.7039144457375360e-11	5.1200000000000048e+08	9.4512254774097863e-14	6.7039144457375360e-11	3.9938739199810318e-06	1.2973010998784673e-08	7.4411687922548708e-10	5.2659658196777510e+00
8192	1.8181818181818183e+01	-4.3091259952790621e-06	4.3091252166923833e-06	-3.5578946828773239e-13	-6.9490130524947664e-22	6.0704031573963297e-11	5.1200000000000048e+08	3.2027770717691577e-13	6.0704031573963297e-11	4.3091259952790621e-06	2.8143371749613744e+00	8.5109196244386265e-01	-4.5256458441889080e-09	-4.3139689420308802e-06	4.3139693732560287e-06	-3.2902129083717908e-13	-6.4261970866636481e-22	6.4425692122842859e-11	5.1200000000000048e+08	3.3829152319468638e-13	6.4425692122842859e-11	4.3139693732560287e-06	5.2977650071441373e-01	-1.5613510261468627e-01	-7.5904760254985604e-10	-3.9510945094665843e-06	3.9510940946726256e-06	-3.4218891415179603e-13	-6.6833772295272602e-22	6.3854487412294350e-11	5.1200000000000048e+08	3.3690522499961089e-13	6.3854487412294350e-11	3.9510945094665843e-06	4.4693259426686893e-08	1.8965926884551010e-08	-8.7465533917370908e-01
12288	2.7272727272727273e+01	-4.4144575349139292e-06	4.4144566663855516e-06	-8.3545099312210772e-13	-1.6317402209416150e-21	2.8325502429742844e-10	5.1200000000000054e+08	1.1669369548624648e-12	2.8325502429742844e-10	4.4144575349139292e-06	-6.0522626166890714e-01	5.6645175036129614e-01	7.5753148753854305e-09	-4.1514385551141156e-06	4.1514380277182142e-06	-2.5306186725131130e-14	-4.9426145947521686e-23	1.4084503363893106e-10	5.1200000000000054e+08	9.0351579615767282e-13	1.4084503363893106e-10	4.1514385551141156e-06	-5.6452675973858357e-01	-1.3771491839060008e+00	9.4949300505353662e-10	-3.8900234500090880e-06	3.8900248545319000e-06	-1.2796837056000283e-13	-2.4993822375000528e-22	2.5862090518013391e-10	5.1200000000000054e+08	1.0384146013090820e-12	2.5862090518013391e-10	3.8900248545319000e-06	1.5408979703313008e-08	1.2030032414678260e-08	-1.0133227750069210e-01
16384	3.6363636363636367e+01	-4.3316884565355078e-06	4.3316883676295778e-06	-5.0465310827630316e-13	-9.8565060210215344e-22	2.8464800310510964e-10	5.1200000000000060e+08	1.5331345843902954e-12	2.8464800310510964e-10	4.3316884565355078e-06	1.2294744020430737e-03	-1.8269496240921396e-01	-9.8052361015288358e-07	-3.8155500221589785e-06	3.8155503784175116e-06	-4.5079450646667721e-13	-8.8045802044272794e-22	1.7315425688656806e-10	5.1200000000000060e+08	1.2286114761928102e-12	1.7315425688656806e-10	3.8155503784175116e-06	-3.7692398518611239e-03	3.7445290047905549e-01	-5.1948959418901541e-07	-3.7828016161874034e-06	3.7828016336582622e-06	-6.8594804315813551e-13	-1.3397422717932318e-21	2.7475897146330246e-10	5.1200000000000060e+08	1.5311156169955216e-12	2.7475897146330246e-10	3.7828016336582622e-06	1.8587120103469301e-07	1.2076793569348876e-07	1.1192476908846846e-01
20480	4.5454545454545460e+01	-4.1104298505597661e-06	4.1104286228039278e-06	8.9457514899031866e-13	1.7472170878717146e-21	2.3152549579141179e-10	5.1200000000000048e+08	1.3984545916994940e-12	2.3152549579141179e-10	4.1104298505597661e-06	-4.3789254301738534e-01	4.7522700756848046e-01	-3.1842851175474529e-07	-3.4700341851165933e-06	3.4700353769468645e-06	2.0620021379795126e-12	4.0273479257412320e-21	1.5677408861441104e-10	5.1200000000000048e+08	1.1444103984750305e-12	1.5677408861441104e-10	3.4700353769468645e-06	3.1210059601028689e-01	-1.9378535496472010e-01	2.8613847682934512e-07	-3.5126258388747283e-06	3.5126250566252279e-06	1.9511955341510812e-12	3.8109287776388267e-21	2.2406056591996751e-10	5.1200000000000048e+08	1.4065719643131656e-12	2.2406056591996751e-10	3.5126258388747283e-06	6.7613352367629220e-07	7.4718970816123331e-08	-3.0115538261268820e-01
24576	5.4545454545454547e+01	-4.2533828155823087e-06	4.2533823196490336e-06	-1.5829461997742933e-12	-3.0916917964341637e-21	1.7483379106015638e-10	5.1200000000000048e+08	1.1167587397517006e-12	1.7483379106015638e-10	4.2533828155823087e-06	1.9250008936044938e-01	9.5736481705396489e-03	1.2507137313287620e-06	-3.7542904784194674e-06	3.7542901726234172e-06	-1.3824522992194482e-12	-2.7001021469129823e-21	1.2882777494025665e-10	5.1200000000000048e+08	9.7482324000498899e-13	1.2882777494025665e-10	3.7542904784194674e-06	5.1909374094150564e-02	1.1035320236658547e-01	5.7176565091549003e-07	-3.6714928386737211e-06	3.6714928494480031e-06	-9.6173087380549372e-13	-1.8783806129013531e-21	1.6770696869970990e-10	5.1200000000000048e+08	1.1004931688145176e-12	1.6770696869970990e-10	3.6714928494480031e-06	-2.0574951911170314e-06	-2.4478161680940858e-07	2.2648251035882201e-02
28672	6.3636363636363640e+01	-4.2787334826607106e-06	4.2787335969957047e-06	2.3331438231165627e-13	4.5569215295245314e-22	1.3098951567091721e-10	5.1200000000000054e+08	8.4053448643055040e-13	1.3098951567091721e-10	4.2787335969957047e-06	-4.3936907531519728e-02	4.5990937252528716e-02	2.5126792552003507e-09	-3.9798990937080236e-06	3.9798988129461224e-06	1.6351750754650511e-13	3.1937013192676743e-22	1.1355529887498315e-10	5.1200000000000054e+08	8.0014764769962489e-13	1.1355529887498315e-10	3.9798990937080236e-06	8.9352167335981947e-02	-1.4563992090583268e-02	3.0923843711422316e-09	-3.8235026821054489e-06	3.8235027949816312e-06	9.0839562601952630e-14	1.7742102070693854e-22	1.2357180696581995e-10	5.1200000000000054e+08	8.0181881207560791e-13	1.2357180696581995e-10	3.8235027949816312e-06	2.4248930211023811e-08	-4.2416082479679318e-08	1.5411646314593569e-02
32768	7.2727272727272734e+01	-4.1010742823757109e-06	4.1010727884295791e-06	-2.0229665687011237e-13	-3.9511065794943778e-22	1.6183293597249406e-10	5.1200000000000054e+08	9.0214987008454532e-13	1.6183293597249406e-10	4.1010742823757109e-06	1.3921739887845869e-01	9.3787836428887716e-03	2.0352970142578641e-09	-4.1238280332546915e-06	4.1238275719647514e-06	-9.9617684842226092e-14	-1.9456579070747263e-22	1.2376167127688249e-10	5.1200000000000054e+08	7.8175504413864217e-13	1.2376167127688249e-10	4.1238280332546915e-06	-5.0874313823198819e-02	6.8211821761588548e-02	-4.1325445964551788e-09	-3.8565027355860144e-06	3.8565021738838048e-06	-3.0982400779511611e-14	-6.0512501522483554e-23	1.1543514600925024e-10	5.1200000000000054e+08	7.1440902023027689e-13	1.1543514600925024e-10	3.8565027355860144e-06	4.6881045295821266e-09	-5.2700493483048838e-09	5.9010991460851552e-03
36864	8.1818181818181827e+01	-3.7340318307722503e-06	3.7340332632685431e-06	-4.4999066203533751e-14	-8.7888801178776776e-23	7.3543077278594568e-10	5.1200000000000048e+08	4.1957360762589299e-12	7.3543077278594568e-10	3.7340332632685431e-06	-3.8437032985405484e-01	1.4115521864451350e-01	2.7125999418550761e-07	-4.1555165511882402e-06	4.1555165022580039e-06	2.6246515269327808e-14	5.1262725135405826e-23	1.1159429926172634e-09	5.1200000000000048e+08	5.2322619139999742e-12	1.1159429926172634e-09	4.1555165511882402e-06	-2.4850590001753964e-02	-7.0813927547428468e-01	-2.3891912869639098e-07	-3.6831590483128070e-06	3.6831595211791083e-06	-2.3562618531119094e-15	-4.6020739318591934e-24	5.5138282064559168e-10	5.1200000000000048e+08	3.2921018716999443e-12	5.5138282064559168e-10	3.6831595211791083e-06	6.4795255952376785e-08	-7.5182736513496051e-07	-2.7275594842262441e-01
