# 1:iteration	2:time	3:admconstraints::hc.min	4:admconstraints::hc.max	5:admconstraints::hc.sum	6:admconstraints::hc.avg	7:admconstraints::hc.stddev	8:admconstraints::hc.volume	9:admconstraints::hc.L1norm	10:admconstraints::hc.L2norm	11:admconstraints::hc.maxabs	12:admconstraints::hc.sumloc[0]	13:admconstraints::hc.sumloc[1]	14:admconstraints::hc.sumloc[2]
0	0.0000000000000000e+00	-5.4078172224293737e-02	2.0479000475936662e-02	-8.7604513955563150e-05	-1.7110256631945916e-13	7.0151075793429511e-08	5.1200000000000036e+08	4.8856570559370282e-13	7.0151075793638172e-08	5.4078172224293737e-02	-1.9375966033408076e-05	-8.6861840045693306e-06	-6.7598925057588133e-06
4096	1.3333333333333334e+01	-3.0541092756068700e-05	3.5938313855645582e-05	1.3304751879065460e-04	2.5985843513799709e-13	5.5617781976016285e-10	5.1200000000000036e+08	1.9979810033488049e-12	5.5617788046593016e-10	3.5938313855645582e-05	2.6237341262294045e-03	-2.3195636912383133e-03	-4.9262201033128949e-04
8192	2.6666666666666668e+01	-3.6913974832783469e-05	3.7148775836114839e-05	3.9789267201874933e-05	7.7713412503661923e-14	1.7682931902724380e-09	5.1200000000000036e+08	8.6519211204845248e-12	1.7682931919801228e-09	3.7148775836114839e-05	2.3452245225213941e-03	3.3800330052584648e-03	2.1641421559463747e-03
12288	4.0000000000000000e+01	-2.8977340490891901e-05	3.7464120796443234e-05	-1.8840264963353423e-04	-3.6797392506549625e-13	2.0006942840051681e-09	5.1200000000000042e+08	1.2842192298014077e-11	2.0006943178446232e-09	3.7464120796443234e-05	1.6844887993249472e-02	3.0410864108043500e-02	-3.7523764892572892e-03
16384	5.3333333333333336e+01	-2.6765709097615470e-05	3.2829801022225824e-05	3.4278714828342135e-05	6.6950614899105679e-14	1.4122337626611163e-09	5.1200000000000036e+08	1.1091565192311601e-11	1.4122337642481004e-09	3.2829801022225824e-05	-1.1066704907084481e-02	-7.4413070182655083e-04	-4.9184443447258114e-04
20480	6.6666666666666671e+01	-4.1045901985333616e-05	3.7306863732346901e-05	-4.9913196465066742e-06	-9.7486711845833407e-15	1.1392831926610232e-09	5.1200000000000036e+08	8.1842777441518139e-12	1.1392831927027322e-09	4.1045901985333616e-05	2.7065706616069357e-02	3.1611030528630957e-02	-4.9630261918911511e-03
24576	8.0000000000000000e+01	-3.6352160943879663e-05	3.8357076695378495e-05	-4.3711456644127567e-04	-8.5373938758061599e-13	5.5083903212588974e-09	5.1200000000000036e+08	3.6327231634220123e-11	5.5083903874189642e-09	3.8357076695378495e-05	-9.0320323849669149e-03	2.2779457246242252e-03	2.0365512110549100e-02
28672	9.3333333333333343e+01	-1.9897543669628037e-05	3.1757905770354866e-05	-1.9266331079861079e-05	-3.7629552890353646e-14	1.0823450436136078e-08	5.1200000000000036e+08	9.4716937983878496e-11	1.0823450436201490e-08	3.1757905770354866e-05	-4.2299265319318841e-01	-7.9247746640806971e-02	2.1694728835322805e-01
32768	1.0666666666666667e+02	-3.5063571926122888e-05	3.4901577062384365e-05	-5.2860380584321008e-06	-1.0324293082875190e-14	1.1564295013825622e-08	5.1200000000000036e+08	1.0347709882477597e-10	1.1564295013830231e-08	3.5063571926122888e-05	-1.9992193694036431e+00	9.4856381514755972e-01	7.6871176558751753e-02
36864	1.2000000000000000e+02	-3.5288320948408114e-05	3.6928184277335019e-05	-2.4326949901988201e-06	-4.7513574027320671e-15	1.1126523779966201e-08	5.1200000000000036e+08	1.0419811614442422e-10	1.1126523779967217e-08	3.6928184277335019e-05	-7.1310789463762836e-01	4.6229048433750108e-01	5.6032822968516527e-02
40960	1.3333333333333334e+02	-2.0502356576156122e-05	3.2947397151591312e-05	-1.6423232532407095e-05	-3.2076626039857584e-14	9.3486370750266811e-09	5.1200000000000036e+08	8.5366488694206198e-11	9.3486370750817101e-09	3.2947397151591312e-05	-2.0828634808308877e-02	-3.0417919682454886e-02	3.7626906910353808e-02
45056	1.4666666666666669e+02	-3.1359865800571762e-05	3.3114665854438313e-05	-1.0722499873096487e-04	-2.0942382564641561e-13	4.7622574804402541e-09	5.1200000000000036e+08	3.5750685849676074e-11	4.7622574850450387e-09	3.3114665854438313e-05	-3.0747995388053728e-02	2.0754116483011786e-02	-1.1678694197803097e-02
49152	1.6000000000000000e+02	-3.8430687200222829e-05	3.4693098858798455e-05	1.1864775150270655e-06	2.3173388965372356e-15	1.0595497859466237e-09	5.1200000000000042e+08	1.1674647406351750e-11	1.0595497859491578e-09	3.8430687200222829e-05	-1.4842049898950438e-02	7.5706544726333869e-04	1.4115622731479139e-03
53248	1.7333333333333334e+02	-2.2852530596351867e-05	3.2822931348350931e-05	-1.1732907921011553e-03	-2.2915835783225675e-12	6.5718955171127504e-09	5.1200000000000030e+08	4.1112442880861922e-11	6.5718959166439914e-09	3.2822931348350931e-05	-4.1914869898198037e-03	9.6953834990952670e-03	2.8587139034166043e-02
57344	1.8666666666666669e+02	-3.2739798251749802e-05	3.1749982024553008e-05	6.3960863521476388e-05	1.2492356156538347e-13	1.8574398809256442e-08	5.1200000000000036e+08	1.9992127750558042e-10	1.8574398809676534e-08	3.2739798251749802e-05	-1.1088194619716594e+00	3.0042695456946583e-01	-1.4522998307391739e+00
61440	2.0000000000000000e+02	-3.6763180557029818e-05	3.3707051086594164e-05	1.4301142744127483e-05	2.7931919422123969e-14	1.9721443681058374e-08	5.1200000000000036e+08	2.2682322309230907e-10	1.9721443681078153e-08	3.6763180557029818e-05	2.2001836972807305e+00	1.3050102699311257e+00	9.9332477843929290e-02
65536	2.1333333333333334e+02	-2.7703115197678235e-05	3.9507978810141703e-05	1.7569524610378841e-06	3.4315477754646149e-15	1.6521012840675419e-08	5.1200000000000036e+08	1.8775164746199436e-10	1.6521012840675776e-08	3.9507978810141703e-05	4.6085904477148620e-01	1.5201058947795048e+00	-5.4807089532048536e-01
69632	2.2666666666666669e+02	-4.6640331926466050e-05	3.3920022311357406e-05	-1.9664141139309245e-05	-3.8406525662713342e-14	1.2720012320013014e-08	5.1200000000000036e+08	1.3900208686642226e-10	1.2720012320070996e-08	4.6640331926466050e-05	-4.6111351237182285e-01	6.2022266346301214e-01	-6.1057655115372844e-01
73728	2.4000000000000000e+02	-2.8250823025394861e-05	3.0778519059901366e-05	1.0335067572068393e-04	2.0185678851696068e-13	6.7280143703645096e-09	5.1200000000000036e+08	6.3883518446216938e-11	6.7280143733926069e-09	3.0778519059901366e-05	3.2496058596965238e-01	-5.0532837777766210e-02	7.7132232350591245e-02
