# 1:iteration	2:time	3:admconstraints::mcx.min	4:admconstraints::mcx.max	5:admconstraints::mcx.sum	6:admconstraints::mcx.avg	7:admconstraints::mcx.stddev	8:admconstraints::mcx.volume	9:admconstraints::mcx.L1norm	10:admconstraints::mcx.L2norm	11:admconstraints::mcx.maxabs	12:admconstraints::mcx.sumloc[0]	13:admconstraints::mcx.sumloc[1]	14:admconstraints::mcx.sumloc[2]	15:admconstraints::mcy.min	16:admconstraints::mcy.max	17:admconstraints::mcy.sum	18:admconstraints::mcy.avg	19:admconstraints::mcy.stddev	20:admconstraints::mcy.volume	21:admconstraints::mcy.L1norm	22:admconstraints::mcy.L2norm	23:admconstraints::mcy.maxabs	24:admconstraints::mcy.sumloc[0]	25:admconstraints::mcy.sumloc[1]	26:admconstraints::mcy.sumloc[2]	27:admconstraints::mcz.min	28:admconstraints::mcz.max	29:admconstraints::mcz.sum	30:admconstraints::mcz.avg	31:admconstraints::mcz.stddev	32:admconstraints::mcz.volume	33:admconstraints::mcz.L1norm	34:admconstraints::mcz.L2norm	35:admconstraints::mcz.maxabs	36:admconstraints::mcz.sumloc[0]	37:admconstraints::mcz.sumloc[1]	38:admconstraints::mcz.sumloc[2]
0	0.0000000000000000e+00	-2.7544206730283728e-06	2.7544206730283728e-06	7.7241096523330493e-13	1.5086151664712977e-21	1.5592168776660572e-11	5.1200000000000036e+08	3.0801899660521516e-15	1.5592168776660572e-11	2.7544206730283728e-06	-8.4728127291988642e-12	-4.1946640005865364e-04	1.0641835184333620e-09	-1.6089625414614931e-05	1.6089625414606837e-05	3.1248839580945000e-13	6.1032889806533164e-22	3.5756266172763835e-11	5.1200000000000036e+08	4.5216864971260639e-15	3.5756266172763835e-11	1.6089625414614931e-05	4.0431187976100391e-01	1.4690375652048893e-11	-3.6824636222287932e-12	-2.7506252053803612e-06	2.7506252053803612e-06	-1.9652254401823766e-15	-3.8383309378562013e-24	1.5586306045854914e-11	5.1200000000000036e+08	2.9724136220870903e-15	1.5586306045854914e-11	2.7506252053803612e-06	1.7926344381136161e-08	1.4892106645070236e-12	-7.6293816099817779e-12
4096	1.3333333333333334e+01	-1.7781218933399545e-05	1.7781219310030983e-05	-1.1699465427009105e-12	-2.2850518412127143e-21	2.2064524934669577e-10	5.1200000000000036e+08	6.4739396340237589e-13	2.2064524934669577e-10	1.7781219310030983e-05	1.6309691747370247e+00	3.5598914548237137e-01	1.1492980178662293e-10	-1.9115906921478718e-05	1.9115906810985025e-05	1.5044869320863586e-12	2.9384510392311671e-21	1.7922246089362656e-10	5.1200000000000036e+08	5.7856992697890843e-13	1.7922246089362656e-10	1.9115906921478718e-05	-1.0859702000942515e+00	4.0618343372052673e-01	-5.6150582100622515e-10	-1.7430302254726341e-05	1.7430302190493112e-05	3.2909739513812728e-12	6.4276834987915442e-21	2.1437182990414622e-10	5.1200000000000036e+08	6.3952674298918007e-13	2.1437182990414622e-10	1.7430302254726341e-05	-3.7265986199686019e-09	-2.0543135664796708e-09	4.3242394679585450e-01
8192	2.6666666666666668e+01	-2.0239647547938872e-05	2.0239647640567017e-05	2.4085352960903530e-08	4.7041705001764673e-17	1.4816544326637272e-09	5.1200000000000036e+08	5.0324176465065634e-12	1.4816544326637280e-09	2.0239647640567017e-05	-1.6745903473043072e-01	2.4240128064782546e-01	-1.3773184234795732e-05	-1.9096677808800987e-05	1.9096677902320980e-05	5.8368031530654194e-09	1.1400006158330890e-17	7.3947356212789624e-10	5.1200000000000036e+08	3.5395508620219222e-12	7.3947356212789635e-10	1.9096677902320980e-05	-2.3246000425449104e-01	-4.6840404367865640e-01	8.4684223048713501e-04	-1.7662035176155542e-05	1.7662035219940077e-05	-1.1238768096962420e-08	-2.1950718939379712e-17	1.3335317996974475e-09	5.1200000000000036e+08	4.1855406217175283e-12	1.3335317996974475e-09	1.7662035219940077e-05	4.6356192603180801e-05	5.9880165207286395e-04	-5.7111292272640987e-02
12288	4.0000000000000000e+01	-1.9597187794652708e-05	1.9597187751804808e-05	-5.0214387534976431e-09	-9.8074975654250760e-18	1.3525520414015443e-09	5.1200000000000042e+08	7.4345818953041982e-12	1.3525520414015443e-09	1.9597187794652708e-05	8.6425235676077961e-02	1.5422646534886691e-01	5.3306115234061369e-06	-1.7206035563823344e-05	1.7206035501283968e-05	2.8524099749595451e-09	5.5711132323428575e-18	9.2352684500699725e-10	5.1200000000000042e+08	6.0180109730756494e-12	9.2352684500699725e-10	1.7206035563823344e-05	-7.6921802435259284e-02	6.1165109309685078e-02	3.6755972709079376e-06	-1.7264650241434965e-05	1.7264650010991097e-05	3.2676206694519583e-09	6.3820716200233511e-18	1.3281758240525940e-09	5.1200000000000042e+08	7.6130133684653204e-12	1.3281758240525940e-09	1.7264650241434965e-05	-1.7675371115313809e-05	8.0844415826647475e-06	1.1401673194833659e-01
16384	5.3333333333333336e+01	-1.9134730709910850e-05	1.9134730436363399e-05	7.7952766808056628e-09	1.5225149767198551e-17	8.9691357195596600e-10	5.1200000000000036e+08	6.0433299255755519e-12	8.9691357195596610e-10	1.9134730709910850e-05	-1.3988364634481015e-01	2.9817278484200282e-01	-1.4379819223472173e-06	-1.6869392375652152e-05	1.6869392329543101e-05	2.1105737177292098e-09	4.1222142924398599e-18	6.9771985297120505e-10	5.1200000000000036e+08	5.4579457442957824e-12	6.9771985297120505e-10	1.6869392375652152e-05	7.0979435654414495e-03	-1.3417186295967332e-02	-9.7596228455093526e-07	-1.7034290666490754e-05	1.7034290752645393e-05	-6.1084933412772300e-09	-1.1930651057182082e-17	8.7213311252234797e-10	5.1200000000000036e+08	6.1877711198272319e-12	8.7213311252234807e-10	1.7034290752645393e-05	2.9316014389345335e-06	-5.6612535004330056e-07	4.3532025340101074e-02
20480	6.6666666666666671e+01	-1.9221732757859226e-05	1.9221732415931822e-05	2.6762149747666794e-09	5.2269823725911669e-18	5.7620404484377522e-10	5.1200000000000036e+08	4.1519704708271565e-12	5.7620404484377532e-10	1.9221732757859226e-05	-1.9682262755747104e-01	3.6049213303583860e-01	1.3136669773006204e-04	-1.8342074989814276e-05	1.8342074991544568e-05	-8.0247971624751324e-11	-1.5673431957959231e-19	5.5101700685435305e-10	5.1200000000000036e+08	4.1325702839221116e-12	5.5101700685435305e-10	1.8342074991544568e-05	-2.7086317363813295e-01	1.9382937901204503e-01	1.2605522806803660e-05	-1.7846121615022731e-05	1.7846121736412402e-05	1.3698076415796383e-08	2.6754055499602292e-17	5.4053395576396668e-10	5.1200000000000036e+08	3.9609689877895149e-12	5.4053395576396730e-10	1.7846121736412402e-05	1.2107872421440735e-04	-1.0142842116078743e-04	2.1992163708857829e-02
24576	8.0000000000000000e+01	-1.7890495403117935e-05	1.7890495606833195e-05	3.1453415246809023e-08	6.1432451653923836e-17	1.7664156611473891e-09	5.1200000000000036e+08	1.1549288848726597e-11	1.7664156611473902e-09	1.7890495606833195e-05	1.2832608418654140e-01	-2.3461919771532003e-02	1.4170759470431837e-05	-1.8931198624513520e-05	1.8931198452040766e-05	-9.0444334912133471e-08	-1.7664909162526055e-16	2.0690205652961401e-09	5.1200000000000036e+08	1.1377026463964445e-11	2.0690205652961479e-09	1.8931198624513520e-05	1.1834886053627980e-02	8.0140373426327849e-01	-4.0494709350816227e-06	-1.6508029661283272e-05	1.6508029994534903e-05	-2.2927668871055879e-08	-4.4780603263780983e-17	1.4202720105738983e-09	5.1200000000000036e+08	9.8745297315272973e-12	1.4202720105738989e-09	1.6508029994534903e-05	1.8759457084405184e-05	-1.5256885006198484e-06	6.9441620560460460e-01
28672	9.3333333333333343e+01	-1.5106458201915196e-05	1.5106458454463361e-05	8.0092002022156563e-09	1.5642969144952443e-17	3.5615462527800420e-09	5.1200000000000036e+08	3.0062962572475276e-11	3.5615462527800420e-09	1.5106458454463361e-05	1.3188052789976279e-01	7.1493031234434490e-01	4.8943523265704281e-05	-1.7233785593691132e-05	1.7233785862105150e-05	9.3577737741328600e-08	1.8276901902603231e-16	4.8223017489376283e-09	5.1200000000000036e+08	3.4864512608897863e-11	4.8223017489376316e-09	1.7233785862105150e-05	3.0449928088108058e-01	4.0706986863888295e-01	4.2917113959872744e-09	-1.5704415585876893e-05	1.5704415278189370e-05	1.7248259774408617e-08	3.3688007371891805e-17	2.8507311475414295e-09	5.1200000000000036e+08	2.3775190852953508e-11	2.8507311475414299e-09	1.5704415585876893e-05	4.4320809465536737e-05	-1.1510279928489409e-05	3.8251117332619700e-01
32768	1.0666666666666667e+02	-1.7365577356611339e-05	1.7365577419576438e-05	1.5824502233176383e-08	3.0907230924172601e-17	3.5418703150382870e-09	5.1200000000000036e+08	3.3845826589722390e-11	3.5418703150382874e-09	1.7365577419576438e-05	3.7152984567488683e+00	1.0713733041233100e+00	1.7630549018488040e-05	-1.8151013280871252e-05	1.8151013711659252e-05	-2.4292219471302437e-08	-4.7445741154887536e-17	4.9113414138097536e-09	5.1200000000000036e+08	4.1829885241212288e-11	4.9113414138097536e-09	1.8151013711659252e-05	-3.0003818334878352e+00	-5.7760848972480936e+00	4.6682476199345901e-04	-1.6943527097305897e-05	1.6943526784785759e-05	-5.0728770403142965e-08	-9.9079629693638538e-17	2.4089828264326493e-09	5.1200000000000036e+08	2.2184176225445024e-11	2.4089828264326513e-09	1.6943527097305897e-05	3.3298457158226213e-04	-1.9206740570071323e-04	1.6973589185046052e+00
36864	1.2000000000000000e+02	-1.8389627548504101e-05	1.8389627357362033e-05	8.9136436088926765e-09	1.7409460173618496e-17	3.0562428370938928e-09	5.1200000000000036e+08	2.9081107561127388e-11	3.0562428370938928e-09	1.8389627548504101e-05	-1.4911812969060689e+00	-2.6283162484244393e-01	5.9600846420115872e-04	-1.7540403570315459e-05	1.7540403495107353e-05	3.2843937897879868e-10	6.4148316206796570e-19	4.4484787736008798e-09	5.1200000000000036e+08	3.7105444370485972e-11	4.4484787736008798e-09	1.7540403570315459e-05	4.9288488996913660e-01	7.5146279301706675e-01	-8.6606735290338521e-04	-1.6726191006975711e-05	1.6726190534717793e-05	1.3519479899880174e-08	2.6405234179453447e-17	2.0805565314376578e-09	5.1200000000000036e+08	1.9532416604623689e-11	2.0805565314376578e-09	1.6726191006975711e-05	-6.9237111520065175e-04	3.9066995085063061e-04	6.0602883215243397e-01
