# 1:iteration	2:time	3:admconstraints::hc.min	4:admconstraints::hc.max	5:admconstraints::hc.sum	6:admconstraints::hc.avg	7:admconstraints::hc.stddev	8:admconstraints::hc.volume	9:admconstraints::hc.L1norm	10:admconstraints::hc.L2norm	11:admconstraints::hc.maxabs	12:admconstraints::hc.sumloc[0]	13:admconstraints::hc.sumloc[1]	14:admconstraints::hc.sumloc[2]
0	0.0000000000000000e+00	-2.4718360672242104e-02	1.1117451028227747e-02	-1.8160410757056704e-05	-3.5469552259876352e-14	3.0287626576666323e-08	5.1200000000000030e+08	2.3200115151411208e-13	3.0287626576687095e-08	2.4718360672242104e-02	7.6537907400364702e-05	-8.5561037734965817e-05	-3.3677852656101293e-05
4096	1.1111111111111111e+01	-2.2552339501942520e-05	2.3437347108606899e-05	1.3582318183987481e-04	2.6527965203100533e-13	3.0499867628200497e-10	5.1200000000000036e+08	6.5552877268600094e-13	3.0499879164853924e-10	2.3437347108606899e-05	-5.6552106548225567e-02	-1.2336317869158647e-02	1.6130531913075563e-02
8192	2.2222222222222221e+01	-1.7688292742765871e-05	1.9140697680969376e-05	1.3460323751695994e-04	2.6289694827531224e-13	3.6916069782471533e-10	5.1200000000000030e+08	2.7754259242131950e-12	3.6916079143543423e-10	1.9140697680969376e-05	7.3895173504001654e-04	-3.6875156288362909e-05	-1.1389226813842412e-02
12288	3.3333333333333329e+01	-1.7237600077824045e-05	1.8349988407512924e-05	1.3243993400920460e-04	2.5867174611172757e-13	1.0009901403639445e-09	5.1200000000000036e+08	6.4366673411817889e-12	1.0009901737863870e-09	1.8349988407512924e-05	7.3859278943228246e-03	6.0672960432033296e-03	2.7469607387528711e-03
16384	4.4444444444444443e+01	-1.2000989211800872e-05	1.7386183971814656e-05	-2.6865003265224196e-04	-5.2470709502390977e-13	8.7421808529688397e-10	5.1200000000000030e+08	6.5999254025380719e-12	8.7421824276188929e-10	1.7386183971814656e-05	-4.3608189564911179e-03	1.5205584968747160e-02	1.6367258798277717e-08
20480	5.5555555555555557e+01	-1.6301160390756048e-05	1.6716651356628309e-05	5.5692181415662069e-05	1.0877379182746490e-13	6.6106932383539997e-10	5.1200000000000036e+08	5.1879342411495812e-12	6.6106933278433873e-10	1.6716651356628309e-05	-1.5048753783247770e-03	1.8273563848483443e-02	-1.7507311345370119e-03
24576	6.6666666666666657e+01	-2.0909798823343789e-05	1.8549883669814055e-05	1.6252115437989877e-06	3.1742412964823957e-15	5.7585799994733548e-10	5.1200000000000036e+08	4.1224713300544559e-12	5.7585799995608405e-10	2.0909798823343789e-05	-3.3248322598643021e-02	9.9815031106506025e-03	1.9373515151751078e-04
28672	7.7777777777777771e+01	-1.9160817017822157e-05	1.8745067250674347e-05	-3.1964081198588612e-05	-6.2429846090993333e-14	2.1420078464332951e-09	5.1200000000000036e+08	1.3406029173438207e-11	2.1420078473430689e-09	1.9160817017822157e-05	1.3015845968581430e-01	-1.1269716850158457e-02	3.0002596355081096e-03
32768	8.8888888888888886e+01	-1.2510204966953431e-05	1.7343691005890921e-05	-6.7308841020168478e-06	-1.3146258011751646e-14	5.6769788970428624e-09	5.1200000000000036e+08	4.4335149301301982e-11	5.6769788970580834e-09	1.7343691005890921e-05	2.4272669186023693e-01	3.5362408596674755e-01	3.1980239836304492e-04
36864	1.0000000000000000e+02	-1.3299076529922627e-05	1.5587299052721021e-05	-2.6334210637071081e-06	-5.1434005150529419e-15	6.5136162741156250e-09	5.1200000000000036e+08	5.5906141958362171e-11	6.5136162741176549e-09	1.5587299052721021e-05	-7.2214859389938657e-02	-1.6050509151034098e-01	-3.1986861274699641e-01
40960	1.1111111111111111e+02	-1.8266501757263631e-05	1.7748022290386273e-05	4.6736992412408986e-06	9.1283188305486254e-15	6.5975540827849445e-09	5.1200000000000030e+08	5.7774869925255247e-11	6.5975540827912592e-09	1.8266501757263631e-05	1.6389978750575711e+00	1.3328669736709231e-01	-1.2133632635276426e-01
45056	1.2222222222222221e+02	-1.6815971173700373e-05	1.9310629488580866e-05	5.5532585872568785e-07	1.0846208178236084e-15	6.3039371162174586e-09	5.1200000000000036e+08	5.6185099972847484e-11	6.3039371162175521e-09	1.9310629488580866e-05	5.9013643141280303e-01	-3.2448193794911262e-02	-4.4006006613975801e-03
49152	1.3333333333333331e+02	-1.2675411133998560e-05	1.5704293062787644e-05	-1.6182293757340612e-07	-3.1606042494805861e-16	5.3982378122656660e-09	5.1200000000000030e+08	4.6148776349670443e-11	5.3982378122656751e-09	1.5704293062787644e-05	-2.8936050032344907e-01	3.1006798500334298e-01	1.2519101783015074e-08
53248	1.4444444444444443e+02	-1.4503861165787030e-05	1.5530090557762388e-05	-7.5498365335567762e-05	-1.4745774479603067e-13	3.4543148821411476e-09	5.1200000000000042e+08	2.4022620514979319e-11	3.4543148852884846e-09	1.5530090557762388e-05	-5.5833076105492097e-02	1.0672100335212464e-01	3.2431360233749484e-03
57344	1.5555555555555554e+02	-1.9126145419819801e-05	1.7298718552678088e-05	-1.2427807570927111e-05	-2.4273061661966994e-14	1.0133719510884220e-09	5.1200000000000036e+08	9.7733730455465268e-12	1.0133719513791253e-09	1.9126145419819801e-05	-2.0070104165158531e-03	3.0721203400112473e-02	-7.6040436642235698e-05
