# 1:iteration	2:time	3:admconstraints::mcx.min	4:admconstraints::mcx.max	5:admconstraints::mcx.sum	6:admconstraints::mcx.avg	7:admconstraints::mcx.stddev	8:admconstraints::mcx.volume	9:admconstraints::mcx.L1norm	10:admconstraints::mcx.L2norm	11:admconstraints::mcx.maxabs	12:admconstraints::mcx.sumloc[0]	13:admconstraints::mcx.sumloc[1]	14:admconstraints::mcx.sumloc[2]	15:admconstraints::mcy.min	16:admconstraints::mcy.max	17:admconstraints::mcy.sum	18:admconstraints::mcy.avg	19:admconstraints::mcy.stddev	20:admconstraints::mcy.volume	21:admconstraints::mcy.L1norm	22:admconstraints::mcy.L2norm	23:admconstraints::mcy.maxabs	24:admconstraints::mcy.sumloc[0]	25:admconstraints::mcy.sumloc[1]	26:admconstraints::mcy.sumloc[2]	27:admconstraints::mcz.min	28:admconstraints::mcz.max	29:admconstraints::mcz.sum	30:admconstraints::mcz.avg	31:admconstraints::mcz.stddev	32:admconstraints::mcz.volume	33:admconstraints::mcz.L1norm	34:admconstraints::mcz.L2norm	35:admconstraints::mcz.maxabs	36:admconstraints::mcz.sumloc[0]	37:admconstraints::mcz.sumloc[1]	38:admconstraints::mcz.sumloc[2]
0	0.0000000000000000e+00	-1.3659083143754808e-06	1.3659083143754808e-06	7.4251851142210278e-17	1.4502314676212937e-25	7.5675400658119495e-12	5.1200000000000030e+08	1.4219870765779999e-15	7.5675400658119495e-12	1.3659083143754808e-06	-1.4484980415639670e-08	4.3247543562696536e-05	5.5444662533030153e-14	-7.7633019390430295e-06	7.7633019390438121e-06	2.5873537856914088e-15	5.0534253626785298e-24	1.7870837559607263e-11	5.1200000000000030e+08	2.0933928498077899e-15	1.7870837559607263e-11	7.7633019390438121e-06	5.0936885855834713e-01	4.3448124997964854e-09	-5.3259480159439931e-14	-1.3750988848618145e-06	1.3750988848618145e-06	1.1568650262146126e-18	2.2595020043254140e-27	7.5708053623801447e-12	5.1200000000000030e+08	1.3653609436606027e-15	7.5708053623801447e-12	1.3750988848618145e-06	1.2230355617148803e-12	2.4374426088602519e-13	5.3456372982936973e-10
4096	1.1111111111111111e+01	-1.1051515701036229e-05	1.1051515969463293e-05	-1.8322852920008850e-14	-3.5786822109392260e-23	1.0107723213818665e-10	5.1200000000000036e+08	1.9110309746899180e-13	1.0107723213818665e-10	1.1051515969463293e-05	2.6523169417753154e+00	4.5436665744854290e-02	2.4957313125850700e-09	-1.1344540270469191e-05	1.1344540336090291e-05	7.2433210285734195e-14	1.4147111383932449e-22	9.7316184937647288e-11	5.1200000000000036e+08	2.0154846724718381e-13	9.7316184937647288e-11	1.1344540336090291e-05	-7.3576176802582027e-01	2.2908311970523152e+00	-6.8633156796726880e-10	-1.0916839105331314e-05	1.0916838548375196e-05	5.5055105304324323e-14	1.0752950254750837e-22	1.0468048922137769e-10	5.1200000000000036e+08	2.1173171880293699e-13	1.0468048922137769e-10	1.0916839105331314e-05	-7.4834848595717318e-09	4.9092198362021833e-10	2.1807786539689706e+00
8192	2.2222222222222221e+01	-9.8336053092837847e-06	9.8336053663699513e-06	-3.1349486224126785e-13	-6.1229465281497595e-22	1.8024095795533128e-10	5.1200000000000030e+08	9.6727574077517363e-13	1.8024095795533128e-10	9.8336053663699513e-06	-1.6788568769094765e+00	-1.3109675175570001e+00	-2.6403223218895988e-09	-9.4396585262157377e-06	9.4396586480463686e-06	-2.8454509934253483e-14	-5.5575214715338799e-23	1.9889184656677257e-10	5.1200000000000030e+08	1.0141055830123401e-12	1.9889184656677257e-10	9.4396586480463686e-06	4.8244397504770437e-01	-1.2212017640466905e-01	5.8341721211052633e-10	-9.1861761847522544e-06	9.1861762323987810e-06	1.5271829550207901e-13	2.9827792090249789e-22	1.4201278443446836e-10	5.1200000000000030e+08	8.4599717590262744e-13	1.4201278443446836e-10	9.1861762323987810e-06	-1.1771750768607703e-08	-4.2854572668282742e-09	-4.1015946960006280e-02
12288	3.3333333333333329e+01	-9.7127361209725352e-06	9.7127362697209957e-06	-3.5889748373999376e-13	-7.0097164792967485e-22	7.4335112359596035e-10	5.1200000000000036e+08	3.6529792531419454e-12	7.4335112359596035e-10	9.7127362697209957e-06	7.8203640294082555e-02	2.0329625199774295e-01	-1.9769739663694219e-05	-8.8252376154285821e-06	8.8252376888372956e-06	-1.3321472492277241e-13	-2.6018500961478967e-22	4.3821705439948143e-10	5.1200000000000036e+08	2.6905897082941557e-12	4.3821705439948143e-10	8.8252376888372956e-06	4.1491368861263644e-02	1.0425568315824474e-01	8.0103296956762771e-06	-8.7469726194123053e-06	8.7469725390059393e-06	-7.0833840874783612e-14	-1.3834734545856165e-22	7.1434094911632350e-10	5.1200000000000036e+08	3.5668688055877689e-12	7.1434094911632350e-10	8.7469726194123053e-06	-3.7230623686768105e-07	-2.9233900930014656e-06	8.3475137978613806e-02
16384	4.4444444444444443e+01	-9.1789575894166351e-06	9.1789574199986039e-06	6.9934439268532368e-13	1.3659070169635220e-21	5.8809748713999072e-10	5.1200000000000030e+08	3.6640081192575163e-12	5.8809748713999072e-10	9.1789575894166351e-06	-4.4906979295119176e-01	5.4455325026560564e-01	2.7316846753361324e-09	-7.7161164321627938e-06	7.7161163702767574e-06	5.8653658712164332e-14	1.1455792717219590e-22	3.9880876448332445e-10	5.1200000000000030e+08	2.8124808788106089e-12	3.9880876448332445e-10	7.7161164321627938e-06	2.6523573705620662e-01	-1.3910739646314749e-01	-2.5272429947376107e-09	-8.0202521660731426e-06	8.0202518937311656e-06	-2.1390235502988242e-13	-4.1777803716773887e-22	5.7263882499690121e-10	5.1200000000000030e+08	3.7265769950206881e-12	5.7263882499690121e-10	8.0202521660731426e-06	1.6980655059145588e-09	1.8673517232503656e-08	-1.1575964720983113e-01
20480	5.5555555555555557e+01	-9.2271093767504782e-06	9.2271100276271307e-06	-8.1296893282773505e-14	-1.5878299469291688e-22	4.2458819323366060e-10	5.1200000000000036e+08	2.8772615970990351e-12	4.2458819323366060e-10	9.2271100276271307e-06	1.1472294418933536e-01	1.4999249225200495e-01	3.0032880349306623e-09	-8.2162327735990551e-06	8.2162321648755174e-06	-2.8676506004190637e-13	-5.6008800789434794e-22	3.1346501850704172e-10	5.1200000000000036e+08	2.4111977860920946e-12	3.1346501850704172e-10	8.2162327735990551e-06	3.1908360704517386e-02	-2.3230122056181671e-01	-4.8406760613795008e-09	-8.2448854806899188e-06	8.2448854668018057e-06	1.4708560856503379e-13	2.8727657922858142e-22	4.1247104693577373e-10	5.1200000000000036e+08	2.8430635861135216e-12	4.1247104693577373e-10	8.2448854806899188e-06	5.5513513542992943e-09	-1.1662798619221926e-08	9.1786935114236176e-02
24576	6.6666666666666657e+01	-9.3034033073834281e-06	9.3034036379286930e-06	-8.4436024913868727e-14	-1.6491411115989975e-22	2.8902397705896398e-10	5.1200000000000036e+08	2.1424226242226986e-12	2.8902397705896398e-10	9.3034036379286930e-06	5.8921671304403136e-02	-6.1013055439834346e-02	1.6047473055252892e-09	-8.9449494667274380e-06	8.9449495181083143e-06	2.7540267675491632e-14	5.3789585303694562e-23	2.7482387285452095e-10	5.1200000000000036e+08	2.0025763352558582e-12	2.7482387285452095e-10	8.9449495181083143e-06	5.4301938021150187e-02	6.1085357427704573e-02	2.4496943640262003e-09	-8.6061141650919599e-06	8.6061139490959427e-06	-6.2387932103263779e-14	-1.2185142988918699e-22	2.6925925839524027e-10	5.1200000000000036e+08	2.0129153849151988e-12	2.6925925839524027e-10	8.6061141650919599e-06	-3.3822475931089002e-09	-6.9283820625098969e-09	4.2243096630137082e-02
28672	7.7777777777777771e+01	-8.6013714171480981e-06	8.6013714301716210e-06	-2.4318663199179337e-15	-4.7497389060897112e-24	8.9028321209677876e-10	5.1200000000000036e+08	4.8737757584506381e-12	8.9028321209677876e-10	8.6013714301716210e-06	2.0060543929358787e-01	2.4551480151008553e-03	-7.8522996378449506e-06	-9.2640142784238782e-06	9.2640142131129776e-06	-5.8682307060506367e-15	-1.1461388097755142e-23	5.4483157030419808e-10	5.1200000000000036e+08	3.7496490209735175e-12	5.4483157030419808e-10	9.2640142784238782e-06	-1.0393902827648153e-01	2.0722623208600333e-01	-2.8064419835674426e-05	-8.3240156856291400e-06	8.3240162478899187e-06	-1.9628121692002662e-14	-3.8336175179692672e-23	6.9956779587621742e-10	5.1200000000000036e+08	4.3297614255695283e-12	6.9956779587621742e-10	8.3240162478899187e-06	4.4063605236510650e-06	-2.6140149841785698e-06	7.0470619415645752e-01
32768	8.8888888888888886e+01	-7.5965374350777428e-06	7.5965376306325222e-06	-1.6571196726020837e-14	-3.2365618605509423e-23	1.8247318528278945e-09	5.1200000000000036e+08	1.3998590287354299e-11	1.8247318528278945e-09	7.5965376306325222e-06	1.4165182417930622e-01	-2.1802099757042945e-01	5.0702858869766665e-06	-8.8394161108774167e-06	8.8394157657579081e-06	-7.3723437023134192e-14	-1.4399108793580888e-22	2.5173973765902427e-09	5.1200000000000036e+08	1.5715810591109043e-11	2.5173973765902427e-09	8.8394161108774167e-06	-1.9967625723385091e-01	-3.2628583990396354e-01	-2.4823357981790251e-06	-7.7553146178759558e-06	7.7553139111633506e-06	-9.5631442760361896e-14	-1.8678016164133171e-22	1.3903464237457468e-09	5.1200000000000036e+08	1.0889345997718742e-11	1.3903464237457468e-09	7.7553146178759558e-06	1.4114435009281168e-05	-5.9767488500006571e-06	2.4237513977550365e-01
36864	1.0000000000000000e+02	-7.7701556811319010e-06	7.7701557669392710e-06	3.6800532239589234e-14	7.1876039530447671e-23	2.0267455205553337e-09	5.1200000000000036e+08	1.8225535235388679e-11	2.0267455205553337e-09	7.7701557669392710e-06	3.1426893834680127e+00	6.4834989806143672e-01	-9.8692612415796077e-10	-8.9815933342283062e-06	8.9815936048844453e-06	9.4301939846351546e-15	1.8418347626240524e-23	2.8700750729618391e-09	5.1200000000000036e+08	2.1454415840271024e-11	2.8700750729618391e-09	8.9815936048844453e-06	-1.0409789745091349e+00	-7.6439342845918667e-01	6.5857018449744231e-09	-7.9586180278824302e-06	7.9586190241335770e-06	-2.7094053048218672e-14	-5.2918072359802058e-23	1.5378519706452184e-09	5.1200000000000036e+08	1.3741184824730151e-11	1.5378519706452184e-09	7.9586190241335770e-06	3.0723632110651877e-09	-3.2816486195130778e-09	3.6637885867424007e+00
